gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-1.22,3.232,38.659,0.172,0.042,0.142
-8.659,4.634,40.427,0.167,0.032,0.131
-16.646,5.915,42.378,0.171,0.021,0.114
-24.573,6.89,44.695,0.192,0.019,0.093
-32.744,7.439,47.195,0.222,0.001,0.07
-40.427,8.049,49.451,0.268,-0.026,0.067
-48.293,8.78,51.341,0.325,-0.067,0.081
-56.159,9.268,53.171,0.375,-0.133,0.087
-63.537,9.573,55.061,0.402,-0.211,0.086
-70.061,10.122,57.134,0.396,-0.256,0.083
-75.915,10.732,59.512,0.382,-0.282,0.072
-80.366,11.28,62.317,0.382,-0.318,0.057
-83.415,12.5,65.244,0.396,-0.365,0.031
-85.915,13.78,68.537,0.428,-0.416,0.014
-87.439,15.183,72.012,0.462,-0.491,0.025
-86.707,16.585,76.22,0.499,-0.585,0.062
-85.427,18.354,81.951,0.557,-0.686,0.076
-83.78,21.22,89.085,0.593,-0.814,0.093
-81.22,24.878,98.049,0.612,-0.993,0.127
-78.171,29.085,109.15,0.625,-1.202,0.167
-74.512,33.537,122.19,0.637,-1.483,0.2
-70.488,38.049,137.19,0.676,-1.8,0.264
-66.463,42.256,154.09,0.77,-2.144,0.343
-62.378,46.28,172.68,0.894,-2.521,0.396
-57.683,50.305,192.62,1.008,-2.883,0.45
-52.866,54.512,213.41,1.114,-3.252,0.527
-48.963,58.841,232.81,1.278,-3.681,0.623
-45.976,63.963,250.61,1.512,-4.133,0.738
-43.841,70.488,266.95,1.797,-4.53,0.851
-41.646,77.866,282.38,2.099,-4.855,0.979
-39.939,85.244,297.5,2.343,-5.134,1.115
-40.305,94.085,312.68,2.642,-5.409,1.268
-41.22,103.29,328.23,3.064,-5.638,1.368
-41.829,111.89,343.72,3.346,-5.875,1.326
-42.439,120.06,359.45,3.512,-5.999,1.266
-42.744,129.33,374.63,3.641,-5.958,1.237
-41.646,140,388.66,3.695,-5.861,1.201
-39.207,152.93,401.83,3.737,-5.653,1.193
-35.244,167.38,412.38,3.688,-5.412,1.177
-28.232,182.19,418.48,3.477,-5.199,1.078
-16.646,197.07,417.81,3.188,-4.966,0.93
-3.415,213.11,407.87,2.769,-4.756,0.737
10.793,230.98,386.71,2.286,-4.546,0.524
26.463,250.31,354.08,1.791,-4.321,0.303
43.293,271.52,311.95,1.333,-4.069,0.097
60.061,291.58,262.01,0.914,-3.836,-0.07
81.402,302.62,203.78,0.553,-3.67,-0.197
98.72,314.76,139.27,0.262,-3.555,-0.232
114.15,329.82,71.951,-0.002,-3.442,-0.234
133.05,340.06,0.366,-0.237,-3.235,-0.228
153.84,341.95,-74.329,-0.424,-2.965,-0.21
174.21,336.65,-150.43,-0.546,-2.791,-0.195
196.22,322.99,-226.77,-0.619,-2.786,-0.162
218.6,306.34,-301.16,-0.647,-2.806,-0.121
240.67,283.05,-372.13,-0.666,-2.707,-0.066
261.22,251.65,-438.29,-0.667,-2.501,-0.053
279.27,216.16,-500.37,-0.662,-2.259,-0.158
294.88,176.83,-556.22,-0.75,-2.038,-0.326
307.19,134.88,-604.76,-1.038,-1.967,-0.569
315.55,91.829,-646.52,-1.622,-2.073,-0.962
318.72,48.476,-681.22,-2.563,-2.075,-1.393
315.79,6.463,-708.17,-3.444,-1.952,-1.518
307.81,-32.622,-729.15,-4.313,-2.101,-0.899
