gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-85.244,-36.707,-8.659,1.672,-0.982,0.689
-85.244,-42.378,-0.671,1.733,-0.936,0.68
-85.671,-48.659,6.098,1.787,-0.871,0.651
-87.561,-53.659,12.134,1.828,-0.793,0.606
-88.902,-56.524,18.293,1.854,-0.707,0.611
-89.512,-61.768,23.11,1.894,-0.63,0.648
-89.817,-62.622,30,1.951,-0.581,0.683
-91.402,-60.732,37.744,2.013,-0.539,0.708
-92.561,-60.732,45.183,2.044,-0.483,0.754
-91.768,-64.024,50.671,2.055,-0.436,0.863
-89.939,-68.354,56.707,2.086,-0.44,0.964
-88.354,-72.805,63.963,2.075,-0.477,0.994
-86.159,-76.524,71.829,1.724,-0.724,0.889
-82.744,-77.378,80.549,2.03,-0.676,1.043
-78.72,-79.39,88.171,2.444,-0.352,1.14
-73.293,-82.134,95.732,2.117,-0.581,0.984
-68.476,-84.085,102.62,1.938,-0.693,0.904
-65.244,-85.122,110.18,1.953,-0.667,0.863
-62.744,-85.915,117.99,1.896,-0.668,0.802
-60.732,-86.707,125.12,1.812,-0.663,0.759
-60.366,-87.378,130.85,1.761,-0.671,0.705
-62.256,-87.195,135.37,1.721,-0.682,0.652
-66.037,-86.22,138.29,1.678,-0.671,0.606
-69.512,-85.183,139.45,1.62,-0.651,0.561
-70.122,-85.244,138.35,1.551,-0.617,0.512
-70.61,-85.915,134.63,1.479,-0.576,0.473
-69.817,-87.195,129.02,1.408,-0.528,0.443
-61.585,-96.768,121.71,1.341,-0.469,0.418
-45,-117.26,118.78,1.291,-0.421,0.404
-33.354,-107.26,113.35,1.245,-0.389,0.382
-25.488,-83.476,99.878,1.199,-0.395,0.347
-8.963,-77.378,89.695,1.156,-0.416,0.284
10.427,-75.549,78.171,1.111,-0.45,0.216
29.695,-69.573,67.378,1.078,-0.5,0.173
48.232,-63.72,55.244,1.055,-0.54,0.154
64.39,-59.512,41.951,1.042,-0.55,0.149
78.232,-56.585,29.695,1.024,-0.555,0.151
89.39,-54.146,18.293,0.991,-0.568,0.168
96.89,-52.317,8.049,0.952,-0.593,0.178
100.98,-51.098,-0.915,0.908,-0.623,0.183
102.19,-50.305,-8.902,0.87,-0.636,0.189
100.31,-50.122,-16.524,0.842,-0.629,0.185
96.585,-50.549,-23.598,0.822,-0.603,0.178
91.585,-51.707,-30.244,0.801,-0.572,0.168
86.037,-53.537,-36.159,0.786,-0.548,0.127
80.305,-55.305,-41.22,0.769,-0.536,0.088
77.195,-57.073,-45.061,0.763,-0.526,0.057
77.5,-59.146,-47.317,0.771,-0.5,0.033
80.122,-61.098,-47.744,0.791,-0.463,0.028
