gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-5.427,4.268,-15.366,0.695,-0.122,0.609
-4.756,4.451,-14.939,0.689,-0.119,0.605
-3.963,4.451,-14.39,0.684,-0.114,0.6
-3.537,4.39,-13.841,0.67,-0.117,0.592
-2.927,4.268,-13.049,0.644,-0.114,0.568
-2.012,4.329,-12.439,0.653,-0.116,0.561
-1.159,4.39,-11.951,0.681,-0.114,0.625
-0.305,4.573,-11.524,0.656,-0.096,0.623
1.098,4.329,-10.915,0.615,-0.097,0.581
2.439,4.024,-10.366,0.623,-0.105,0.576
3.902,3.963,-9.634,0.615,-0.086,0.555
5.793,4.146,-8.78,0.581,-0.086,0.528
7.5,4.512,-7.683,0.545,-0.074,0.493
8.476,4.695,-6.646,0.542,-0.064,0.489
9.512,4.817,-5.61,0.523,-0.055,0.48
10.61,5.122,-4.573,0.497,-0.051,0.453
11.89,5.61,-3.293,0.469,-0.039,0.42
12.927,5.366,-1.89,0.44,-0.025,0.39
13.841,4.085,-0.427,0.406,-0.004,0.348
13.476,2.5,0.976,0.377,0.018,0.304
15.488,2.134,2.5,0.345,0.049,0.264
16.402,3.78,4.024,0.287,0.076,0.226
14.939,4.451,5.671,0.26,0.118,0.194
14.817,4.878,7.561,0.188,0.127,0.156
16.22,4.878,9.634,0.098,0.156,0.099
15.305,4.695,11.951,0.043,0.21,0.045
13.963,3.963,14.756,0.035,0.237,0
13.476,3.659,17.805,-0.042,0.286,-0.037
12.134,3.72,21.098,-0.172,0.285,-0.089
9.329,4.085,24.817,-0.341,0.267,-0.161
5.488,4.329,29.024,-0.332,0.313,-0.167
0.549,4.329,33.963,-0.351,0.371,-0.191
-5.915,4.634,39.695,-0.473,0.384,-0.255
-14.512,5.976,45.732,-0.567,0.376,-0.308
-24.695,7.744,52.622,-0.574,0.403,-0.331
-36.463,9.634,60.366,-0.597,0.447,-0.354
-49.268,13.11,67.134,-0.662,0.44,-0.389
-63.659,13.232,74.695,-0.679,0.431,-0.408
-80.244,12.805,83.354,-0.679,0.45,-0.415
-96.341,13.11,91.768,-0.697,0.488,-0.424
-114.21,17.5,100,-0.758,0.414,-0.433
-130.18,20.244,108.78,-0.768,0.357,-0.449
-147.01,14.817,119.08,-0.766,0.401,-0.448
-166.95,3.537,130.06,-0.781,0.371,-0.427
-187.07,0.427,139.82,-0.783,0.114,-0.38
-205.79,0.183,148.9,-0.766,0.123,-0.399
-225.98,-6.707,159.33,-0.78,0.288,-0.393
-248.41,-16.159,170.37,-0.828,0.335,-0.439
-270.85,-21.646,181.22,-0.767,-0.025,-0.348
-291.34,-26.585,191.95,-0.755,-0.19,-0.339
-312.32,-34.512,203.41,-0.798,0.111,-0.429
-334.51,-42.195,215.61,-0.712,-0.099,-0.351
-356.04,-49.024,227.44,-0.653,-0.277,-0.386
-372.62,-57.866,238.66,-0.605,-0.286,-0.317
-387.99,-71.463,250.43,-0.517,-0.308,-0.372
-408.78,-85.122,263.78,-0.362,-0.511,-0.319
-420.73,-98.841,274.69,-0.3,-0.626,-0.342
-427.13,-111.34,286.22,-0.083,-0.812,-0.384
-438.78,-127.99,296.1,0.288,-1.5,-0.34
-450,-142.81,307.32,0.438,-1.375,-0.731
-455.43,-158.66,320.18,0.672,-1.715,-1.108
-450.31,-177.68,330.12,0.696,-2.383,-1.448
-444.57,-189.45,340.61,0.944,-2.845,-1.861
-459.57,-208.23,355.06,1.313,-3.929,-1.865
-439.69,-229.33,360.31,1.456,-4.556,-2.094
-437.62,-245.49,372.38,1.826,-5.151,-2.217
-427.07,-260.92,384.57,1.789,-5.727,-2.317
-420.18,-278.17,395.98,2.122,-6.404,-2.456
-408.23,-291.22,410.43,2.09,-6.917,-2.704
-385.67,-295.85,425,2.565,-7.265,-3.229
-383.9,-314.08,436.83,2.794,-7.029,-3.626
-335.24,-313.23,451.89,2.945,-7.107,-3.591
-320.98,-322.07,468.54,3.458,-7.112,-3.885
-278.48,-345.92,488.96,3.819,-6.526,-3.881
-221.52,-366.83,502.5,4.235,-6.042,-3.704
-206.4,-387.38,519.09,4.205,-5.576,-3.608
-133.29,-384.69,518.41,4.346,-5.022,-3.521
-114.39,-371.83,524.21,5.361,-4.656,-3.089
-91.037,-350.31,503.6,4.734,-4.398,-3.105
-75.122,-308.96,481.83,4.12,-4.06,-3.083
-76.585,-262.26,439.57,4.096,-3.722,-2.621
-98.598,-203.72,393.9,3.717,-3.388,-2.438
-140,-171.65,340.73,3.425,-3.049,-2.309
-212.13,-112.07,296.28,3.17,-2.764,-2.151
-218.9,-50.854,241.95,2.691,-2.598,-2.13
-224.57,-0.366,185.73,2.211,-2.305,-2.248
-249.27,61.341,136.52,1.876,-2.109,-2.164
-239.33,125.43,83.72,1.582,-2.065,-2.139
