Frame,Time,RightHand_Accel_X,RightHand_Accel_Y,RightHand_Accel_Z,LeftHand_Accel_X,LeftHand_Accel_Y,LeftHand_Accel_Z
0,0.0,-10.897493535633183,-6.824242815784455,-4.950864440856005,-5.304190316823055,5.717719194630096,-7.0589255132018245
1,0.016667,-10.009093248340806,-6.155148267252668,-4.327955166211728,-6.372901430174682,4.711212729063115,-5.67258832269726
2,0.033334,-8.869057104123991,-4.672873176105975,-3.412256822167574,-8.19249863783809,2.7493496945212765,-3.4684195152212665
3,0.050001000000000004,-8.131827042636925,-2.463515159276274,-2.646466724296011,-10.440334007906191,0.06461440513747713,-1.453682198017359
4,0.066668,-7.847313289955137,-0.07609739524792652,-2.2537482763068604,-12.850537466686594,-2.834004917091341,-0.6890205149307085
5,0.083335,-7.423306746109837,1.7398578019095206,-2.0699456309452193,-14.801058883949052,-5.251185868632995,-1.6088788391342912
6,0.10000200000000001,-6.176763127321493,2.5287276874120117,-1.7057850834028285,-15.074638550823696,-6.5399308717080995,-3.4495654330805974
7,0.11666900000000001,-3.9559499042896755,2.36611795312343,-0.8540403693060689,-12.573690573306607,-6.282562430687677,-4.558215116603309
8,0.133336,-1.2390603930083877,1.728474047815948,0.5148843606433107,-7.63484613683742,-4.385943097751643,-3.7334866621051823
9,0.150003,1.4127068594035428,1.1927302875667634,2.12946916267144,-2.4393735949106587,-1.2978610527404801,-1.3719049843696605
10,0.16667,3.9094415859736444,1.103755066876961,3.531208160345814,0.39163972820769377,1.854506052895554,0.9426291975935714
11,0.18333700000000003,6.420270369458202,1.3708360134403041,4.272721279965433,-0.15229603562223026,3.8752860133193883,1.9684350653741554
12,0.20000400000000002,8.631741469747691,1.6424201911845637,4.102465677600983,-2.8643343193551827,4.595845512146281,1.7047559120536504
13,0.216671,9.642324769708706,1.7315342691220392,3.090252322467898,-5.576360528563984,4.979018838803106,0.9286687201362067
14,0.23333800000000002,8.890102477077589,1.7441203420619211,1.6808206043404166,-6.74420502766475,5.813072710613657,0.3017800428177828
15,0.25000500000000003,6.923421041983632,1.7934445280499511,0.544358254570092,-6.069629512951794,6.632617195624517,0.082396957231187
16,0.266672,4.890776702071095,1.85064231061609,0.18324981027272025,-4.225549414779415,6.219283845337968,0.35204697300322596
17,0.283339,3.415760267998362,1.9452106871907036,0.5774068652431601,-2.1172995111815904,3.994308079590163,0.9790453655304241
18,0.300006,2.37039852170245,2.178834254040652,1.1539599153407056,-0.0233533989993,0.7742935139184886,1.2378446887615704
19,0.31667300000000004,1.695089051239558,2.3145342109831093,1.1113397556828397,2.517146522825864,-1.8026307841175397,0.06850745933692215
20,0.33334,1.8910292985553891,1.6551839827038444,-0.02698894067102464,5.540251149585329,-2.63756482010755,-2.6699430338667836
21,0.350007,3.3649590951096444,-0.22711491818833074,-1.9786268460447982,7.712767016862774,-2.0371936621881375,-5.505317895177691
22,0.36667400000000006,5.536990314520512,-2.687331436450127,-3.9019863521393647,7.53055785888967,-1.2097651041635387,-6.61736083452245
23,0.38334100000000004,6.990390626946231,-4.326877381467749,-5.188796814094536,5.482503165484995,-0.9223176181649902,-5.685790405998146
24,0.40000800000000003,6.597070645630237,-4.233389486600496,-5.937176272375334,4.002335525572867,-0.7694026951812365,-3.9151252565179275
25,0.416675,4.453620304554049,-2.7356639782140975,-6.497394431273136,4.894998139984196,0.1885682646930884,-2.449468323599785
26,0.433342,1.7696193375585347,-0.934409888236341,-6.821102406590631,7.477972666549999,2.187358949375074,-1.4196771878193806
27,0.45000900000000005,-0.10930404951018846,0.30519947321764984,-6.590421041613805,9.61508189714003,4.297222742205191,-0.43438554541231955
