gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-221.83,-151.95,-121.95,1.938,1.432,-0.378
-243.54,-147.62,-116.65,1.985,1.373,-0.295
-264.88,-142.87,-111.4,2.029,1.323,-0.243
-284.69,-138.72,-106.71,2.05,1.268,-0.18
-302.87,-134.45,-102.5,2.015,1.239,-0.141
-318.11,-129.51,-98.415,1.953,1.177,-0.122
-334.33,-124.76,-94.024,1.904,1.142,-0.112
-347.56,-120.98,-90.488,1.865,1.091,-0.09
-355.43,-117.5,-87.195,1.841,1.042,-0.064
-360.12,-114.33,-83.049,1.804,0.992,-0.029
-361.04,-110.24,-80.061,1.746,0.934,0.031
-358.11,-105,-78.232,1.697,0.872,0.078
-354.76,-98.963,-76.585,1.645,0.755,0.09
-351.95,-92.134,-75.732,1.589,0.694,0.085
-349.51,-84.939,-74.695,1.513,0.591,0.072
-347.68,-77.805,-71.707,1.448,0.482,0.056
-346.46,-70.549,-67.134,1.382,0.384,0.077
-350,-63.049,-61.098,1.313,0.316,0.113
-357.44,-54.756,-55.244,1.256,0.263,0.12
-366.46,-47.744,-49.329,1.193,0.194,0.124
-377.62,-41.524,-43.232,1.126,0.14,0.123
-385.31,-35.366,-36.402,1.057,0.111,0.135
-391.52,-29.146,-28.72,1.02,0.087,0.127
-397.93,-23.659,-22.073,0.981,0.057,0.109
-401.1,-19.085,-16.585,0.944,0.043,0.096
-401.28,-15.305,-12.5,0.895,0.03,0.09
-397.87,-11.951,-9.146,0.861,0.03,0.076
-392.68,-9.268,-6.037,0.819,0.025,0.071
-385.79,-8.171,-3.11,0.778,0.009,0.078
-376.28,-8.049,0.488,0.741,0.016,0.065
-367.62,-8.537,4.512,0.718,-0.004,0.059
-359.94,-9.634,8.293,0.696,-0.045,0.059
-351.16,-11.646,10.732,0.667,-0.069,0.055
-341.1,-13.232,12.683,0.613,-0.106,0.045
-332.26,-15.366,14.085,0.565,-0.142,0.033
-322.74,-18.232,16.159,0.514,-0.16,0.034
-313.96,-21.646,18.537,0.463,-0.164,0.036
-304.51,-24.329,20.732,0.435,-0.172,0.043
-294.94,-26.829,22.012,0.423,-0.164,0.053
-286.52,-28.78,22.439,0.431,-0.142,0.055
-278.23,-30.793,21.524,0.433,-0.125,0.055
-268.9,-32.256,19.451,0.438,-0.13,0.056
-261.22,-33.78,16.89,0.433,-0.139,0.072
-253.78,-34.878,13.72,0.441,-0.152,0.103
-245.85,-35.488,9.817,0.467,-0.196,0.117
-236.89,-35.61,7.256,0.462,-0.266,0.155
-227.38,-34.878,5.427,0.463,-0.288,0.217
-217.99,-33.354,3.598,0.501,-0.275,0.264
-208.54,-31.89,2.012,0.566,-0.232,0.303
-198.96,-30.793,1.341,0.617,-0.167,0.329
-188.84,-29.756,0.915,0.667,-0.04,0.342
-177.81,-29.085,0.366,0.714,0.127,0.353
-166.4,-28.72,0,0.749,0.275,0.351
-154.09,-28.415,-0.183,0.79,0.406,0.371
-140.85,-28.293,-1.037,0.823,0.518,0.401
-127.01,-28.171,-3.049,0.848,0.613,0.426
