gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
14.085,10.183,-0.366,0.804,0.192,-0.13
7.683,11.28,0.915,0.813,0.21,-0.135
2.195,13.598,2.927,0.85,0.269,-0.125
-2.744,15.366,5.366,0.859,0.215,-0.172
-9.146,18.659,6.829,0.831,0.197,-0.177
-16.707,21.646,8.049,0.835,0.261,-0.205
-22.927,23.476,9.085,0.858,0.315,-0.228
-27.622,27.256,10.549,0.861,0.291,-0.25
-33.537,31.098,14.695,0.889,0.274,-0.276
-38.171,36.951,17.073,0.91,0.281,-0.262
-41.28,43.415,16.829,0.924,0.311,-0.256
-44.085,48.415,17.744,0.965,0.355,-0.229
-47.378,53.841,16.463,1.024,0.292,-0.251
-56.28,59.695,12.866,1.038,0.264,-0.19
-59.573,67.439,10.671,1.071,0.298,-0.169
-62.561,74.451,8.171,1.142,0.344,-0.19
-67.012,81.463,5.793,1.203,0.336,-0.173
-78.476,89.207,1.341,1.28,0.313,-0.182
-80.427,97.927,0,1.377,0.31,-0.178
-86.341,105.06,-2.561,1.444,0.312,-0.133
-93.598,114.88,-6.951,1.508,0.316,-0.094
-98.72,124.82,-10.427,1.644,0.275,-0.171
-103.9,136.16,-12.805,1.784,0.227,-0.127
-108.66,148.96,-13.963,1.888,0.234,-0.14
-112.81,162.74,-13.841,1.991,0.167,-0.102
-115.98,176.77,-12.317,2.066,0.083,-0.05
-117.07,191.46,-11.341,2.146,-0.028,0.059
-110.06,201.77,-6.89,2.259,-0.169,0.111
-108.54,214.15,-5.366,2.373,-0.322,0.191
-119.57,233.35,-11.89,2.518,-0.523,0.27
-120.24,246.77,-13.171,2.689,-0.714,0.303
-123.23,262.19,-18.232,2.897,-0.897,0.283
-130.43,278.72,-21.951,3.128,-1.061,0.214
-132.68,291.83,-22.5,3.307,-1.277,0.147
-139.76,305.55,-28.476,3.547,-1.398,0.048
-156.59,320.61,-37.805,3.713,-1.545,-0.042
-176.46,329.88,-37.866,3.82,-1.651,-0.088
-190.67,334.02,-39.939,3.9,-1.648,-0.181
-217.38,338.29,-48.963,3.849,-1.648,-0.174
-242.62,340.37,-58.171,3.742,-1.597,-0.179
-269.82,335.61,-63.659,3.729,-1.388,-0.221
-295,329.82,-68.841,3.602,-1.201,-0.247
-326.65,318.96,-73.78,3.5,-1.014,-0.299
-364.15,311.22,-82.866,3.371,-0.816,-0.422
-402.38,303.11,-91.585,3.281,-0.57,-0.517
-449.76,297.87,-103.29,3.193,-0.367,-0.618
-497.74,292.68,-113.35,3.039,-0.165,-0.699
-548.84,290.85,-125.92,2.881,0.008,-0.803
-608.54,293.42,-142.5,2.724,0.162,-0.867
-667.38,297.44,-158.54,2.516,0.3,-0.958
-727.44,307.62,-176.46,2.35,0.492,-1.042
-790.43,325.98,-194.39,2.117,0.663,-1.083
-851.46,350.79,-213.72,1.799,0.818,-1.05
-917.93,374.63,-230.79,1.542,0.883,-1.096
-1002.9,400.31,-243.41,1.207,0.995,-1.167
-1094.8,435.12,-251.4,0.905,1.078,-1.222
-1174.5,476.1,-251.1,0.622,1.086,-1.292
-1228,521.89,-237.07,0.26,1.072,-1.326
-1244.9,574.45,-215.31,-0.159,1.011,-1.311
-1236,680.06,-210.98,-0.668,0.908,-1.269
-1199.2,945.85,-197.5,-1.348,0.852,-1.332
-1159.5,1041.5,-103.6,-2.206,0.75,-1.437
-1153.7,701.4,-87.866,-3.377,0.421,-1.397
-1056.3,389.33,-129.88,-5.091,-0.016,-0.963
-881.83,237.74,-112.19,-4.859,-0.103,0.482
-652.13,166.46,-132.93,-6.274,-0.997,1.326
-415.49,112.81,-211.1,-13.944,-1.992,1.42
