gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
428.84,-48.78,378.96,0.116,0.743,-0.018
447.07,-50.671,388.54,0.292,0.627,0.101
464.82,-52.317,397.56,0.49,0.65,0.214
481.71,-53.598,406.04,0.718,0.579,0.283
496.71,-53.537,412.74,0.882,0.465,0.39
510.55,-52.073,418.11,1.03,0.398,0.562
520.73,-50.854,422.26,1.25,0.301,0.602
530,-48.598,424.39,1.507,0.219,0.72
537.44,-46.159,423.78,1.659,0.077,0.782
541.77,-46.098,421.34,1.809,-0.061,0.799
543.17,-47.988,416.16,2.009,-0.135,0.898
542.44,-50.366,409.39,2.222,-0.236,0.868
537.99,-55.183,401.1,2.339,-0.289,0.869
530.37,-61.098,391.58,2.498,-0.336,0.946
522.62,-67.561,380.18,2.557,-0.323,1.117
495.31,-79.207,363.17,2.653,-0.16,1.322
470,-93.354,346.16,2.669,-0.182,1.385
452.93,-108.48,329.21,2.619,-0.226,1.409
436.83,-120.73,316.71,2.625,-0.229,1.417
418.42,-131.16,302.19,2.552,-0.175,1.41
394.63,-140.24,284.39,2.444,-0.114,1.406
367.01,-151.34,269.82,2.332,-0.05,1.377
338.96,-160.18,259.57,2.246,0.002,1.316
315.67,-162.74,245.67,2.193,0.079,1.243
286.89,-171.46,228.11,2.129,0.166,1.157
258.35,-175.67,212.07,2.047,0.234,1.075
228.66,-179.09,202.19,1.96,0.304,0.942
191.16,-181.77,189.39,1.857,0.343,0.743
150.85,-174.39,174.51,1.765,0.355,0.542
114.15,-169.09,162.5,1.673,0.327,0.35
74.756,-159.33,151.04,1.603,0.302,0.207
38.232,-152.81,140.37,1.5,0.285,0.091
7.134,-148.41,126.58,1.398,0.266,0.004
-22.134,-142.93,114.08,1.332,0.229,-0.063
-48.963,-137.87,101.77,1.289,0.193,-0.099
-71.585,-132.99,89.329,1.225,0.19,-0.128
-90.549,-128.35,77.317,1.185,0.211,-0.155
-108.35,-123.9,64.634,1.158,0.203,-0.208
-124.57,-119.63,51.524,1.124,0.168,-0.226
-139.21,-115.12,38.902,1.093,0.144,-0.228
-153.23,-108.9,27.256,1.048,0.128,-0.233
-166.95,-104.21,16.22,1.014,0.094,-0.226
-177.5,-98.476,7.927,0.999,0.054,-0.194
-186.52,-92.622,1.768,0.977,0.05,-0.175
-193.54,-87.012,-2.622,0.957,0.046,-0.146
-197.93,-77.439,-6.28,0.937,0.044,-0.112
-202.19,-67.683,-7.866,0.926,0.031,-0.073
-204.82,-58.049,-10.488,0.9,0.039,-0.035
-205.85,-47.5,-13.11,0.89,0.053,-0.004
-205.55,-37.073,-14.939,0.91,0.038,0.016
-203.35,-26.951,-18.049,0.911,0.053,0.031
-198.72,-17.317,-21.829,0.898,0.06,0.047
-192.26,-10.854,-25.488,0.893,0.074,0.062
-183.6,-5.732,-29.146,0.894,0.091,0.077
-173.6,-1.768,-31.89,0.895,0.102,0.083
-161.71,0.427,-34.39,0.886,0.114,0.085
-148.05,0.915,-35.061,0.88,0.135,0.092
-134.27,0.671,-33.902,0.882,0.16,0.106
-120.31,0.305,-32.622,0.882,0.176,0.11
-106.28,-0.732,-30.732,0.887,0.193,0.098
