gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
12.073,-22.073,-3.354,0.614,0.34,-0.304
11.524,-22.622,-3.598,0.612,0.373,-0.326
10.427,-22.866,-3.598,0.621,0.396,-0.337
10.366,-21.829,-3.354,0.648,0.405,-0.349
10.854,-20.488,-3.293,0.67,0.408,-0.36
10.976,-18.659,-3.72,0.692,0.387,-0.379
11.402,-15.915,-3.537,0.734,0.377,-0.399
12.012,-14.573,-3.72,0.776,0.398,-0.419
15.793,-15.488,-4.878,0.805,0.415,-0.433
18.902,-15,-6.707,0.832,0.416,-0.445
23.415,-10.61,-8.11,0.864,0.401,-0.46
30,-6.585,-9.146,0.881,0.392,-0.467
35.854,-4.695,-12.561,0.899,0.378,-0.472
40.183,-1.89,-16.768,0.98,0.333,-0.467
44.878,7.683,-21.463,1.093,0.282,-0.463
49.024,20.366,-24.268,1.179,0.246,-0.445
50.305,29.451,-27.5,1.244,0.247,-0.424
50.427,39.695,-30.122,1.373,0.249,-0.434
47.195,51.585,-30.671,1.527,0.233,-0.394
41.829,63.72,-31.037,1.667,0.17,-0.336
35.061,80.122,-30.488,1.713,0.148,-0.27
23.598,95.61,-28.537,1.757,0.146,-0.208
6.037,109.33,-31.646,1.841,0.128,-0.158
-8.171,129.33,-31.951,1.902,0.127,-0.103
-23.293,146.28,-32.5,2.029,0.096,-0.028
-40.122,164.82,-31.159,2.206,0.002,-0.008
-61.89,183.9,-28.72,2.373,-0.048,-0.014
-87.866,196.83,-29.329,2.599,-0.155,0.017
-108.78,212.26,-27.561,2.728,-0.287,0.03
-128.11,226.59,-16.585,2.832,-0.411,0.041
-138.9,248.23,-1.463,2.971,-0.602,0.027
-165.43,280.61,6.463,3.217,-0.82,-0.02
-189.88,305.06,16.463,3.422,-0.983,-0.001
-221.89,325.79,21.585,3.591,-1.168,-0.005
-251.59,341.52,29.451,3.724,-1.288,-0.08
-280.67,357.68,39.024,3.829,-1.432,-0.06
-309.57,375,47.378,3.847,-1.526,-0.033
-321.1,387.13,56.463,3.785,-1.59,-0.008
-352.19,392.5,56.585,3.781,-1.591,-0.003
-366.04,393.48,58.598,3.835,-1.5,-0.075
-340.73,374.69,57.622,3.807,-1.4,-0.095
-307.99,364.27,51.098,3.724,-1.339,-0.244
-312.32,383.84,50.488,3.75,-1.223,-0.425
-381.34,406.89,38.963,3.775,-1.149,-0.67
-456.04,379.69,0.122,3.526,-1.665,-0.863
-492.62,351.71,-16.341,3.136,-1.698,-0.283
-533.84,356.95,-30.732,3.416,-0.686,0.02
-580,345.73,-41.768,3.799,0.066,-0.533
-626.71,320.73,-50.244,3.687,0.198,-1.06
-671.95,305.61,-60.915,3.354,-0.056,-0.431
-714.82,301.1,-81.22,3.111,-0.04,-0.641
-747.87,304.02,-105.55,2.822,0.28,-0.928
-774.57,314.69,-134.33,2.605,0.41,-0.936
-796.16,336.16,-163.41,2.564,0.497,-0.86
-812.5,375.79,-201.59,2.342,0.578,-0.899
-822.44,414.02,-239.27,2.166,0.496,-0.869
-828.23,441.16,-270.43,1.89,0.485,-0.84
-851.4,472.07,-306.77,1.677,0.516,-0.922
-891.77,519.76,-347.74,1.252,0.394,-1.021
-898.84,578.78,-370.92,0.785,0.11,-1.219
-847.13,687.38,-387.38,0.133,-0.168,-1.329
-778.17,1045.4,-340.85,-0.767,-0.411,-1.285
-759.88,1201.1,-218.72,-1.6,-0.867,-1.271
-790.91,647.8,-228.96,-2.518,-1.253,-0.996
-733.84,314.45,-287.5,-4.174,-1.538,-0.293
-608.54,307.5,-256.4,-3.453,-1.296,1.481
-511.52,256.83,-225.43,-5.583,-0.698,2.456
-393.17,200.67,-255.43,-15.727,-1.069,1.753
-286.16,168.54,-226.89,-15.258,0.282,3.94
-196.83,95.122,-89.695,-8.412,1.291,5.133
-84.512,-41.524,40.793,-5.787,2.73,3.367
28.963,-152.19,154.51,-4.757,2.35,1.043
144.82,-234.09,227.62,-3.474,1.166,-0.993
251.77,-302.99,266.28,-3.818,0.046,-1.73
356.83,-319.94,251.59,-4.865,-0.879,-2.169
449.88,-307.13,221.4,-4.842,-1.871,-2.054
488.29,-249.82,241.65,-4.599,-1.979,-1.466
460,-190.18,209.09,-4.321,-1.737,-0.974
432.87,-155.61,135.31,-3.445,-1.995,-0.221
427.01,-144.94,87.073,-3.027,-2.491,0.628
425.18,-129.15,49.512,-2.133,-2.253,1.448
414.15,-114.69,39.024,-1.418,-0.515,1.444
397.81,-113.54,46.89,-0.739,0.52,0.938
380.85,-116.28,63.841,-0.678,-0.978,0.229
360.55,-111.04,82.134,-0.762,-1.435,-0.462
333.6,-96.585,93.415,-0.73,-1.655,-0.741
305.43,-82.988,95.61,-0.912,-1.629,-0.81
288.96,-75.427,92.866,-1.042,-1.529,-0.696
278.66,-72.317,88.415,-0.913,-1.598,-0.369
270.98,-73.841,86.341,-0.702,-1.486,0.108
269.51,-79.512,88.11,-0.593,-1.044,0.544
275.85,-87.012,90.305,-0.643,-0.607,0.876
291.71,-97.439,93.171,-0.809,-0.478,1.087
320.55,-109.27,96.646,-1.028,-0.532,1.177
351.52,-118.6,99.39,-1.276,-0.547,1.235
390.49,-127.44,100.61,-1.5,-0.509,1.316
436.95,-136.65,100.98,-1.659,-0.474,1.4
486.95,-147.32,100.92,-1.798,-0.471,1.469
537.8,-157.87,100.61,-1.905,-0.44,1.437
588.66,-167.19,101.52,-2.009,-0.327,1.408
639.33,-173.78,104.88,-2.11,-0.197,1.393
686.83,-176.71,109.33,-2.2,-0.016,1.364
727.87,-177.13,112.81,-2.232,0.117,1.306
764.33,-176.28,116.04,-2.199,0.214,1.216
790.37,-173.84,122.44,-2.076,0.359,1.07
809.09,-168.96,129.51,-1.914,0.526,0.917
819.57,-163.23,137.44,-1.729,0.687,0.731
821.89,-159.21,145.49,-1.534,0.792,0.529
821.71,-154.02,150.98,-1.314,0.889,0.338
807.93,-151.28,160.73,-1.096,0.965,0.134
790.18,-143.11,172.01,-0.861,1.031,-0.049
770.43,-134.02,183.11,-0.635,1.103,-0.22
743.17,-134.27,192.26,-0.46,1.177,-0.354
712.87,-138.35,200.98,-0.249,1.203,-0.452
687.01,-140,210.06,-0.092,1.175,-0.554
661.16,-146.04,222.19,0.067,1.074,-0.676
621.34,-154.39,220.18,0.283,1.106,-0.787
576.4,-158.78,221.16,0.454,1.239,-0.812
536.28,-164.39,223.05,0.586,1.262,-0.838
494.51,-169.63,219.02,0.626,1.142,-0.907
451.28,-176.28,216.16,0.8,1.045,-1.046
426.65,-178.29,209.94,0.805,1.291,-0.942
385.31,-200.49,200.37,0.871,1.107,-0.96
347.19,-227.74,187.26,1.039,0.983,-0.906
315.06,-248.78,182.56,1.095,1.013,-0.853
281.52,-253.66,172.81,1.218,0.891,-0.733
252.01,-231.1,169.45,1.137,0.668,-0.663
224.15,-205.85,171.59,1.007,0.53,-0.686
172.93,-217.19,177.26,1.198,0.479,-0.545
141.1,-234.09,169.82,1.35,0.508,-0.363
120.49,-233.05,159.69,1.791,0.39,-0.245
83.963,-220,161.83,1.982,0.452,-0.139
43.171,-214.63,170.12,1.705,0.299,-0.191
27.439,-205.12,157.62,1.582,0.144,-0.107
9.573,-192.99,144.63,1.852,0.098,0.104
-17.317,-182.87,139.94,2.135,-0.01,0.101
-34.695,-168.96,127.38,2.248,-0.118,0.039
-54.024,-159.33,116.46,2.192,-0.097,0.049
-77.134,-152.87,110,2.316,-0.227,0.06
-103.78,-141.95,101.77,2.435,-0.384,0.013
-128.96,-129.76,95.61,2.388,-0.372,0.019
-149.39,-121.4,91.463,2.407,-0.402,0.051
-170.79,-114.21,89.756,2.395,-0.405,0.089
-194.82,-109.76,88.293,2.349,-0.342,0.19
-214.57,-107.19,86.585,2.326,-0.261,0.346
-230.61,-104.88,84.756,2.168,-0.149,0.377
-245,-102.87,82.744,2.071,-0.076,0.37
-255.67,-99.634,81.646,1.993,-0.066,0.294
-262.93,-94.878,81.463,1.93,-0.04,0.244
-267.07,-91.037,78.11,1.849,-0.02,0.172
-269.82,-84.756,74.39,1.761,-0.021,0.12
-263.72,-74.39,71.463,1.682,-0.006,0.096
-252.99,-63.415,68.415,1.64,0.008,0.069
-237.19,-60.366,63.537,1.529,0.021,0.105
-217.81,-65.488,55.793,1.449,0.05,0.113
-205.31,-78.598,47.988,1.385,0.121,0.137
-187.01,-87.317,45,1.314,0.12,0.152
-161.71,-84.268,46.951,1.179,0.108,0.132
-144.88,-77.622,48.963,1.032,0.037,0.172
-133.9,-75.732,47.744,0.949,-0.093,0.194
-124.08,-78.232,44.451,1.011,-0.005,0.276
-115.92,-79.878,41.463,1.11,0.172,0.311
-111.46,-81.707,37.683,1.084,0.177,0.229
-110.12,-82.561,33.78,0.988,0.193,0.091
-109.82,-84.634,31.037,0.914,0.296,-0.054
-112.38,-87.012,29.39,0.928,0.415,-0.169
-116.58,-90.61,29.024,0.943,0.502,-0.259
-123.54,-94.146,28.72,0.942,0.582,-0.311
-130.98,-97.378,28.232,0.937,0.642,-0.372
-138.6,-99.024,27.317,0.916,0.703,-0.396
-142.68,-100.61,26.585,0.882,0.714,-0.429
-144.82,-102.19,25,0.869,0.72,-0.425
-146.89,-102.74,22.134,0.854,0.779,-0.433
-145.61,-102.56,19.207,0.848,0.781,-0.46
-143.66,-101.95,15.061,0.84,0.742,-0.459
-139.76,-102.13,10.854,0.856,0.728,-0.447
-133.48,-101.89,6.829,0.874,0.712,-0.452
-127.81,-100.79,2.805,0.864,0.719,-0.428
-120.67,-98.902,-1.159,0.859,0.712,-0.447
-112.99,-96.524,-5.366,0.856,0.683,-0.434
-105.43,-93.415,-9.39,0.838,0.692,-0.43
-97.744,-90.427,-13.049,0.825,0.653,-0.417
-90.61,-86.951,-16.585,0.803,0.629,-0.384
-84.573,-83.11,-19.695,0.782,0.618,-0.366
