gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-187.38,-9.878,463.48,0.582,3.048,1.531
-200.91,-1.524,445.73,0.553,3.304,1.48
-207.5,12.439,430.43,0.527,3.604,1.498
-219.33,22.683,416.16,0.464,3.835,1.535
-229.02,33.963,400.12,0.391,3.995,1.525
-232.62,48.598,382.87,0.29,4.138,1.543
-235.49,60.122,362.19,0.104,4.092,1.538
-234.57,76.89,337.87,0.118,4.428,1.566
-232.26,94.39,310.55,0.064,4.694,1.578
-230.67,114.76,281.1,-0.083,4.657,1.487
-229.57,135.98,249.94,-0.143,4.772,1.457
-225.06,156.04,215.61,-0.19,4.922,1.419
-218.66,175.12,179.02,-0.259,4.967,1.336
-213.72,192.44,141.1,-0.324,5.012,1.299
-207.56,205.61,102.19,-0.447,5.027,1.199
-196.52,216.4,60.305,-0.585,4.996,1.176
-194.39,222.44,17.439,-0.737,4.989,1.095
-182.56,217.19,-23.78,-0.87,4.984,1.002
-176.4,201.46,-64.207,-1.015,4.993,0.849
-171.77,182.44,-110.24,-1.181,4.93,0.698
-189.88,146.89,-154.45,-1.373,4.852,0.508
-193.23,125.12,-203.66,-1.583,4.719,0.284
-202.74,95.549,-247.5,-1.866,4.564,-0.03
-219.63,58.902,-291.04,-2.1,4.633,-0.315
-233.48,24.085,-334.94,-2.338,4.46,-0.593
-252.93,-9.695,-378.05,-2.48,4.489,-0.906
-275.37,-40.671,-420.43,-2.584,4.375,-1.21
-297.26,-67.622,-460.61,-2.387,4.543,-1.412
-314.94,-95.061,-498.96,-2.282,4.567,-1.904
-330.37,-120.92,-534.09,-2.138,4.468,-2.356
-342.56,-142.87,-565.73,-1.903,4.486,-2.693
-353.29,-162.62,-592.8,-1.688,4.411,-2.919
-358.96,-182.32,-615.67,-1.45,4.319,-3.116
-360.18,-203.23,-632.68,-1.175,4.232,-3.281
-356.77,-221.77,-647.8,-0.889,4.098,-3.354
-350.73,-239.57,-658.96,-0.604,3.916,-3.403
-338.9,-255.24,-669.7,-0.321,3.695,-3.399
-329.02,-273.11,-677.68,-0.052,3.494,-3.448
-321.71,-296.58,-684.39,0.166,3.252,-3.432
-311.77,-311.58,-688.9,0.392,3.052,-3.441
-305.43,-322.19,-684.63,0.595,2.896,-3.313
-301.16,-335.43,-680.73,0.74,2.723,-3.275
-297.87,-347.01,-675.79,0.87,2.579,-3.196
-292.56,-358.54,-671.22,0.957,2.462,-3.077
-287.38,-369.27,-662.5,0.997,2.369,-2.984
-284.63,-373.29,-642.01,1.036,2.347,-2.836
-280.73,-377.19,-604.02,1.072,2.317,-2.746
-266.46,-376.89,-541.4,1.131,2.328,-2.627
-244.27,-368.42,-467.74,1.211,2.348,-2.536
-219.45,-377.32,-385.0,1.323,2.322,-2.501
-202.99,-394.94,-300.98,1.502,2.215,-2.446
-218.66,-400.0,-234.94,1.754,2.056,-2.363
-237.99,-396.1,-197.87,2.023,1.869,-2.337
-269.02,-320.0,-189.21,2.313,1.764,-2.327
-218.72,-240.12,-187.87,2.565,1.799,-2.273
-209.57,-195.18,-181.95,3.142,1.701,-2.206
-212.38,-151.89,-163.11,3.547,1.183,-2.347
-188.9,-105.55,-140.12,3.876,0.697,-2.434
-157.32,-59.939,-114.15,4.222,0.346,-2.142
