gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
77.073,50.61,-124.39,3.408,-3.706,-0.169
73.049,67.561,-178.84,3.671,-3.729,-0.414
79.146,85.793,-228.41,3.987,-3.756,-0.601
91.341,104.08,-274.21,4.164,-3.915,-0.819
106.4,121.1,-316.46,4.289,-4.056,-0.979
123.11,137.32,-354.08,4.247,-4.163,-1.178
139.09,153.96,-388.23,3.968,-4.355,-1.367
150.18,172.74,-420.12,3.677,-4.529,-1.501
155.98,192.93,-448.96,3.381,-4.562,-1.683
156.22,214.21,-474.82,3.066,-4.578,-1.828
152.68,238.11,-498.54,2.753,-4.547,-1.936
145.37,265.0,-520.37,2.418,-4.502,-2.03
134.02,293.6,-538.96,2.054,-4.427,-2.094
122.07,323.72,-552.8,1.716,-4.32,-2.12
112.13,356.28,-562.68,1.451,-4.161,-2.091
104.27,391.22,-569.15,1.232,-3.963,-2.043
100.98,426.83,-571.71,1.021,-3.733,-1.994
105.67,462.87,-570.67,0.814,-3.579,-1.934
119.08,496.95,-566.83,0.628,-3.498,-1.857
144.94,529.33,-563.35,0.42,-3.431,-1.772
184.39,554.39,-560.12,0.169,-3.375,-1.682
237.68,573.35,-556.4,-0.083,-3.375,-1.6
311.16,592.74,-551.52,-0.313,-3.42,-1.518
400.24,609.7,-546.46,-0.551,-3.472,-1.426
497.74,613.48,-534.15,-0.842,-3.542,-1.381
604.63,605.79,-505.37,-1.131,-3.667,-1.375
717.56,582.74,-465.12,-1.451,-3.795,-1.381
788.05,531.59,-415.0,-1.767,-3.896,-1.427
807.38,478.48,-373.72,-1.98,-4.005,-1.552
786.77,472.81,-344.08,-2.274,-4.186,-1.589
730.55,409.94,-263.96,-2.775,-4.383,-1.476
648.6,266.95,-225.98,-3.422,-4.584,-1.416
502.87,161.77,-234.15,-4.454,-4.833,-1.546
464.08,95.915,-229.51,-5.844,-4.964,-1.787
398.9,48.598,-193.9,-7.043,-4.472,-2.184
220.24,-17.927,-153.9,-8.095,-3.646,-2.816
20.915,-65.0,-105.12,-9.398,-2.514,-3.585
-170.37,-107.26,-59.756,-9.342,-0.993,-4.042
-332.38,-121.71,-19.39,-7.032,0.81,-4.604
-453.23,-120.37,13.659,-5.109,2.423,-4.63
-552.5,-117.38,32.256,-3.84,3.626,-3.96
-617.8,-103.72,42.866,-4.429,3.68,-2.751
-638.78,-85.793,61.585,-4.898,3.566,-2.111
-616.52,-66.098,80.488,-4.901,3.749,-1.905
-560.43,-42.683,101.71,-4.161,3.854,-1.886
-482.01,-25.305,121.65,-3.484,3.942,-1.54
-383.78,-13.171,140.49,-3.303,3.722,-0.925
-269.88,-6.463,160.49,-3.294,3.34,-0.293
-157.19,-8.232,178.54,-3.048,2.823,0.136
-55.427,-8.78,198.9,-2.44,2.236,0.446
23.11,-8.78,221.16,-2.164,1.657,0.901
72.134,-10.427,242.44,-2.228,1.188,1.48
93.476,-12.317,262.62,-2.256,0.867,2.046
86.707,-16.22,280.18,-2.061,0.782,2.349
54.634,-29.695,292.81,-1.814,0.707,2.362
0.854,-40.854,303.54,-1.745,0.693,2.322
-67.134,-52.073,309.57,-1.805,0.707,2.269
-143.48,-74.268,311.71,-1.832,0.76,2.246
-222.68,-100.0,310.98,-1.74,0.858,2.261
-297.38,-127.13,306.77,-1.62,0.99,2.271
-364.63,-156.22,300.12,-1.577,1.046,2.297
-418.35,-186.1,289.27,-1.521,1.057,2.29
-451.34,-216.59,271.16,-1.458,0.907,2.178
-464.63,-245.24,249.88,-1.58,0.712,1.972
-457.99,-272.68,221.95,-1.671,0.334,1.748
-436.16,-299.69,190.12,-1.711,-0.192,1.501
-403.29,-324.63,158.17,-1.732,-0.822,1.287
-362.62,-345.49,126.58,-1.74,-1.401,1.114
-315.55,-360.61,97.317,-1.651,-1.821,0.896
-271.83,-374.45,70.0,-1.41,-2.226,0.818
-230.12,-385.43,46.098,-1.114,-2.565,0.709
-196.65,-393.84,23.659,-0.836,-2.825,0.572
-171.34,-399.27,3.354,-0.655,-3.039,0.471
-154.94,-402.5,-13.78,-0.565,-3.213,0.384
-147.13,-404.51,-27.683,-0.467,-3.11,0.139
-146.22,-403.9,-39.634,-0.438,-3.14,0.008
-150.31,-402.68,-49.451,-0.399,-2.956,-0.164
-157.38,-398.42,-57.988,-0.382,-2.735,-0.295
-165.43,-392.56,-65.854,-0.319,-2.494,-0.403
-172.32,-385.79,-72.988,-0.209,-2.239,-0.534
-178.17,-378.66,-79.268,-0.138,-2.008,-0.625
-182.5,-371.04,-83.476,-0.047,-1.813,-0.692
-183.78,-362.5,-85.122,0.015,-1.621,-0.774
-181.89,-353.35,-85.061,0.099,-1.421,-0.824
