gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
17.805,-10.183,-3.902,0.832,-0.57,0.464
16.22,-10.0,-3.78,0.816,-0.558,0.442
14.573,-9.756,-3.415,0.799,-0.54,0.416
12.988,-9.756,-3.049,0.785,-0.525,0.391
11.524,-9.695,-2.744,0.765,-0.515,0.384
10.366,-9.634,-2.317,0.751,-0.511,0.374
9.024,-9.634,-1.951,0.734,-0.506,0.36
7.744,-9.756,-1.646,0.721,-0.501,0.348
6.707,-9.39,-0.854,0.707,-0.491,0.333
5.549,-8.902,-0.122,0.689,-0.48,0.313
4.695,-8.598,0.61,0.667,-0.474,0.292
3.902,-8.293,1.098,0.643,-0.47,0.271
3.232,-8.11,1.707,0.633,-0.461,0.265
3.171,-8.049,2.317,0.624,-0.454,0.256
3.476,-8.11,2.744,0.611,-0.452,0.247
3.902,-8.293,3.293,0.593,-0.45,0.239
4.756,-8.902,4.024,0.574,-0.444,0.234
5.671,-9.512,4.573,0.558,-0.442,0.233
6.646,-10.244,5.427,0.547,-0.441,0.229
6.89,-10.976,7.012,0.522,-0.437,0.22
6.585,-12.073,9.024,0.497,-0.434,0.218
6.098,-13.476,11.098,0.477,-0.435,0.226
5.183,-15.061,12.988,0.459,-0.434,0.217
3.78,-16.829,14.939,0.431,-0.431,0.2
1.89,-18.659,17.012,0.407,-0.433,0.185
-1.037,-20.915,18.78,0.384,-0.436,0.168
-5.0,-23.476,20.305,0.36,-0.44,0.154
-9.329,-26.524,21.89,0.329,-0.443,0.145
-14.268,-29.817,23.659,0.297,-0.441,0.135
-19.878,-33.171,25.427,0.262,-0.438,0.101
-26.098,-36.341,27.317,0.224,-0.424,0.062
-32.988,-39.695,29.512,0.191,-0.405,0.024
-38.598,-41.89,32.744,0.155,-0.389,-0.02
-46.951,-43.659,36.402,0.116,-0.378,-0.075
-55.366,-44.329,40.854,0.087,-0.376,-0.126
-63.415,-43.293,46.829,0.044,-0.361,-0.192
-74.024,-41.768,54.207,-0.006,-0.34,-0.261
-83.232,-39.451,63.841,-0.073,-0.331,-0.302
