gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
20.671,-6.707,-8.415,0.858,0.25,0.377
21.22,-6.402,-8.598,0.857,0.251,0.365
21.524,-6.037,-8.537,0.855,0.251,0.358
21.524,-5.366,-8.049,0.86,0.26,0.366
20.671,-4.512,-7.622,0.863,0.269,0.375
19.207,-3.902,-7.317,0.861,0.265,0.389
17.683,-3.232,-6.829,0.858,0.258,0.393
15.061,-3.354,-6.646,0.86,0.266,0.4
12.439,-3.232,-6.463,0.859,0.276,0.407
9.512,-2.988,-6.159,0.855,0.288,0.417
6.707,-3.049,-6.098,0.858,0.298,0.419
4.146,-2.927,-5.732,0.836,0.311,0.436
1.951,-2.561,-5.305,0.835,0.319,0.451
-0.183,-2.317,-5.244,0.843,0.316,0.456
-2.195,-2.134,-5.244,0.849,0.32,0.463
-3.841,-2.012,-5.305,0.853,0.328,0.473
-4.512,-2.073,-5.122,0.852,0.338,0.471
-4.939,-2.012,-4.878,0.845,0.337,0.468
-4.939,-2.012,-4.878,0.841,0.337,0.46
-4.878,-2.012,-4.939,0.835,0.341,0.462
-4.573,-1.829,-4.878,0.828,0.343,0.465
-3.476,-1.159,-4.39,0.826,0.336,0.474
-2.195,-0.61,-3.963,0.821,0.332,0.479
-3.11,-0.427,-4.756,0.81,0.33,0.485
-4.268,-0.183,-5.915,0.802,0.338,0.476
-5.671,0.305,-6.89,0.795,0.35,0.474
-6.098,0.732,-7.439,0.794,0.362,0.465
-7.866,1.098,-8.354,0.771,0.37,0.471
-8.963,1.829,-8.963,0.765,0.379,0.469
-10.244,2.256,-9.512,0.768,0.389,0.468
-12.012,2.195,-10.122,0.764,0.388,0.463
-12.622,2.195,-10.366,0.753,0.387,0.459
-12.683,2.195,-10.366,0.749,0.39,0.433
-12.805,2.073,-10.305,0.736,0.39,0.426
-12.988,1.829,-11.037,0.713,0.388,0.425
-12.561,1.829,-11.89,0.703,0.398,0.415
-12.195,2.134,-12.622,0.684,0.393,0.405
-11.829,2.378,-13.78,0.68,0.383,0.382
-11.585,2.866,-14.939,0.67,0.38,0.371
-11.585,2.744,-16.768,0.672,0.382,0.357
-11.646,2.683,-18.354,0.679,0.377,0.346
-11.646,2.561,-19.695,0.68,0.377,0.333
-11.89,2.195,-21.037,0.683,0.377,0.323
-11.341,1.768,-22.073,0.684,0.38,0.314
-10.0,0.915,-22.561,0.69,0.395,0.301
-8.293,-0.183,-22.744,0.69,0.4,0.283
-5.427,-1.768,-22.744,0.688,0.398,0.265
-2.195,-3.293,-22.683,0.676,0.39,0.249
1.402,-4.878,-22.683,0.654,0.373,0.23
4.878,-6.098,-22.805,0.632,0.348,0.206
7.317,-7.378,-23.78,0.614,0.326,0.18
9.024,-8.72,-25.366,0.592,0.306,0.154
11.22,-9.695,-26.707,0.581,0.281,0.136
12.256,-10.671,-28.659,0.581,0.263,0.129
11.829,-11.585,-30.671,0.589,0.264,0.124
9.817,-12.622,-33.11,0.595,0.276,0.123
8.171,-12.927,-35.793,0.624,0.287,0.12
6.28,-13.11,-38.476,0.641,0.283,0.134
4.451,-13.049,-41.402,0.659,0.267,0.14
3.354,-12.683,-44.573,0.672,0.258,0.153
3.11,-11.768,-48.293,0.667,0.247,0.153
3.232,-9.817,-52.683,0.652,0.229,0.152
3.841,-6.829,-57.805,0.635,0.197,0.15
11.768,2.5,-65.793,0.631,0.154,0.14
17.439,8.293,-73.293,0.631,0.111,0.138
23.11,17.256,-82.622,0.635,0.059,0.13
26.22,28.049,-96.829,0.642,0.005,0.123
22.988,35.915,-106.04,0.646,-0.029,0.103
19.146,41.402,-110.85,0.718,-0.108,0.037
19.329,52.744,-120.61,0.723,-0.114,0.029
18.415,62.927,-128.11,0.78,-0.208,0.037
15.793,72.927,-137.44,0.828,-0.219,0.046
12.805,83.537,-145.43,0.879,-0.162,0.095
10.0,95.854,-151.71,0.9,-0.235,0.072
4.024,109.76,-158.66,0.953,-0.256,0.114
-4.756,123.29,-165.49,0.978,-0.259,0.157
