gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-299.15,109.63,-292.44,-1.29,5.583,0.374
-329.39,109.33,-354.02,-1.485,5.332,0.3
-325.18,105.18,-415.18,-1.766,5.068,0.164
-303.17,99.329,-473.72,-2.257,4.815,0.028
-289.63,92.683,-528.54,-2.426,4.558,-0.14
-275.55,87.256,-580.3,-2.514,4.359,-0.284
-263.66,84.329,-628.29,-2.509,3.993,-0.541
-254.09,81.28,-672.01,-2.368,4.196,-0.707
-245.06,75.061,-711.77,-2.201,4.087,-0.927
-234.57,66.89,-747.87,-1.962,3.971,-1.144
-223.6,55.793,-778.72,-1.658,3.953,-1.338
-209.51,35.793,-806.4,-1.311,3.917,-1.539
-195.73,18.841,-828.6,-0.924,3.844,-1.743
-180.73,-6.22,-846.77,-0.519,3.76,-1.932
-166.65,-33.11,-858.84,-0.157,3.653,-2.113
-150.24,-59.329,-869.45,0.146,3.54,-2.258
-135.0,-88.72,-876.16,0.393,3.422,-2.391
-120.31,-120.12,-879.33,0.579,3.317,-2.5
-104.51,-150.55,-880.37,0.703,3.199,-2.606
-90.183,-180.98,-877.8,0.814,3.096,-2.716
-80.488,-210.37,-870.85,0.907,2.999,-2.804
-71.707,-237.01,-861.28,0.963,2.88,-2.857
-68.598,-259.51,-845.98,1.004,2.797,-2.871
-67.805,-276.22,-825.3,1.015,2.757,-2.866
-62.866,-288.54,-794.02,1.042,2.761,-2.838
-56.585,-300.0,-747.44,1.048,2.753,-2.774
-33.598,-308.17,-682.38,1.035,2.75,-2.659
2.195,-312.19,-602.26,1.001,2.755,-2.493
43.902,-318.84,-505.92,1.004,2.804,-2.311
84.207,-325.55,-385.0,1.012,2.847,-2.131
96.098,-337.74,-275.06,1.114,2.872,-1.993
78.171,-343.96,-196.95,1.298,2.91,-1.838
28.354,-316.16,-142.99,1.568,2.98,-1.666
32.5,-270.73,-122.13,1.839,2.927,-1.685
53.72,-246.95,-121.16,1.991,2.69,-1.643
