gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-2.073,4.085,0.793,0.804,0.251,0.524
1.098,4.207,1.22,0.792,0.241,0.505
3.415,3.415,1.707,0.78,0.228,0.487
4.451,2.866,2.073,0.768,0.227,0.473
5.0,2.744,2.012,0.767,0.231,0.47
5.244,2.744,1.768,0.779,0.228,0.472
4.878,2.256,1.524,0.782,0.236,0.486
3.841,1.524,1.463,0.782,0.243,0.497
2.195,1.098,1.524,0.781,0.256,0.491
-0.122,0.854,1.646,0.784,0.27,0.482
-2.256,0.366,1.89,0.777,0.277,0.482
-4.695,-0.122,2.195,0.766,0.283,0.473
-6.707,-0.671,1.89,0.754,0.286,0.464
-7.744,-0.915,1.585,0.751,0.292,0.466
-8.049,-0.732,1.037,0.743,0.299,0.475
-8.537,-0.854,0.61,0.737,0.3,0.482
-9.146,-1.28,0.488,0.732,0.301,0.479
-8.902,-1.098,0.549,0.73,0.295,0.47
-8.293,-0.915,0.305,0.734,0.27,0.447
-7.378,-0.915,-0.366,0.737,0.252,0.436
-6.037,-0.854,-0.976,0.736,0.25,0.444
-4.39,-0.671,-1.646,0.746,0.247,0.446
-2.622,-0.244,-2.439,0.755,0.244,0.458
-1.037,0.0,-2.866,0.763,0.247,0.477
0.122,0.122,-3.11,0.762,0.253,0.483
1.037,0.488,-3.415,0.766,0.25,0.485
1.89,0.549,-3.78,0.771,0.241,0.485
2.378,0.488,-4.085,0.772,0.237,0.49
1.951,0.61,-4.451,0.774,0.234,0.489
1.098,0.732,-4.939,0.773,0.229,0.491
0.0,0.854,-5.427,0.78,0.225,0.486
-0.854,0.61,-5.61,0.778,0.228,0.487
-2.134,0.427,-5.732,0.78,0.231,0.487
-4.085,0.488,-5.854,0.787,0.237,0.483
-5.915,0.427,-6.22,0.792,0.246,0.489
-7.256,0.183,-6.341,0.789,0.261,0.5
-8.659,0.061,-6.524,0.788,0.26,0.505
-9.634,0.122,-6.89,0.783,0.26,0.5
-10.488,0.244,-7.134,0.784,0.266,0.493
-10.793,0.061,-7.195,0.782,0.273,0.5
-10.366,0.0,-7.439,0.781,0.281,0.507
-10.427,0.0,-7.561,0.784,0.292,0.518
-10.488,0.0,-7.561,0.781,0.292,0.529
-10.061,-0.244,-7.378,0.777,0.297,0.54
-9.451,-0.671,-7.012,0.77,0.301,0.546
-8.415,-1.037,-6.768,0.772,0.3,0.551
-7.378,-1.159,-6.646,0.764,0.305,0.55
-6.646,-1.341,-6.341,0.756,0.312,0.545
-6.28,-1.646,-5.976,0.75,0.316,0.548
-6.22,-1.707,-5.61,0.746,0.317,0.545
-6.22,-1.707,-5.549,0.749,0.313,0.533
-6.28,-1.646,-5.488,0.745,0.324,0.528
-6.707,-1.768,-5.061,0.741,0.335,0.528
-7.988,-1.768,-4.573,0.739,0.343,0.522
-10.061,-1.768,-4.024,0.732,0.355,0.523
-12.439,-1.89,-3.232,0.729,0.366,0.519
-14.39,-2.012,-2.683,0.72,0.373,0.517
-15.915,-2.195,-2.073,0.71,0.379,0.515
-17.988,-2.744,-1.707,0.707,0.387,0.512
-20.061,-3.11,-1.341,0.699,0.398,0.512
-21.463,-3.049,-0.915,0.683,0.41,0.511
-22.561,-3.476,-0.671,0.67,0.412,0.506
-22.744,-4.085,-0.549,0.663,0.409,0.49
-22.439,-4.634,-0.732,0.654,0.412,0.47
-21.646,-5.061,-1.159,0.652,0.408,0.455
-20.549,-5.244,-2.012,0.651,0.406,0.44
-19.085,-5.427,-3.293,0.643,0.402,0.439
-17.134,-5.732,-4.39,0.635,0.395,0.434
-15.183,-5.671,-5.61,0.64,0.387,0.423
-13.659,-5.732,-6.829,0.644,0.373,0.41
-12.012,-5.854,-8.11,0.647,0.362,0.403
-10.549,-5.793,-9.756,0.654,0.357,0.393
-9.39,-5.732,-11.159,0.648,0.353,0.376
-8.902,-5.793,-12.561,0.646,0.344,0.365
-9.146,-5.793,-13.902,0.638,0.333,0.358
-9.573,-5.671,-15.122,0.632,0.323,0.349
-10.549,-5.61,-16.341,0.621,0.319,0.337
-12.073,-5.549,-17.622,0.61,0.308,0.328
-13.598,-5.305,-19.268,0.598,0.29,0.321
-15.244,-5.122,-20.915,0.589,0.276,0.31
-17.012,-4.878,-22.988,0.577,0.263,0.295
-18.11,-4.207,-25.61,0.565,0.245,0.269
-18.78,-3.049,-28.78,0.557,0.225,0.251
-18.963,-1.707,-32.805,0.549,0.204,0.236
-19.512,-0.61,-37.378,0.54,0.185,0.223
-19.146,0.976,-42.195,0.539,0.161,0.207
-18.049,3.232,-48.415,0.543,0.138,0.187
-16.585,6.037,-55.366,0.553,0.109,0.165
