gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-10.61,0.915,-24.024,0.805,0.253,0.733
-12.988,0.122,-24.024,0.805,0.264,0.718
-15.549,-0.549,-23.659,0.805,0.279,0.711
-18.171,-1.402,-22.927,0.796,0.304,0.717
-21.098,-2.073,-22.073,0.785,0.33,0.724
-24.39,-2.683,-21.159,0.775,0.355,0.724
-27.927,-3.537,-20.061,0.757,0.377,0.727
-31.89,-4.146,-18.72,0.744,0.394,0.728
-36.098,-4.573,-17.439,0.728,0.407,0.72
-40.183,-4.878,-16.463,0.715,0.416,0.706
-44.024,-5.183,-15.366,0.7,0.425,0.687
-47.317,-5.61,-14.329,0.692,0.433,0.667
-50.976,-6.037,-13.78,0.686,0.438,0.647
-54.207,-6.28,-13.232,0.685,0.447,0.63
-57.378,-6.402,-12.866,0.674,0.454,0.625
-60.244,-6.098,-12.683,0.662,0.453,0.609
-62.439,-5.854,-12.927,0.651,0.443,0.579
-63.963,-6.28,-13.72,0.654,0.437,0.551
-64.939,-6.341,-14.512,0.652,0.438,0.531
-66.463,-6.646,-15.549,0.641,0.447,0.513
-67.5,-7.012,-16.707,0.627,0.45,0.502
-68.232,-7.317,-18.11,0.609,0.45,0.497
-69.207,-7.805,-20.061,0.597,0.452,0.495
-70.0,-8.78,-22.256,0.593,0.461,0.475
-70.366,-9.817,-24.207,0.588,0.462,0.466
-69.817,-11.037,-25.915,0.572,0.468,0.45
-68.232,-12.195,-27.744,0.555,0.476,0.431
-66.159,-14.329,-30.366,0.529,0.477,0.421
-63.72,-16.524,-33.049,0.515,0.471,0.398
-60.732,-17.805,-35.549,0.506,0.458,0.38
-57.439,-18.659,-37.927,0.497,0.454,0.355
-54.085,-19.695,-40.366,0.495,0.442,0.321
-50.427,-20.61,-42.439,0.496,0.421,0.288
-47.439,-21.098,-44.573,0.5,0.409,0.243
-44.451,-21.646,-46.524,0.504,0.387,0.207
-42.805,-22.073,-49.146,0.509,0.365,0.181
-41.646,-22.134,-51.402,0.512,0.35,0.154
-40.366,-22.012,-53.537,0.506,0.329,0.146
-39.634,-22.012,-55.671,0.516,0.31,0.142
-39.024,-21.89,-57.866,0.522,0.288,0.138
-38.11,-21.341,-60.244,0.529,0.283,0.145
-36.89,-20.549,-62.927,0.531,0.278,0.147
-35.427,-19.39,-65.976,0.519,0.246,0.152
-32.561,-17.439,-69.878,0.513,0.214,0.145
-27.561,-14.268,-74.451,0.511,0.18,0.13
-20.793,-9.451,-79.512,0.515,0.145,0.118
-13.049,-3.049,-84.817,0.533,0.1,0.098
-1.463,9.329,-91.28,0.538,0.055,0.086
18.232,21.89,-96.585,0.554,0.006,0.065
25.732,29.146,-104.82,0.587,-0.052,0.048
21.402,35.915,-115.37,0.632,-0.106,0.028
33.11,50.244,-123.6,0.655,-0.152,0.02
34.939,62.5,-132.01,0.735,-0.254,-0.073
40.122,78.537,-142.32,0.737,-0.289,-0.04
42.927,99.207,-155.55,0.74,-0.358,0.027
42.561,117.26,-171.95,0.822,-0.415,-0.064
32.073,129.27,-190.24,0.885,-0.486,0.017
32.256,140.31,-204.94,0.937,-0.542,-0.006
25.854,175.18,-216.83,0.969,-0.573,0.0
9.268,191.95,-231.04,0.996,-0.662,0.021
-7.988,199.39,-253.11,1.02,-0.761,0.01
