gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-487.44,-4.329,-418.6,-3.426,5.411,-0.905
-483.72,-15.366,-489.15,-3.55,5.25,-1.166
-473.6,-22.683,-556.89,-4.111,5.093,-1.607
-457.38,-28.78,-619.27,-4.092,4.987,-1.821
-433.66,-41.159,-673.78,-3.619,4.798,-2.086
-391.22,-58.11,-733.23,-3.459,4.73,-2.469
-344.02,-78.963,-791.04,-3.135,4.642,-2.741
-350.12,-83.598,-834.76,-2.683,4.555,-2.979
-313.35,-107.26,-867.44,-2.126,4.497,-3.194
-273.54,-134.82,-889.45,-1.512,4.464,-3.394
-247.01,-157.44,-902.13,-0.862,4.351,-3.589
-210.67,-190.98,-905.85,-0.246,4.193,-3.683
-175.43,-227.99,-899.15,0.18,3.778,-3.792
-146.77,-261.28,-888.72,0.715,3.902,-3.804
-126.52,-294.33,-871.59,0.932,3.467,-3.848
-114.94,-326.1,-850.3,1.092,3.243,-3.875
-103.78,-348.54,-828.05,1.312,3.213,-3.86
-98.963,-369.94,-794.02,1.388,3.089,-3.809
-94.878,-391.1,-744.94,1.454,3.04,-3.787
-93.415,-411.46,-674.33,1.502,3.042,-3.74
-88.11,-425.24,-590.18,1.491,3.094,-3.637
-79.939,-429.82,-511.77,1.523,3.116,-3.593
-82.622,-432.32,-428.48,1.527,3.065,-3.464
-129.88,-427.38,-355.61,1.578,3.092,-3.247
-125.49,-419.63,-296.71,1.76,3.152,-3.045
-118.6,-399.57,-257.26,1.948,3.219,-2.8
-162.68,-384.08,-239.94,2.135,3.315,-2.671
-176.95,-372.44,-231.28,2.193,3.163,-2.751
-187.32,-349.51,-220.79,2.251,3.021,-2.818
-195.98,-314.33,-204.88,2.466,2.824,-2.826
-189.45,-270.61,-179.69,2.911,2.328,-2.777
-172.13,-223.29,-146.52,3.146,1.439,-2.594
-150.12,-174.45,-113.29,3.82,1.291,-2.179
-129.63,-128.41,-84.39,4.229,0.797,-1.652
-104.88,-85.122,-60.427,4.513,0.186,-1.042
-73.963,-44.39,-44.207,4.711,-0.098,-0.695
-40.122,-6.463,-35.854,4.852,-0.196,-0.487
-4.634,26.768,-33.598,5.015,-0.315,-0.437
39.939,51.037,-34.634,5.184,-0.531,-0.359
81.585,69.085,-39.024,5.329,-0.815,-0.209
132.68,80.122,-37.988,5.342,-1.106,-0.025
173.48,92.378,-32.256,5.221,-1.354,0.146
203.6,97.927,-26.768,5.011,-1.562,0.369
240.24,92.805,-14.024,4.778,-1.709,0.569
264.57,87.683,1.768,4.519,-1.751,0.801
282.13,76.951,19.451,4.332,-1.802,0.973
295.55,66.829,35.915,4.106,-1.777,1.122
301.71,58.11,51.402,3.921,-1.617,1.287
300.49,49.451,67.622,3.699,-1.534,1.351
292.74,44.268,84.39,3.467,-1.323,1.433
279.33,43.598,101.58,3.281,-1.233,1.464
259.39,48.476,118.66,3.085,-1.088,1.5
236.4,54.634,136.22,2.9,-0.955,1.534
209.51,60.671,153.41,2.712,-0.811,1.583
182.99,67.622,168.96,2.533,-0.64,1.65
157.19,75.122,183.11,2.348,-0.44,1.697
131.4,85.366,194.39,2.187,-0.239,1.744
106.58,97.378,203.11,2.051,-0.019,1.771
84.451,101.58,208.17,1.942,0.218,1.791
64.756,117.56,210.37,1.844,0.439,1.81
50.0,124.15,208.96,1.749,0.668,1.813
37.012,137.01,204.63,1.653,0.865,1.811
27.622,149.82,197.26,1.547,1.017,1.808
21.707,162.56,188.41,1.465,1.17,1.81
20.183,175.73,178.72,1.309,1.271,1.743
21.646,188.84,168.41,1.269,1.461,1.755
27.134,202.32,158.29,1.125,1.56,1.701
36.768,215.31,147.56,1.076,1.647,1.66
