gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-322.38,46.402,80.488,-1.059,4.429,-0.662
-349.69,38.11,49.39,-1.143,4.595,-0.792
-379.63,25.305,16.463,-1.309,4.658,-0.909
-406.22,14.268,-16.463,-1.467,4.643,-1.029
-428.72,3.72,-49.634,-1.627,4.608,-1.128
-448.72,-11.768,-84.024,-1.802,4.608,-1.219
-463.72,-32.378,-118.6,-1.968,4.583,-1.307
-472.81,-51.951,-156.46,-2.138,4.537,-1.428
-480.06,-74.634,-197.01,-2.313,4.472,-1.575
-483.9,-101.16,-238.48,-2.488,4.302,-1.705
-483.48,-124.57,-282.19,-2.646,4.106,-1.872
-478.05,-145.18,-327.81,-2.816,3.917,-2.024
-472.56,-167.81,-373.05,-2.98,3.771,-2.213
-460.12,-188.72,-416.95,-2.99,3.554,-2.376
-444.82,-207.99,-461.89,-3.003,3.38,-2.562
-437.07,-220.61,-508.11,-3.015,3.266,-2.781
-421.4,-230.91,-547.32,-2.863,3.108,-2.961
-405.73,-240.49,-583.78,-2.666,2.989,-3.116
-391.04,-243.84,-618.17,-2.446,2.967,-3.26
-374.15,-242.99,-651.71,-2.157,2.909,-3.359
-359.51,-250.73,-680.3,-1.851,2.863,-3.412
-340.49,-256.34,-708.29,-1.533,2.805,-3.442
-324.15,-266.16,-731.46,-1.185,2.774,-3.387
-308.9,-281.77,-744.63,-0.843,2.755,-3.349
-297.32,-300.31,-751.89,-0.498,2.727,-3.305
-287.87,-319.69,-754.94,-0.17,2.7,-3.247
-281.34,-338.29,-750.0,0.134,2.592,-3.284
-279.15,-358.11,-738.9,0.43,2.449,-3.297
-272.01,-372.32,-728.66,0.626,2.274,-3.338
-262.32,-379.69,-719.63,0.809,2.195,-3.346
-250.49,-388.84,-700.85,0.924,2.092,-3.352
-240.67,-392.74,-671.1,1.007,2.009,-3.343
-227.81,-387.99,-622.5,1.076,1.983,-3.352
-208.96,-370.79,-549.51,1.138,2.012,-3.302
-182.56,-353.78,-461.77,1.177,2.082,-3.274
-146.46,-348.42,-367.38,1.176,2.033,-3.251
-111.89,-340.67,-288.29,1.179,2.0,-3.164
-98.963,-348.96,-211.59,1.165,1.876,-3.045
-97.073,-354.82,-146.95,1.177,1.749,-2.83
-95.488,-359.15,-103.72,1.291,1.638,-2.642
-113.54,-355.43,-81.341,1.548,1.545,-2.631
-126.83,-339.27,-75.732,1.87,1.463,-2.65
-168.17,-305.98,-73.232,2.017,1.254,-2.76
-163.66,-289.21,-68.232,2.432,0.862,-2.788
-139.21,-269.82,-60.915,2.654,0.475,-2.61
-133.41,-236.71,-43.72,2.865,0.435,-2.291
-120.61,-199.94,-19.634,3.023,0.183,-1.691
-102.07,-160.67,6.951,3.147,-0.075,-1.099
-83.659,-124.15,28.049,3.258,-0.373,-0.63
-58.232,-89.268,46.951,3.33,-0.54,-0.213
-35.122,-52.866,57.561,3.489,-0.904,0.056
-5.976,-21.89,62.5,3.846,-0.583,0.152
27.744,7.805,61.463,4.162,-0.574,0.219
64.146,33.537,56.341,4.42,-0.646,0.271
100.49,49.39,50.061,4.605,-0.754,0.364
139.88,60.915,44.695,4.669,-0.976,0.48
177.44,74.939,40.732,4.585,-1.246,0.642
212.13,82.805,39.512,4.456,-1.206,0.792
242.07,85.061,40.488,4.241,-1.2,1.008
267.26,78.171,43.72,4.062,-1.282,1.164
285.55,70.915,46.098,3.907,-1.208,1.316
297.5,61.159,51.768,3.74,-1.114,1.417
305.85,53.415,57.622,3.635,-0.998,1.523
306.71,47.805,62.683,3.511,-0.871,1.59
302.44,44.207,68.598,3.347,-0.75,1.612
291.95,44.573,75.427,3.227,-0.644,1.645
276.77,49.634,82.5,3.062,-0.542,1.654
257.81,57.195,90.122,2.9,-0.406,1.685
236.4,67.256,98.598,2.753,-0.265,1.722
213.66,79.329,107.56,2.6,-0.158,1.74
188.9,93.78,115.24,2.452,-0.026,1.767
167.56,106.4,121.52,2.316,0.107,1.773
146.4,120.98,126.58,2.191,0.254,1.769
127.81,135.67,129.21,2.073,0.402,1.767
111.95,150.91,130.06,1.987,0.555,1.757
98.78,166.95,129.51,1.914,0.72,1.727
89.451,183.72,127.19,1.847,0.895,1.668
83.902,199.88,122.93,1.767,1.045,1.615
81.341,216.65,117.62,1.679,1.158,1.571
80.732,232.01,112.44,1.549,1.224,1.51
85.0,247.56,106.71,1.412,1.291,1.46
92.744,263.11,100.0,1.278,1.351,1.407
102.32,277.87,92.378,1.159,1.412,1.348
112.5,290.85,83.72,1.047,1.437,1.294
125.0,302.99,72.927,0.95,1.453,1.177
137.07,311.95,61.159,0.84,1.467,1.077
