gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-54.756,87.805,-30.488,-0.899,-0.323,0.296
-57.073,82.927,-22.744,-0.93,-0.302,0.29
-59.329,77.5,-15.122,-0.954,-0.286,0.281
-60.976,72.073,-8.11,-0.975,-0.265,0.265
-62.256,67.317,-1.585,-0.995,-0.237,0.259
-63.415,62.744,4.573,-1.008,-0.208,0.26
-64.146,58.537,10.244,-1.016,-0.194,0.262
-64.634,54.817,15.854,-1.031,-0.179,0.258
-64.939,51.768,21.463,-1.046,-0.172,0.264
-64.756,49.329,27.195,-1.059,-0.162,0.266
-64.024,47.317,33.049,-1.067,-0.153,0.263
-62.866,45.671,38.476,-1.069,-0.135,0.256
-61.098,44.207,43.598,-1.065,-0.113,0.237
-59.024,43.171,48.049,-1.066,-0.091,0.219
-56.646,42.439,51.89,-1.069,-0.072,0.204
-53.72,41.89,55.305,-1.072,-0.052,0.188
-50.366,41.463,57.866,-1.067,-0.029,0.173
-46.463,41.341,60.061,-1.058,-0.004,0.15
-42.073,41.463,61.89,-1.04,0.009,0.132
-37.988,41.829,63.537,-1.022,0.016,0.116
-33.354,42.5,64.939,-1.004,0.016,0.089
-27.561,43.354,66.037,-0.979,0.02,0.067
-21.707,44.451,67.134,-0.957,0.019,0.045
-15.671,46.707,68.11,-0.927,0.011,0.017
-9.329,48.72,69.024,-0.885,0.007,-0.003
-2.378,49.939,70.244,-0.838,0.002,-0.023
4.634,52.256,71.402,-0.794,-0.002,-0.05
12.012,55.122,72.866,-0.743,-0.006,-0.075
19.512,56.098,74.451,-0.693,-0.015,-0.099
27.5,58.171,76.585,-0.637,-0.033,-0.123
36.951,60.061,79.573,-0.578,-0.053,-0.156
44.756,61.585,83.11,-0.523,-0.069,-0.164
53.963,62.5,86.951,-0.462,-0.083,-0.19
65.366,63.902,91.707,-0.394,-0.11,-0.213
78.049,66.463,97.988,-0.333,-0.128,-0.218
88.841,67.256,105.43,-0.271,-0.15,-0.229
101.1,66.524,114.08,-0.21,-0.177,-0.244
114.08,65.183,126.52,-0.17,-0.197,-0.245
122.74,61.463,141.04,-0.127,-0.23,-0.253
132.68,55.976,157.68,-0.098,-0.258,-0.277
143.41,52.317,176.52,-0.058,-0.282,-0.272
153.9,50.305,196.89,-0.017,-0.304,-0.253
163.72,49.451,217.99,0.019,-0.327,-0.231
172.62,49.695,240.0,0.066,-0.353,-0.207
180.43,52.073,262.44,0.116,-0.349,-0.146
187.01,52.805,285.79,0.13,-0.35,-0.09
192.93,54.39,308.78,0.151,-0.33,-0.072
197.44,55.732,331.22,0.145,-0.296,-0.018
199.02,57.561,352.81,0.135,-0.258,0.028
199.88,58.171,373.35,0.119,-0.208,0.082
199.69,58.293,392.74,0.101,-0.157,0.153
198.23,56.951,410.55,0.096,-0.104,0.235
193.78,54.695,427.01,0.074,-0.026,0.33
186.71,52.012,442.26,0.058,0.055,0.444
178.48,48.659,456.1,0.045,0.124,0.56
168.96,45.854,469.02,0.032,0.212,0.671
158.29,44.39,478.78,0.037,0.33,0.733
146.22,42.866,487.07,0.059,0.468,0.836
132.81,38.293,496.89,0.082,0.631,0.9
115.43,37.988,505.61,0.103,0.815,0.966
98.841,36.463,512.26,0.126,1.02,1.047
77.5,38.415,518.84,0.142,1.256,1.081
