gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-0.793,-9.146,6.585,0.683,0.06,0.309
-0.915,-8.537,7.439,0.699,0.09,0.298
-1.341,-8.232,8.11,0.714,0.12,0.288
-1.585,-8.049,8.902,0.742,0.153,0.279
-1.646,-7.622,9.695,0.776,0.192,0.278
-1.646,-7.561,10.61,0.84,0.225,0.27
-2.195,-7.622,11.646,0.907,0.258,0.259
-2.988,-7.683,12.927,0.975,0.308,0.258
-3.78,-7.927,13.963,1.049,0.372,0.27
-4.939,-8.293,15.061,1.122,0.435,0.276
-6.037,-8.598,16.585,1.187,0.502,0.271
-7.439,-8.78,18.11,1.26,0.576,0.278
-8.72,-9.024,19.695,1.338,0.64,0.286
-9.939,-9.39,21.402,1.435,0.707,0.301
-10.976,-9.39,23.415,1.523,0.815,0.326
-11.524,-9.268,25.671,1.608,0.911,0.37
-11.89,-9.085,28.171,1.716,1.006,0.401
-11.646,-8.537,30.915,1.826,1.097,0.44
-10.793,-7.622,33.841,1.925,1.167,0.468
-9.573,-6.341,37.073,2.029,1.264,0.461
-8.049,-4.451,40.549,2.112,1.339,0.491
-6.341,-1.768,44.451,2.192,1.409,0.499
-4.695,1.524,48.232,2.288,1.453,0.522
-3.049,5.549,51.707,2.374,1.478,0.528
-1.037,10.305,54.634,2.451,1.488,0.53
0.915,15.671,56.829,2.514,1.492,0.522
3.659,21.585,58.476,2.586,1.489,0.516
7.317,28.293,59.939,2.648,1.467,0.482
11.829,35.671,60.427,2.701,1.436,0.437
17.744,43.598,60.183,2.742,1.381,0.4
25.732,51.646,59.024,2.755,1.341,0.391
34.451,59.817,57.012,2.777,1.342,0.332
44.329,67.683,54.878,2.792,1.277,0.309
55.244,74.878,52.195,2.825,1.219,0.241
66.768,82.561,49.39,2.774,1.204,0.168
78.293,89.024,45.732,2.738,1.213,0.078
89.695,95.183,42.073,2.754,1.136,-0.018
100.24,100.18,38.415,2.729,1.02,-0.05
109.82,104.15,35.061,2.639,0.981,-0.142
118.35,107.44,32.256,2.595,0.903,-0.191
125.79,109.69,30.305,2.524,0.817,-0.228
132.01,110.55,28.659,2.459,0.753,-0.263
136.89,111.34,27.317,2.391,0.72,-0.35
140.73,112.38,27.134,2.349,0.668,-0.398
144.45,113.72,27.866,2.255,0.639,-0.463
145.73,114.94,29.756,2.121,0.607,-0.555
146.4,114.69,32.317,2.004,0.533,-0.563
147.62,114.63,35.915,1.829,0.467,-0.574
150.18,116.1,40.305,1.617,0.405,-0.588
149.94,115,44.268,1.349,0.381,-0.676
151.59,113.66,50,1.02,0.396,-0.846
157.38,116.58,55.976,0.691,0.423,-1.02
164.09,119.63,61.707,0.333,0.427,-1.143
173.54,122.32,69.207,-0.148,0.465,-1.131
190.31,130.37,77.683,-0.843,0.489,-1.023
210.18,140.79,86.159,-1.692,0.421,-0.847
233.9,153.23,94.756,-2.794,0.201,-0.543
258.96,167.26,103.23,-4.027,-0.077,-0.241
288.72,185.91,110.98,-5.329,-0.284,0.102
322.19,208.48,118.42,-6.815,-0.402,0.621
358.6,232.68,125.31,-8.096,-0.477,1.382
399.15,259.69,131.77,-8.883,-0.63,2.516
439.76,290.43,139.15,-9.125,-0.814,3.798
478.11,325.92,147.44,-8.709,-0.374,4.14
513.05,365.43,155.12,-7.716,0.707,2.658
544.82,407.01,160.98,-6.47,1.622,-0.109
570.06,451.71,165.37,-5.046,1.049,-2.427
587.44,501.22,166.4,-4.183,-0.035,-4.103
596.83,552.99,163.54,-3.305,0.243,-4.354
600.67,603.17,161.65,-1.76,1.127,-3.466
600.43,653.9,159.69,0.15,1.591,-1.939
599.51,700.43,163.35,1.185,1.151,-0.229
602.07,745.37,171.34,1.335,0.753,1.232
614.63,784.82,178.35,0.7,-0.318,1.714
642.93,798.66,180.43,-0.77,-0.836,1.535
692.74,779.82,175.12,-0.974,-0.647,0.722
755.06,737.26,180.31,-0.822,-0.635,0.174
796.52,641.46,205.55,-0.829,-0.656,-0.055
763.66,481.28,236.95,-1.041,-0.518,-0.031
605.67,286.22,308.72,-1.708,-0.531,0.208
388.72,116.16,379.02,-2.454,-0.682,0.506
204.82,40,391.83,-2.763,-0.924,0.82
32.012,-7.134,378.23,-2.619,-1.101,1.151
-154.02,-52.012,319.88,-2.251,-1.051,1.573
-345.43,-98.415,203.48,-1.996,-0.949,2.054
-497.26,-146.04,71.524,-1.863,-0.871,2.464
-576.34,-213.11,-45.915,-1.791,-0.711,2.607
-650.3,-262.26,-180.31,-1.685,-0.459,2.513
-716.59,-242.01,-288.35,-1.563,-0.194,2.305
-732.74,-175.61,-320.06,-1.396,0.011,2.076
-722.68,-113.48,-325.43,-1.168,0.07,1.896
-687.99,-85.915,-318.54,-0.901,-0.002,1.78
-636.52,-70.305,-305.31,-0.63,-0.131,1.675
-558.17,-56.28,-287.81,-0.356,-0.27,1.537
-463.9,-70.244,-270.06,-0.111,-0.397,1.344
-374.21,-103.84,-256.65,0.237,-0.468,1.193
-288.17,-141.77,-244.69,0.479,-0.507,1.049
-206.34,-177.26,-230.85,0.601,-0.583,0.903
-141.22,-210.85,-216.89,0.772,-0.638,0.786
-103.05,-238.72,-202.93,0.884,-0.715,0.695
-90.915,-260.37,-188.66,0.984,-0.736,0.66
-109.51,-279.15,-175.79,1.05,-0.678,0.606
-154.15,-297.44,-168.05,1.062,-0.564,0.557
-219.76,-315.49,-165.24,1.04,-0.438,0.503
-296.46,-331.71,-166.65,1.049,-0.338,0.443
-375.92,-344.88,-170.73,1.083,-0.238,0.42
-449.88,-355.61,-175.06,1.126,-0.124,0.389
-510.12,-364.21,-179.15,1.144,-0.014,0.399
-551.59,-372.44,-182.13,1.177,0.106,0.43
-576.04,-380.06,-184.51,1.21,0.259,0.426
-583.66,-372.38,-187.87,1.249,0.391,0.422
-573.35,-359.21,-192.74,1.28,0.54,0.382
-548.96,-348.11,-197.32,1.321,0.682,0.309
-513.23,-331.89,-201.34,1.375,0.836,0.23
-468.96,-317.13,-202.81,1.408,0.984,0.178
-420.43,-302.13,-202.32,1.444,1.062,0.199
-369.08,-287.74,-200.67,1.475,1.129,0.192
-317.44,-275.67,-198.29,1.524,1.176,0.169
-268.05,-265.98,-194.88,1.55,1.209,0.133
-221.95,-257.5,-190.37,1.563,1.24,0.083
-180.79,-248.41,-184.09,1.568,1.268,0.026
-144.39,-240.12,-176.34,1.576,1.281,-0.028
-113.35,-233.9,-168.41,1.591,1.263,-0.053
-87.195,-228.05,-159.76,1.597,1.254,-0.065
-68.537,-223.29,-149.82,1.605,1.234,-0.061
-55.976,-218.9,-139.57,1.606,1.225,-0.05
-49.207,-215.06,-129.33,1.593,1.215,-0.036
-49.634,-211.4,-119.51,1.557,1.191,-0.026
-53.659,-207.74,-110.55,1.526,1.184,-0.034
-62.378,-204.27,-102.13,1.475,1.178,-0.03
-71.341,-200.61,-94.695,1.411,1.18,0.007
-81.341,-195.98,-87.439,1.36,1.168,0.066
-90.488,-190.12,-80.854,1.343,1.128,0.129
-97.622,-183.11,-74.512,1.323,1.063,0.175
-101.65,-175.18,-68.293,1.303,1.002,0.208
-102.32,-166.83,-62.256,1.299,0.919,0.231
-98.78,-157.81,-56.22,1.275,0.833,0.265
-92.256,-147.93,-49.573,1.263,0.788,0.281
-82.622,-137.32,-42.378,1.226,0.738,0.308
-70.915,-126.34,-35,1.205,0.678,0.345
-58.354,-114.45,-27.622,1.194,0.606,0.375
-45.244,-102.56,-20.366,1.181,0.527,0.387
-33.232,-90.305,-13.598,1.173,0.436,0.375
-22.988,-77.378,-7.317,1.164,0.346,0.364
-14.878,-64.207,-1.89,1.152,0.278,0.354
-9.024,-51.585,2.744,1.124,0.225,0.363
-5.122,-39.695,6.768,1.096,0.175,0.373
-2.988,-28.232,10.549,1.084,0.117,0.384
-1.829,-18.171,14.512,1.072,0.057,0.381
-0.976,-8.841,18.659,1.056,0.007,0.346
-0.671,-0.793,23.049,1.029,-0.039,0.313
-0.732,5.488,27.439,1.008,-0.071,0.275
-0.061,10.671,31.463,0.982,-0.086,0.232
0.793,14.268,34.634,0.948,-0.115,0.213
1.89,16.829,37.561,0.938,-0.147,0.203
3.72,18.476,40.488,0.944,-0.172,0.182
5.61,19.024,43.11,0.938,-0.198,0.182
7.744,18.598,45.61,0.94,-0.227,0.176
9.817,17.073,48.293,0.948,-0.247,0.154
