gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
8.293,-1.341,25.915,0.297,-0.121,0.229
3.293,-0.244,30.305,0.295,-0.109,0.227
-2.012,1.037,34.878,0.297,-0.1,0.22
-7.012,2.256,39.878,0.299,-0.09,0.211
-11.768,3.293,45.427,0.297,-0.083,0.205
-16.341,4.024,50.915,0.298,-0.08,0.203
-20.305,4.939,56.768,0.3,-0.087,0.189
-23.293,6.037,62.927,0.304,-0.108,0.171
-25.244,6.89,69.268,0.308,-0.143,0.158
-26.829,7.744,75.366,0.315,-0.192,0.152
-28.476,9.024,80.976,0.322,-0.246,0.147
-29.939,10.793,86.585,0.342,-0.308,0.124
-32.195,12.561,92.256,0.37,-0.36,0.098
-35.854,14.146,97.805,0.408,-0.398,0.073
-40.61,15.915,103.78,0.467,-0.447,0.064
-47.012,17.744,110.18,0.569,-0.521,0.057
-54.634,19.512,116.95,0.692,-0.633,0.049
-63.537,21.463,124.33,0.813,-0.757,0.062
-72.927,23.354,132.44,0.927,-0.88,0.074
-82.744,24.878,141.16,1.062,-1.012,0.09
-92.256,26.22,150.37,1.236,-1.184,0.139
-100.12,27.5,160,1.438,-1.429,0.155
-107.38,28.659,170.55,1.619,-1.723,0.169
-113.42,29.634,181.52,1.784,-2.077,0.208
-116.95,30.732,192.99,1.953,-2.477,0.24
-118.23,32.195,204.94,2.124,-2.932,0.255
-117.93,34.024,216.71,2.286,-3.413,0.301
-115.85,36.402,228.78,2.511,-3.826,0.335
-112.07,39.756,241.04,2.802,-4.259,0.423
-107.56,43.415,254.15,3.046,-4.585,0.472
-103.84,47.622,268.05,3.327,-5.025,0.479
-100.98,52.561,282.81,3.656,-5.367,0.522
-98.354,57.927,299.69,3.771,-5.916,0.427
-96.768,64.085,319.02,3.891,-6.349,0.404
-97.256,71.28,340.37,3.984,-6.498,0.355
-97.866,79.329,362.81,3.945,-6.42,0.297
-98.476,88.841,386.1,3.893,-6.226,0.3
-97.561,99.695,408.48,3.787,-5.955,0.274
-93.049,111.34,428.54,3.559,-5.739,0.181
-85.671,124.21,443.48,3.273,-5.373,0.11
-73.537,138.72,450.37,2.887,-5.09,-0.086
-58.11,156.04,444.63,2.375,-4.821,-0.269
-42.073,177.07,423.9,1.86,-4.568,-0.432
-23.72,198.05,386.46,1.341,-4.289,-0.588
-5.976,220.73,337.74,0.847,-4.018,-0.704
15.915,237.74,281.95,0.436,-3.711,-0.754
28.537,255.91,215.73,0.114,-3.409,-0.752
42.988,274.57,146.34,-0.165,-3.088,-0.686
59.939,286.83,72.622,-0.351,-2.768,-0.612
69.817,300.12,-7.134,-0.447,-2.501,-0.567
75.793,308.78,-93.232,-0.513,-2.349,-0.53
82.866,307.81,-182.99,-0.571,-2.301,-0.469
90.366,300.18,-273.66,-0.6,-2.181,-0.368
102.32,286.77,-362.32,-0.573,-1.857,-0.192
113.84,266.52,-447.38,-0.458,-1.542,-0.155
125.55,244.63,-523.05,-0.556,-1.365,-0.344
145.18,220.43,-589.21,-1.147,-1.344,-0.583
163.6,193.11,-646.34,-2.053,-1.232,-0.687
179.69,164.21,-693.48,-2.893,-1.06,-0.85
196.28,133.96,-731.1,-3.318,-0.832,-1.203
209.63,104.08,-760.55,-3.405,-0.883,-1.318
219.21,74.573,-782.62,-3.894,-1.359,-0.855
222.56,44.573,-798.35,-4.327,-1.462,-0.626
220.73,14.329,-808.11,-4.313,-0.815,-0.4
213.78,-14.756,-810,-4.716,-0.233,0.029
203.54,-43.78,-801.34,-4.969,-0.15,0.133
192.26,-73.72,-780.73,-4.279,-0.306,-0.03
176.52,-100.31,-747.26,-3.855,-0.614,-0.235
158.23,-122.68,-700.79,-3.869,-0.944,-0.314
141.04,-142.38,-639.57,-3.918,-1.139,-0.323
127.81,-157.38,-558.66,-3.888,-1.126,-0.234
120.98,-167.32,-463.17,-3.762,-0.937,-0.088
117.44,-170,-361.89,-3.551,-0.678,0.064
111.04,-167.93,-260.67,-3.285,-0.448,0.175
90.61,-164.88,-169.33,-3.014,-0.321,0.244
62.561,-146.22,-88.293,-2.78,-0.283,0.282
41.585,-106.65,-17.073,-2.616,-0.27,0.333
11.463,-86.037,42.744,-2.49,-0.247,0.399
-16.402,-75.61,86.402,-2.347,-0.234,0.455
-41.037,-40.122,107.93,-2.184,-0.218,0.512
-70.976,-25.976,106.4,-2.026,-0.199,0.568
-94.512,-25.366,84.573,-1.865,-0.204,0.63
-99.207,0.244,61.768,-1.703,-0.249,0.685
-87.378,28.171,50.671,-1.554,-0.33,0.732
-69.817,52.744,50.732,-1.425,-0.447,0.793
-45.732,75.61,56.341,-1.316,-0.608,0.839
-15.793,94.634,62.073,-1.217,-0.793,0.88
14.756,109.39,63.841,-1.125,-1,0.902
41.646,121.34,60.305,-1.035,-1.196,0.917
64.756,130.37,52.5,-0.928,-1.35,0.921
82.622,136.4,43.415,-0.811,-1.479,0.927
94.39,139.76,36.037,-0.69,-1.581,0.92
99.817,140.61,31.28,-0.582,-1.686,0.939
98.598,139.15,28.72,-0.445,-1.773,0.817
91.341,135.91,27.5,-0.333,-1.865,0.799
79.268,131.22,27.073,-0.252,-1.875,0.769
62.5,125.43,26.707,-0.144,-1.907,0.71
42.012,119.21,26.037,-0.011,-1.891,0.666
19.695,112.81,25.183,0.161,-1.806,0.622
-2.744,106.52,24.146,0.325,-1.696,0.589
-24.268,100.61,23.598,0.461,-1.596,0.548
-41.402,95.122,23.354,0.579,-1.536,0.518
-53.841,90.305,23.354,0.68,-1.48,0.505
-61.22,85.427,22.195,0.775,-1.421,0.493
-62.378,80.793,19.512,0.885,-1.373,0.487
-58.171,76.159,15.732,0.979,-1.356,0.48
-49.817,71.28,11.463,1.072,-1.316,0.477
-37.378,63.293,6.341,1.172,-1.251,0.474
-23.598,55.305,2.927,1.239,-1.195,0.479
-6.524,46.951,2.256,1.305,-1.153,0.472
6.951,37.866,4.024,1.382,-1.118,0.459
18.537,27.012,8.11,1.458,-1.056,0.483
26.402,15.976,13.841,1.544,-1.018,0.504
31.585,5.122,20.854,1.636,-1.027,0.512
35.366,-5.305,29.268,1.703,-1.071,0.521
34.817,-16.28,37.866,1.761,-1.047,0.492
32.5,-27.378,45.915,1.854,-0.981,0.456
27.988,-37.439,53.293,1.831,-0.94,0.422
22.5,-46.646,60.366,1.822,-0.888,0.416
17.012,-55.366,67.622,1.833,-0.851,0.418
10.183,-62.561,75.244,1.839,-0.797,0.412
2.5,-67.683,83.293,1.839,-0.741,0.416
-5.183,-71.646,90.854,1.853,-0.684,0.446
-11.951,-76.098,98.963,1.86,-0.639,0.512
-19.146,-81.037,106.65,1.866,-0.612,0.608
-27.866,-84.573,113.84,1.871,-0.594,0.697
-35,-87.683,119.69,1.87,-0.577,0.782
-40.793,-91.707,125,1.871,-0.572,0.805
-46.646,-95.915,130.49,1.806,-0.587,0.757
-49.817,-100.67,135.85,1.962,-0.527,0.754
-51.098,-104.69,142.13,2.026,-0.495,0.682
-52.012,-105.43,147.81,1.953,-0.541,0.547
-49.207,-103.17,153.96,1.96,-0.561,0.469
-44.146,-103.05,159.51,1.981,-0.59,0.423
-39.573,-102.87,163.35,1.993,-0.608,0.392
-35.488,-101.71,167.07,2.007,-0.612,0.362
-31.524,-100.31,170.37,1.999,-0.595,0.328
-28.232,-99.939,172.38,1.976,-0.547,0.311
-24.939,-100.55,173.29,1.941,-0.488,0.36
-22.195,-101.77,172.87,1.927,-0.441,0.445
-19.756,-103.54,170.67,1.924,-0.438,0.487
-15.549,-106.52,166.16,1.882,-0.446,0.481
-10.915,-109.57,159.39,1.788,-0.43,0.46
-4.207,-114.63,150.49,1.662,-0.402,0.428
5.244,-121.65,141.71,1.552,-0.388,0.397
13.049,-117.19,133.6,1.476,-0.414,0.366
20.427,-110.61,123.78,1.404,-0.453,0.344
29.695,-108.35,114.02,1.345,-0.491,0.354
38.902,-105.55,104.69,1.309,-0.531,0.367
46.463,-101.83,96.159,1.292,-0.548,0.375
52.134,-97.683,88.232,1.27,-0.542,0.389
56.768,-93.232,80.671,1.245,-0.521,0.396
59.817,-88.902,73.049,1.218,-0.511,0.398
62.256,-85.244,64.634,1.192,-0.507,0.392
64.024,-82.805,55.488,1.166,-0.508,0.379
63.78,-80.915,46.22,1.132,-0.517,0.361
64.207,-79.146,36.89,1.094,-0.526,0.349
66.768,-77.134,27.744,1.061,-0.531,0.35
71.037,-74.512,19.268,1.033,-0.532,0.35
75.427,-71.951,10.305,1.001,-0.538,0.338
