gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-2.805,0.488,51.463,0.289,-0.229,0.124
-7.988,3.11,53.72,0.278,-0.237,0.109
-13.72,5.366,56.28,0.262,-0.239,0.098
-20.305,7.439,58.963,0.25,-0.241,0.087
-27.5,9.39,62.256,0.237,-0.244,0.077
-34.024,11.341,65.366,0.217,-0.251,0.052
-39.878,12.866,68.841,0.196,-0.269,0.034
-45.488,14.268,72.195,0.174,-0.295,0.025
-50.488,15.671,75.549,0.157,-0.325,0.011
-54.329,16.646,78.841,0.143,-0.357,0.002
-57.195,17.317,82.073,0.134,-0.383,-0.004
-59.024,17.927,85.305,0.135,-0.41,-0.012
-60.244,18.415,88.78,0.15,-0.438,-0.03
-60.976,18.78,92.439,0.188,-0.464,-0.04
-61.524,19.146,96.402,0.23,-0.485,-0.052
-61.28,19.329,100.67,0.287,-0.509,-0.072
-61.22,19.329,105.61,0.363,-0.536,-0.081
-61.22,19.085,111.22,0.45,-0.575,-0.098
-61.28,19.146,117.5,0.541,-0.647,-0.149
-61.341,19.329,124.39,0.611,-0.754,-0.171
-61.829,19.39,131.52,0.68,-0.901,-0.176
-62.134,19.451,139.21,0.776,-1.077,-0.191
-62.439,19.695,147.38,0.892,-1.27,-0.177
-63.171,20.183,155.55,1.053,-1.512,-0.184
-63.963,21.037,164.15,1.212,-1.804,-0.174
-65.305,22.256,173.23,1.345,-2.133,-0.103
-67.561,23.841,183.17,1.51,-2.462,-0.069
-70.61,26.098,193.72,1.7,-2.801,-0.012
-74.695,28.841,205.37,1.946,-3.178,0.051
-79.39,32.073,218.6,2.249,-3.533,0.08
-84.634,35.854,233.48,2.593,-3.94,0.098
-90.061,40.488,249.76,2.899,-4.34,0.137
-93.78,45.427,267.01,3.21,-4.812,0.166
-96.951,50.976,285.31,3.457,-5.308,0.184
-98.963,57.256,304.39,3.507,-5.943,0.189
-97.927,64.329,323.66,4.046,-6.23,0.209
-93.902,72.683,342.99,4.082,-6.642,0.176
-86.159,82.5,362.68,4.162,-6.788,0.117
-74.878,94.085,382.68,4.189,-6.74,0.082
-58.963,108.11,402.19,3.954,-6.799,-0.043
-37.866,124.82,420,3.754,-6.625,-0.115
-15.061,145.91,435.37,3.383,-6.453,-0.22
11.341,169.57,444.45,2.8,-6.292,-0.364
39.695,195.31,445.85,2.216,-6.063,-0.534
63.902,225.67,437.44,1.563,-5.801,-0.723
88.841,257.38,417.62,0.899,-5.532,-0.893
111.34,287.5,384.15,0.336,-5.246,-1.006
131.04,316.46,339.88,-0.129,-4.965,-1.081
146.16,343.42,286.28,-0.473,-4.671,-1.101
170.06,359.63,228.78,-0.717,-4.41,-1.011
185.37,376.71,162.26,-0.905,-4.158,-0.783
