gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-90,-29.512,29.268,0.431,-0.214,0.24
-97.5,-29.451,29.512,0.409,-0.216,0.279
-104.51,-29.268,30.366,0.391,-0.198,0.276
-110.67,-28.72,32.317,0.397,-0.206,0.237
-115.43,-28.293,34.756,0.362,-0.212,0.24
-118.54,-27.805,37.988,0.326,-0.184,0.223
-119.94,-27.073,41.707,0.339,-0.174,0.194
-118.66,-25.793,45.549,0.31,-0.146,0.236
-116.4,-24.329,49.634,0.299,-0.083,0.202
-112.19,-22.683,53.598,0.305,-0.114,0.276
-105.85,-20.976,57.622,0.236,-0.034,0.295
-97.744,-19.573,61.22,0.271,-0.043,0.257
-89.695,-17.317,65.244,0.247,-0.069,0.291
-80.61,-14.878,69.39,0.224,-0.046,0.274
-71.707,-12.866,74.268,0.225,-0.078,0.225
-62.683,-11.646,79.817,0.227,-0.102,0.177
-54.939,-10.488,86.22,0.247,-0.138,0.115
-50.061,-9.512,93.171,0.271,-0.201,0.099
-44.756,-8.72,100.49,0.313,-0.266,0.053
-39.695,-7.012,108.48,0.405,-0.352,-0.009
-38.476,-5.366,116.16,0.416,-0.458,0.05
-38.354,-3.476,123.42,0.47,-0.529,-0.034
-40.549,-0.244,131.1,0.582,-0.683,-0.109
-47.439,1.402,138.41,0.676,-0.813,-0.136
-54.512,3.537,145.31,0.822,-0.958,-0.151
-68.537,5.244,152.87,1.057,-1.145,-0.179
-84.268,4.878,160.18,1.271,-1.4,-0.122
-100.24,5.488,169.21,1.509,-1.7,-0.168
-119.02,4.878,178.66,1.777,-2.131,-0.206
-138.6,4.451,187.99,2.061,-2.615,-0.221
-156.89,4.39,198.05,2.336,-3.079,-0.309
-173.72,4.329,208.9,2.623,-3.473,-0.402
-187.56,4.085,220.55,2.99,-3.862,-0.465
-200.37,3.902,233.78,3.371,-4.313,-0.575
-207.32,3.476,249.09,3.723,-4.771,-0.693
-209.69,3.232,266.4,4.064,-5.321,-0.787
-213.23,2.927,285.61,4.266,-5.902,-0.934
-208.66,3.476,307.07,4.375,-6.352,-1.077
-199.33,5.793,330.98,4.484,-6.581,-1.217
-186.89,9.695,356.4,4.583,-6.653,-1.327
-170.43,16.22,383.6,4.479,-6.524,-1.334
-148.48,25.183,412.74,4.234,-6.362,-1.281
-128.72,37.439,442.26,3.892,-6.198,-1.23
-104.21,51.28,470.24,3.469,-5.973,-1.219
-75.61,68.232,495.73,2.93,-5.686,-1.231
-47.744,88.902,514.02,2.327,-5.347,-1.273
-15.976,113.96,519.57,1.712,-4.979,-1.318
16.646,142.19,507.74,1.149,-4.593,-1.365
48.72,172.81,476.22,0.659,-4.229,-1.399
80.671,204.09,430.24,0.258,-3.928,-1.418
114.76,233.11,372.81,-0.08,-3.658,-1.389
149.57,261.95,308.96,-0.342,-3.423,-1.337
184.02,290.73,237.01,-0.548,-3.308,-1.26
217.26,315.37,157.32,-0.711,-3.203,-1.138
251.46,332.56,76.037,-0.872,-3.051,-0.963
279.45,343.6,-14.207,-1.035,-2.881,-0.778
299.39,346.28,-111.34,-1.176,-2.772,-0.68
312.44,339.15,-210,-1.345,-2.748,-0.66
318.11,320.73,-307.87,-1.653,-2.782,-0.854
314.63,290.67,-399.45,-2.36,-2.777,-1.114
301.58,253.66,-482.07,-3.428,-2.489,-1.195
279.45,212.68,-554.94,-4.252,-2.021,-1.06
248.17,170.85,-617.74,-4.589,-1.301,-1.129
207.5,130.43,-669.88,-4.25,-1.111,-1.154
160.61,93.476,-711.71,-4.263,-1.205,-0.928
110.49,61.829,-743.29,-4.448,-1.009,-0.78
59.878,35.732,-764.82,-4.82,-0.54,-0.433
13.659,13.537,-776.95,-4.848,-0.233,-0.056
-27.805,-4.268,-779.27,-4.313,-0.188,0.167
-61.037,-19.207,-770.43,-4.008,-0.315,0.329
-83.476,-33.841,-749.21,-4.156,-0.479,0.248
-94.573,-51.402,-715.12,-4.35,-0.484,0.1
-92.317,-71.524,-666.1,-4.448,-0.357,0.095
-77.317,-92.439,-598.84,-4.396,-0.256,0.214
-52.195,-112.62,-516.4,-4.218,-0.185,0.432
-22.744,-130.43,-426.83,-3.969,-0.091,0.607
4.695,-140.85,-337.81,-3.713,0.004,0.706
5.732,-146.4,-256.89,-3.508,0.099,0.772
0.61,-148.48,-185.43,-3.345,0.185,0.867
1.768,-137.56,-114.51,-3.15,0.269,0.97
-11.768,-105.61,-66.89,-2.91,0.381,1.042
-33.537,-56.28,-34.512,-2.646,0.479,1.073
