gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-8.049,-2.012,-13.171,0.749,0.259,0.354
-7.256,-1.159,-13.049,0.743,0.26,0.35
-6.524,-0.854,-13.232,0.735,0.262,0.336
-6.768,-0.427,-13.659,0.718,0.252,0.339
-4.207,0.366,-13.72,0.698,0.252,0.328
-1.768,1.28,-14.024,0.69,0.239,0.31
0.976,2.866,-14.695,0.673,0.225,0.318
3.902,4.024,-15.061,0.664,0.204,0.314
7.195,5.976,-15.488,0.646,0.198,0.29
10.122,7.866,-15.976,0.629,0.171,0.277
12.866,10.061,-16.768,0.617,0.141,0.26
16.341,12.5,-18.171,0.599,0.13,0.249
19.39,15.183,-20.366,0.581,0.107,0.241
24.146,18.415,-23.415,0.563,0.081,0.245
27.744,21.28,-27.683,0.553,0.057,0.242
32.561,25.915,-32.073,0.547,0.036,0.232
36.22,29.817,-37.439,0.534,0.015,0.23
40,32.805,-44.512,0.546,-0.009,0.219
45.061,38.963,-52.134,0.553,-0.036,0.216
49.451,44.756,-61.341,0.587,-0.052,0.198
54.146,49.756,-71.646,0.617,-0.065,0.193
57.378,55.976,-82.195,0.643,-0.072,0.181
58.598,63.598,-93.049,0.684,-0.097,0.176
60,68.963,-106.65,0.724,-0.111,0.167
59.573,74.634,-120.61,0.75,-0.108,0.17
60.305,80.427,-133.23,0.786,-0.116,0.183
57.256,85.122,-146.95,0.829,-0.128,0.186
52.683,90.305,-161.4,0.848,-0.124,0.198
49.146,97.317,-172.32,0.859,-0.131,0.234
41.159,105.12,-184.33,0.912,-0.137,0.254
34.329,111.83,-194.51,0.932,-0.134,0.278
24.268,119.27,-204.82,0.955,-0.13,0.319
12.134,127.56,-214.02,1.026,-0.123,0.325
0,135.98,-221.46,1.065,-0.124,0.353
-13.659,145,-227.81,1.125,-0.114,0.379
-27.622,155.67,-232.62,1.166,-0.123,0.406
-39.634,166.59,-235.24,1.218,-0.111,0.458
-49.756,178.96,-236.65,1.288,-0.096,0.518
-59.207,192.68,-236.28,1.367,-0.09,0.58
-67.012,208.23,-234.57,1.448,-0.067,0.645
-72.561,224.88,-232.44,1.557,-0.043,0.678
-76.098,241.89,-228.72,1.672,-0.04,0.711
-74.573,258.05,-217.81,1.787,-0.001,0.758
-68.476,275.98,-199.57,1.907,0.019,0.785
-61.402,296.95,-177.38,2.029,0.067,0.828
-46.037,306.52,-145.91,2.153,0.124,0.867
-8.049,293.42,-108.54,2.277,0.247,0.907
24.756,287.07,-81.341,2.333,0.425,0.97
57.744,289.45,-64.39,2.323,0.637,1.059
111.52,292.32,-47.012,2.345,0.831,1.097
174.02,300.18,-32.134,2.406,1.094,1.146
170.31,271.4,-6.585,2.431,1.231,1.139
241.89,268.9,21.768,2.306,1.536,1.085
277.13,252.87,47.805,2.312,1.818,1.072
338.29,246.83,72.622,2.367,1.799,0.934
368.84,227.32,101.83,2.193,2.575,0.983
432.01,213.17,122.74,2.397,2.256,0.772
490.18,205.06,141.22,2.242,2.69,0.638
525.37,198.66,168.96,2.276,2.527,0.389
510.67,205.43,201.83,2.235,2.777,0.219
444.82,218.41,237.32,2.326,2.468,-0.141
343.29,231.71,256.58,2.356,2.363,-0.365
210.67,246.71,261.46,2.525,2.314,-0.759
52.744,258.6,272.38,2.648,2.499,-1.018
-120.61,259.69,290.12,2.69,2.811,-1.101
-294.57,284.27,316.89,2.58,2.713,-1.283
-435.92,310.24,361.71,2.659,2.857,-1.543
-568.96,353.11,382.07,2.659,3.211,-1.741
-695.43,411.28,406.83,2.181,3.825,-1.885
