gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-17.317,-5.183,-27.073,0.734,0.2,0.218
-16.524,-5.427,-26.098,0.732,0.168,0.203
-15.854,-5.488,-25.183,0.734,0.146,0.197
-14.939,-5.61,-24.207,0.733,0.119,0.196
-14.268,-5.793,-23.293,0.718,0.081,0.184
-13.537,-5.671,-22.439,0.712,0.049,0.179
-13.171,-5.61,-21.89,0.708,0.019,0.172
-12.805,-5.427,-21.402,0.7,-0.03,0.145
-12.073,-5.122,-21.037,0.701,-0.066,0.122
-11.341,-4.634,-20.549,0.689,-0.086,0.097
-9.939,-4.146,-20.244,0.692,-0.108,0.087
-8.293,-3.72,-20.244,0.711,-0.139,0.086
-6.28,-2.927,-20.488,0.743,-0.169,0.074
-3.354,-2.073,-20.976,0.774,-0.206,0.051
-0.122,-1.159,-21.707,0.802,-0.213,0.049
3.293,0,-22.195,0.831,-0.212,0.039
7.195,1.159,-23.11,0.859,-0.229,0.014
11.402,2.195,-24.329,0.884,-0.23,0.006
14.939,3.476,-25.122,0.922,-0.189,0.004
18.171,5,-26.646,0.936,-0.161,0.012
21.341,6.341,-28.963,0.959,-0.199,-0.011
23.78,7.988,-31.585,1.031,-0.18,0
26.22,9.939,-34.756,1.097,-0.111,-0.012
28.72,11.28,-38.049,1.165,-0.068,-0.053
30.183,13.171,-41.402,1.248,-0.065,-0.071
30.915,14.634,-45.061,1.321,0.003,-0.093
30.976,16.646,-49.634,1.409,0.07,-0.123
31.159,18.598,-54.451,1.547,0.113,-0.118
31.768,20.366,-58.78,1.659,0.229,-0.168
31.463,22.073,-63.293,1.746,0.342,-0.225
30.61,24.329,-67.866,1.868,0.445,-0.257
30.061,26.646,-72.256,1.971,0.555,-0.289
29.573,27.988,-76.341,2.025,0.726,-0.351
28.11,30.427,-80.732,2.078,0.928,-0.406
27.195,33.78,-84.329,2.134,1.064,-0.415
27.439,36.402,-87.683,2.215,1.156,-0.392
29.39,39.024,-89.695,2.242,1.315,-0.422
31.341,43.598,-91.402,2.228,1.521,-0.437
36.098,48.354,-92.256,2.27,1.739,-0.423
42.622,52.988,-91.829,2.342,1.888,-0.397
50.915,59.085,-90.061,2.382,2.004,-0.421
61.646,65.244,-87.988,2.383,2.104,-0.466
75.61,71.28,-84.512,2.417,2.144,-0.531
88.963,79.939,-79.573,2.517,2.184,-0.547
101.58,88.537,-72.744,2.528,2.269,-0.599
112.32,96.768,-65.061,2.524,2.434,-0.609
121.89,108.35,-56.402,2.567,2.543,-0.655
126.83,120.24,-46.22,2.589,2.629,-0.706
125.49,129.69,-36.829,2.576,2.688,-0.726
120.31,138.23,-27.988,2.542,2.74,-0.747
113.42,148.6,-17.927,2.505,2.813,-0.73
104.15,163.11,-6.037,2.431,2.922,-0.714
91.341,175.37,6.89,2.305,3.026,-0.722
77.012,184.88,18.841,2.145,3.066,-0.708
64.451,195.43,31.707,1.978,3.071,-0.677
56.585,211.16,46.951,1.855,3.106,-0.644
48.841,225.85,63.354,1.777,3.196,-0.59
45.976,237.87,80.671,1.666,3.319,-0.522
44.756,246.83,98.293,1.524,3.412,-0.463
47.5,258.96,119.21,1.416,3.435,-0.414
51.646,268.23,140.37,1.297,3.418,-0.395
51.89,279.15,156.4,1.126,3.378,-0.352
50.915,288.6,173.96,0.925,3.309,-0.303
