gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
4.817,-0.61,-1.707,-0.95,-0.183,0.039
2.988,-0.244,-0.488,-0.931,-0.185,0.04
1.89,0.366,0.61,-0.917,-0.193,0.038
1.098,1.159,1.22,-0.902,-0.216,0.034
0.366,2.134,1.524,-0.888,-0.231,0.024
-0.61,2.866,1.524,-0.88,-0.245,0.012
-2.256,3.598,1.159,-0.873,-0.258,0.003
-4.024,4.451,0.61,-0.869,-0.261,-0.004
-6.22,5.366,0,-0.866,-0.264,-0.009
-8.476,6.402,-0.976,-0.86,-0.261,0.007
-9.817,7.744,-1.89,-0.848,-0.258,0.027
-10.915,9.024,-2.744,-0.827,-0.25,0.044
-11.951,10.183,-3.72,-0.813,-0.241,0.063
-12.317,11.159,-4.634,-0.803,-0.235,0.067
-12.622,12.195,-5.244,-0.794,-0.235,0.062
-12.622,12.927,-5.671,-0.788,-0.251,0.044
-12.439,12.927,-6.28,-0.778,-0.277,0.034
-12.622,12.622,-6.768,-0.767,-0.29,0.034
-12.805,12.5,-7.012,-0.759,-0.298,0.033
-12.866,12.378,-7.317,-0.745,-0.307,0.051
-12.683,12.317,-7.866,-0.725,-0.309,0.061
-12.195,12.439,-8.598,-0.712,-0.306,0.068
-11.768,12.256,-9.695,-0.711,-0.299,0.07
-11.707,11.524,-11.159,-0.723,-0.285,0.071
-12.012,10.732,-12.927,-0.724,-0.274,0.073
-12.012,9.756,-15.366,-0.72,-0.264,0.083
-11.951,8.476,-18.78,-0.71,-0.266,0.094
-12.134,6.829,-22.683,-0.693,-0.265,0.104
-12.378,4.878,-27.195,-0.688,-0.267,0.113
-12.317,2.378,-32.317,-0.684,-0.266,0.131
-12.317,-0.244,-38.171,-0.685,-0.255,0.146
-12.256,-3.293,-44.268,-0.687,-0.241,0.159
-10.732,-6.22,-50.854,-0.683,-0.228,0.182
-6.341,-9.329,-58.841,-0.665,-0.21,0.202
-1.585,-11.89,-67.622,-0.643,-0.177,0.221
2.744,-14.817,-76.707,-0.606,-0.157,0.243
8.963,-17.317,-87.256,-0.571,-0.141,0.269
15.183,-19.451,-98.963,-0.514,-0.126,0.32
21.829,-20.549,-112.13,-0.487,-0.081,0.375
28.78,-21.463,-126.58,-0.447,-0.075,0.434
35.854,-21.28,-142.19,-0.414,-0.051,0.499
43.537,-19.756,-158.72,-0.395,-0.024,0.576
51.463,-17.622,-176.34,-0.38,-0.026,0.66
58.78,-15.122,-194.27,-0.379,-0.037,0.708
64.817,-11.951,-211.71,-0.379,-0.034,0.759
68.415,-8.415,-229.39,-0.39,-0.005,0.814
68.78,-5.427,-246.83,-0.402,0.022,0.864
65.976,-2.744,-263.54,-0.423,0.019,0.911
59.695,-0.183,-279.15,-0.432,0.009,0.959
49.634,2.073,-293.72,-0.433,0.018,0.983
35.061,4.451,-307.19,-0.447,0.028,0.992
15.305,6.28,-319.76,-0.496,0.017,0.994
-7.378,7.866,-330.67,-0.578,0,0.998
-31.707,9.085,-340.06,-0.671,-0.033,1.004
-57.683,10.671,-348.05,-0.771,-0.073,1.011
-84.634,12.622,-353.72,-0.853,-0.128,1.014
-111.58,14.939,-356.46,-0.96,-0.217,0.984
-136.22,17.744,-357.13,-1.097,-0.333,0.955
-156.71,20.976,-355.43,-1.254,-0.432,0.927
-171.34,24.817,-350.85,-1.418,-0.577,0.903
-177.26,27.927,-344.39,-1.587,-0.761,0.865
-173.23,29.207,-336.95,-1.759,-0.933,0.838
-159.63,28.11,-326.89,-1.952,-1.125,0.775
-138.05,21.829,-312.87,-2.195,-1.353,0.656
-110.24,9.39,-294.76,-2.431,-1.608,0.456
-76.829,-9.817,-273.54,-2.673,-1.867,0.177
-42.256,-36.89,-249.21,-2.907,-2.158,-0.143
-6.159,-69.573,-220.85,-3.103,-2.474,-0.449
30.488,-105.73,-188.35,-3.351,-2.749,-0.795
64.878,-146.77,-152.87,-3.613,-3.002,-1.151
96.89,-192.56,-114.88,-3.841,-3.19,-1.468
124.08,-242.01,-74.573,-4.052,-3.267,-1.707
147.01,-294.39,-31.829,-4.252,-3.316,-1.873
165.79,-347.81,12.988,-4.435,-3.354,-2.062
181.95,-400.55,59.451,-4.601,-3.372,-2.308
194.51,-450.98,107.07,-4.703,-3.37,-2.603
206.04,-497.07,155.24,-4.688,-3.343,-2.878
217.99,-537.87,202.93,-4.583,-3.265,-3.113
231.71,-573.05,249.57,-4.423,-3.153,-3.295
247.62,-602.8,294.15,-4.198,-3.065,-3.415
265.12,-628.54,336.52,-3.884,-2.962,-3.481
283.84,-649.94,376.58,-3.505,-2.868,-3.541
304.27,-667.56,413.29,-3.101,-2.826,-3.609
324.27,-683.05,446.95,-2.664,-2.801,-3.662
342.19,-695.55,478.42,-2.217,-2.793,-3.709
360.06,-705.12,507.68,-1.788,-2.82,-3.759
376.95,-711.77,534.82,-1.37,-2.848,-3.817
392.93,-716.1,559.57,-0.96,-2.875,-3.845
408.78,-718.66,581.65,-0.583,-2.893,-3.824
423.96,-719.45,600.98,-0.249,-2.862,-3.747
440.85,-718.41,617.68,0.033,-2.847,-3.648
458.54,-716.04,632.38,0.271,-2.851,-3.512
478.23,-710.24,643.17,0.471,-2.869,-3.36
504.82,-701.77,649.15,0.675,-2.922,-3.235
532.68,-693.9,647.62,0.875,-2.978,-3.114
561.16,-685.85,635.61,1.103,-3.024,-2.969
592.93,-678.23,610.55,1.253,-3.078,-2.854
624.57,-672.5,567.68,1.33,-3.145,-2.772
651.28,-662.93,502.68,1.393,-3.325,-2.762
