gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-1.951,-8.537,-39.939,0.636,0.572,0.336
-0.305,-8.902,-42.134,0.631,0.568,0.339
1.22,-9.146,-44.39,0.632,0.579,0.333
2.195,-9.207,-46.341,0.628,0.584,0.334
2.561,-9.451,-48.293,0.62,0.579,0.341
2.195,-9.817,-49.878,0.617,0.562,0.348
1.28,-10.061,-51.402,0.615,0.559,0.346
-0.244,-10.305,-52.866,0.612,0.558,0.339
-2.256,-10.244,-53.963,0.606,0.556,0.338
-5.244,-10.244,-54.817,0.604,0.562,0.336
-8.72,-10.427,-55.549,0.594,0.566,0.324
-12.805,-10.671,-56.341,0.591,0.558,0.323
-17.073,-10.915,-56.768,0.584,0.543,0.328
-21.646,-11.402,-57.134,0.583,0.534,0.327
-26.28,-12.012,-57.317,0.583,0.525,0.323
-31.159,-12.561,-57.012,0.581,0.523,0.325
-35.976,-13.11,-56.707,0.573,0.524,0.318
-40.549,-13.902,-56.22,0.56,0.518,0.31
-45,-14.756,-55.488,0.533,0.51,0.3
-49.207,-15.549,-54.634,0.54,0.492,0.286
-53.415,-16.402,-53.537,0.538,0.457,0.281
-56.829,-17.561,-52.378,0.527,0.432,0.266
-59.695,-18.841,-51.341,0.503,0.419,0.27
-62.927,-20.366,-50.183,0.477,0.399,0.265
-65.915,-21.951,-49.512,0.467,0.375,0.269
-68.293,-23.659,-48.78,0.459,0.345,0.273
-70.549,-25.244,-47.805,0.453,0.319,0.272
-72.378,-26.89,-46.707,0.445,0.286,0.261
-74.207,-28.476,-45.793,0.432,0.246,0.246
-76.037,-30,-44.756,0.42,0.202,0.23
-77.805,-31.524,-43.963,0.418,0.154,0.215
-80.183,-33.232,-43.293,0.417,0.105,0.196
-82.5,-34.817,-43.049,0.416,0.047,0.178
-84.268,-36.28,-43.11,0.405,-0.009,0.167
-86.463,-37.622,-43.232,0.402,-0.06,0.146
-89.695,-39.207,-43.415,0.392,-0.116,0.124
