gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
29.817,28.476,11.341,0.965,0.227,0.172
31.524,29.451,11.89,0.988,0.207,0.198
33.049,30.122,12.439,1.009,0.189,0.267
33.902,30.732,12.988,1.024,0.184,0.306
34.39,31.22,13.232,1.069,0.174,0.355
34.695,31.768,13.11,1.119,0.13,0.405
34.939,32.195,12.927,1.178,0.089,0.454
35.183,32.561,12.805,1.208,0.088,0.518
35.427,32.866,12.683,1.283,0.064,0.583
35.549,33.171,12.683,1.367,0.045,0.629
35.61,33.354,12.5,1.436,0.028,0.663
35.61,33.415,12.317,1.501,-0.003,0.689
35.915,33.902,11.89,1.57,-0.041,0.713
36.037,34.573,11.341,1.635,-0.058,0.734
35.61,35.61,10.488,1.679,-0.062,0.77
33.11,36.463,8.902,1.723,-0.08,0.829
30.244,36.768,6.951,1.786,-0.064,0.853
30.366,39.695,5.244,1.855,-0.063,0.888
29.268,42.073,3.598,1.954,-0.057,0.877
28.476,44.268,1.037,1.979,-0.004,0.905
28.354,47.256,-1.829,2.083,-0.014,0.963
28.72,50.488,-4.512,2.131,-0.011,1.028
29.573,51.951,-6.524,2.07,0.032,1.062
31.341,54.512,-9.634,2.18,-0.007,1.116
34.634,57.012,-13.232,2.236,0.056,1.101
38.537,58.78,-17.134,2.231,0.125,1.099
42.866,59.39,-21.524,2.403,0.147,1.118
47.439,59.146,-26.098,2.447,0.148,1.108
51.524,58.902,-30.915,2.294,0.229,1.058
54.207,58.171,-36.037,2.335,0.239,1.063
56.89,57.073,-42.256,2.38,0.297,1.019
59.268,57.317,-49.817,2.389,0.303,0.97
61.22,60.976,-58.72,2.487,0.362,1.003
60.488,58.354,-64.39,2.259,0.408,0.94
59.756,57.012,-72.256,2.126,0.538,0.931
56.22,62.622,-80.854,2.233,0.596,0.975
50.366,63.78,-88.354,2.049,0.69,0.896
46.28,63.354,-95.366,1.917,0.758,0.849
37.5,68.72,-103.96,1.939,0.801,0.858
26.28,67.683,-112.44,1.785,0.85,0.767
19.146,70.061,-122.19,1.758,0.91,0.717
9.146,80.854,-132.87,1.704,0.92,0.67
-0.122,89.146,-141.59,1.538,0.93,0.614
-9.39,82.805,-150.67,1.372,0.93,0.6
-18.476,82.683,-159.82,1.164,0.963,0.574
-28.72,81.159,-169.15,0.983,1.015,0.516
-40.61,81.463,-176.71,0.785,1.085,0.47
-56.89,92.866,-185.98,0.622,1.278,0.452
-72.927,79.146,-193.6,0.187,1.427,0.379
-87.378,67.927,-201.89,0.101,2.225,0.199
-104.82,70.671,-210.85,-0.281,1.975,0.25
-123.78,58.659,-220.91,-0.651,1.997,0.154
-142.38,41.22,-229.51,-0.83,2.18,-0.109
-162.56,30.061,-237.74,-1.142,2.595,-0.547
-182.87,9.39,-246.59,-1.28,2.11,-0.678
-203.11,-6.646,-256.46,-1.598,2.15,-1.173
-223.35,-19.512,-265.12,-1.834,1.932,-1.817
-245.55,-35.488,-274.39,-2.122,1.354,-2.37
-273.72,-51.768,-285.18,-2.466,0.592,-2.527
-307.62,-69.329,-297.38,-2.955,0.362,-2.498
-350.31,-84.756,-310.73,-3.229,0.202,-2.063
-412.01,-97.439,-328.66,-3.532,0.165,-1.27
-498.17,-105,-353.11,-4.392,-0.55,0.276
-644.76,-124.33,-380.37,-4.71,-0.62,1.775
-779.7,-134.51,-422.81,-4.421,-0.934,2.474
-887.01,-138.35,-460.61,-3.998,-0.914,1.735
-1002.6,-158.29,-500,-3.258,-2.929,-0.564
-1102.9,-171.52,-536.83,-2.661,-3.201,-3.296
-1244.6,-162.68,-570.61,-0.482,-3.774,-4.772
-1340.1,-134.33,-598.9,0.471,-4.581,-4.581
-1447.7,-100.31,-630.24,-0.652,-3.744,-4.587
-1544.3,-55.366,-655.06,-0.498,-2.866,-4.345
-1607.8,-17.622,-669.63,0.189,-2.4,-3.417
-1566.3,10.915,-667.68,0.776,-1.674,-2.311
-1503.8,33.598,-657.38,0.837,-0.309,-1.203
-1493,84.207,-625.55,0.715,1.067,-0.028
-1496.7,138.66,-589.57,0.204,1.948,0.526
-1436.2,209.15,-531.46,-0.422,0.118,1.567
-1269.3,252.87,-460.85,-0.722,1.6,2.202
-1066,292.56,-407.01,-1.374,2.173,2.5
-791.83,281.16,-363.9,-1.626,1.985,2.316
-360.12,259.39,-289.63,-1.352,2.311,1.506
33.171,172.13,-237.38,-0.822,1.136,1.429
303.35,122.19,-252.38,-0.761,0.425,0.982
506.28,141.28,-202.13,-0.724,0.209,0.626
650.43,112.5,-70.244,-0.81,-0.134,0.594
776.04,55.915,43.659,-0.905,-0.352,0.57
841.28,34.268,128.9,-0.942,-0.486,0.533
845.85,37.378,216.28,-0.93,-0.61,0.572
748.11,78.537,306.71,-0.908,-0.759,0.745
545.18,92.5,358.6,-0.811,-0.427,0.693
459.33,73.476,405,-0.752,-0.538,0.896
535.73,77.317,449.08,-0.823,-0.683,1.042
546.71,80.915,441.71,-0.822,-0.835,1.215
500.73,62.866,374.76,-0.898,-0.734,1.283
420.98,46.28,275.43,-0.933,-0.881,1.366
253.48,51.951,191.77,-0.921,-0.854,1.444
203.23,75.305,135.06,-0.946,-0.773,1.485
131.89,65.854,89.268,-0.941,-0.628,1.481
39.756,38.537,65.244,-0.983,-0.446,1.383
-29.085,14.939,65.915,-1.001,-0.262,1.28
-81.159,-7.561,75.244,-0.996,-0.099,1.177
-113.11,-31.646,82.622,-1.003,0.256,1.017
-79.39,-56.159,88.232,-1.032,0.11,0.911
-59.207,-87.866,88.78,-1.04,0.417,0.765
-54.329,-109.15,90.183,-1.056,0.389,0.729
-13.963,-112.01,91.829,-1.069,0.782,0.6
21.707,-112.93,94.695,-1.1,0.576,0.67
77.744,-101.58,103.9,-1.082,0.849,0.613
117.32,-89.756,118.48,-1.03,0.951,0.634
170.85,-74.146,139.33,-0.965,1.01,0.665
224.02,-55.122,161.46,-0.896,1.066,0.684
275.67,-35.183,184.27,-0.817,1.091,0.682
325.31,-16.829,204.82,-0.741,1.085,0.664
370.92,-5.61,221.59,-0.677,1.063,0.647
407.81,5.122,234.76,-0.617,1.007,0.604
434.82,17.866,244.45,-0.476,0.939,0.572
426.28,28.171,250.18,-0.386,0.882,0.527
457.38,26.585,255.73,-0.27,0.833,0.517
469.02,23.293,258.96,-0.167,0.784,0.512
474.76,17.988,260.92,-0.112,0.746,0.503
457.68,12.927,262.93,-0.053,0.536,0.547
461.77,5.488,263.23,0.026,0.821,0.441
443.78,-0.854,263.78,0.066,0.72,0.44
422.38,-5.854,263.72,0.113,0.673,0.417
401.65,-9.878,262.56,0.168,0.571,0.38
381.22,-12.5,259.08,0.272,0.881,0.248
362.56,-14.39,253.9,0.321,0.7,0.253
347.81,-17.012,248.35,0.387,0.678,0.22
336.89,-21.463,242.5,0.455,0.688,0.189
329.39,-27.744,237.87,0.492,0.699,0.192
322.07,-29.085,235.37,0.523,0.521,0.257
317.44,-32.439,233.23,0.578,0.911,0.133
315.79,-31.524,232.74,0.583,0.722,0.188
315.24,-26.524,232.74,0.615,0.664,0.189
319.76,-22.195,234.02,0.667,0.648,0.179
334.82,-16.341,236.28,0.707,0.549,0.184
324.88,-11.28,235.55,0.738,0.79,0.121
324.02,-8.659,235.85,0.767,0.625,0.172
334.63,-5.976,235.73,0.804,0.633,0.19
346.4,-3.415,234.02,0.824,0.414,0.202
332.93,-3.659,230.79,0.87,0.732,0.103
332.74,-4.329,227.26,0.903,0.476,0.136
333.17,-5.061,224.09,0.979,0.443,0.126
330.55,-5.671,220.37,1.026,0.362,0.114
