gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-7.927,-7.866,-1.707,0.832,0.221,0.144
-9.634,-6.646,-2.256,0.833,0.207,0.15
-11.28,-5.976,-2.378,0.838,0.193,0.153
-13.049,-5.488,-2.256,0.849,0.184,0.147
-14.573,-4.817,-1.646,0.855,0.175,0.143
-15.793,-4.39,-1.22,0.862,0.166,0.146
-17.073,-3.72,-0.61,0.873,0.16,0.153
-17.988,-2.378,0.305,0.881,0.156,0.157
-18.659,-1.159,1.341,0.884,0.164,0.167
-18.841,0.122,2.317,0.894,0.16,0.173
-18.476,1.159,3.476,0.908,0.152,0.183
-17.134,2.317,4.878,0.929,0.154,0.197
-14.939,3.293,6.037,0.953,0.144,0.201
-12.073,4.146,7.5,0.969,0.135,0.209
-8.659,5,8.841,0.999,0.122,0.2
-4.939,5.854,10,1.019,0.109,0.2
-1.037,6.951,11.098,1.034,0.095,0.194
3.354,8.415,12.073,1.052,0.082,0.19
8.354,9.634,12.805,1.075,0.073,0.188
13.232,10.305,13.598,1.108,0.067,0.191
17.683,10.61,14.268,1.155,0.063,0.202
21.707,10.793,15,1.215,0.061,0.205
25.793,11.098,15.61,1.284,0.063,0.198
29.39,11.524,16.22,1.355,0.069,0.208
32.195,11.89,16.28,1.424,0.074,0.217
34.573,12.561,16.463,1.483,0.089,0.23
36.463,14.024,16.524,1.554,0.089,0.267
37.561,15.61,16.22,1.628,0.059,0.321
38.415,17.439,15.488,1.694,0.05,0.38
38.902,19.451,14.817,1.789,0.035,0.438
39.39,21.768,13.902,1.926,0.004,0.485
39.512,24.634,12.866,2.083,-0.008,0.583
39.451,28.232,11.402,2.293,-0.075,0.744
39.39,32.744,9.634,2.534,-0.151,0.897
38.841,37.988,7.744,2.756,-0.218,1.051
38.049,43.902,5.671,3.102,-0.352,1.195
37.012,50.427,3.293,3.311,-0.424,1.313
35.854,57.195,0.671,3.424,-0.528,1.514
34.512,64.146,-2.5,3.551,-0.707,1.504
31.951,71.341,-5.915,3.659,-0.789,1.547
28.72,78.293,-10.122,3.68,-0.857,1.575
24.329,85.793,-13.476,3.81,-0.931,1.583
18.902,93.537,-15.976,3.812,-0.967,1.542
11.463,100.18,-19.268,3.794,-1.033,1.379
2.805,108.05,-23.11,3.77,-1.067,1.244
-5.61,116.28,-27.317,3.705,-1.074,1.082
-15.793,122.87,-34.817,3.608,-1.055,0.925
-26.341,130.67,-40.915,3.475,-1.054,0.796
-41.463,135.79,-48.841,3.272,-1.044,0.666
-61.707,142.26,-58.415,3.04,-1.011,0.529
-85.61,149.45,-62.622,2.812,-0.995,0.391
-112.13,155.37,-67.988,2.604,-0.979,0.252
-147.07,166.77,-70.671,2.362,-0.97,0.115
-167.87,178.48,-72.561,2.1,-0.966,-0.003
-189.69,188.23,-76.707,1.797,-0.982,-0.115
-218.6,191.46,-82.256,1.455,-0.952,-0.171
-244.21,195.24,-87.866,1.086,-0.934,-0.252
-271.58,197.68,-96.89,0.734,-0.927,-0.333
-297.81,195.31,-107.93,0.335,-0.915,-0.383
-325,190.49,-121.16,-0.132,-0.865,-0.411
-352.56,181.1,-136.89,-0.678,-0.839,-0.348
-378.78,171.28,-155.85,-1.316,-0.938,-0.264
-404.94,161.04,-177.93,-2.025,-1.135,-0.117
-429.51,149.63,-203.6,-2.736,-1.467,-0.025
-449.57,138.54,-233.05,-3.387,-1.967,0.23
-466.83,128.72,-266.71,-4.763,-2.554,0.267
-480.24,120.18,-303.6,-8.282,-1.94,-0.089
-488.96,114.45,-343.54,-11.659,0.708,-0.251
-493.48,111.89,-384.69,-10.817,1.789,0.32
-493.29,112.99,-425,-8.798,1.585,1.377
-489.33,118.72,-464.63,-8.231,2.979,1.725
-478.78,128.78,-502.68,-6.881,2.237,-0.733
-464.51,140.73,-538.17,-5.059,-0.382,-1.926
-450.92,153.23,-571.46,-4.45,-2.257,-1.594
-434.33,165.79,-601.16,-3.817,-0.38,-1.493
-403.72,173.54,-623.23,-1.849,-0.419,-1.16
-365.73,177.99,-632.13,-0.25,1.011,-0.412
-328.11,184.02,-625.55,-0.056,2.017,0.303
-278.9,227.99,-623.41,-0.195,2.081,1.159
-202.38,384.39,-695.91,-0.494,2.153,1.799
-98.415,507.07,-808.05,-0.582,2.117,1.679
-49.756,423.05,-822.26,-0.804,1.283,0.992
-55.061,269.45,-810.79,-1.09,0.551,0.28
-57.134,174.02,-756.1,-1.202,0.014,0.057
-83.902,118.11,-657.8,-1.34,-0.346,0.137
33.354,79.634,-545.79,-1.437,-1.17,0.039
116.58,-5.915,-380.06,-1.446,-1.37,-0.083
203.35,-84.39,-219.69,-1.333,-0.936,-0.033
230.55,-141.04,-63.232,-1.195,-0.777,0.184
139.51,-116.95,77.805,-1.047,-0.762,0.485
26.037,-105.92,195.85,-0.955,-0.658,0.731
-61.341,-120.55,270.98,-0.96,-0.547,0.899
-103.35,-139.02,306.4,-1.045,-0.488,0.979
-96.89,-116.71,304.69,-1.161,-0.41,0.959
-87.256,-65.793,280.06,-1.277,-0.29,0.88
-111.04,-24.085,255.91,-1.386,-0.139,0.825
-141.1,11.463,206.65,-1.506,0.009,0.816
-147.81,25.976,162.62,-1.631,0.147,0.821
-151.52,26.768,144.51,-1.763,0.275,0.831
-157.13,25.976,135.79,-1.908,0.411,0.829
-143.23,20.793,136.89,-2.046,0.526,0.772
-117.32,10.366,140.79,-2.155,0.61,0.684
-94.207,-0.305,143.84,-2.24,0.694,0.612
-64.573,-6.89,146.34,-2.299,0.755,0.573
-30.793,-6.829,150.24,-2.309,0.816,0.552
2.622,-1.89,156.59,-2.285,0.877,0.546
36.098,5.671,165.98,-2.22,0.931,0.53
68.659,13.537,178.23,-2.14,0.977,0.5
100.55,20.427,192.26,-2.037,1.007,0.467
132.38,25.854,207.13,-1.934,1.024,0.41
162.81,29.329,223.48,-1.814,1.021,0.358
191.1,31.037,241.16,-1.673,1.024,0.313
217.44,31.951,260.12,-1.525,1.048,0.267
242.26,30.976,280.18,-1.347,1.042,0.249
264.82,27.866,300.61,-1.183,1.003,0.217
285.79,23.049,320.98,-0.979,0.983,0.167
305.67,16.585,340,-0.777,0.909,0.126
324.21,9.085,357.68,-0.596,0.872,0.158
341.52,1.768,373.35,-0.422,0.804,0.139
356.89,-4.512,387.74,-0.265,0.741,0.076
371.52,-10.122,400.79,-0.09,0.636,0.005
385.06,-14.878,411.34,0.065,0.589,0.112
397.99,-18.537,420.37,0.274,0.434,0.085
409.08,-20.305,428.35,0.51,0.192,0.165
419.02,-20.671,434.21,0.755,0.105,0.293
428.17,-20.915,439.21,1,0.002,0.301
436.34,-20.427,443.17,1.145,-0.056,0.492
443.23,-19.268,445.24,1.344,-0.003,0.641
448.66,-16.402,445.92,1.545,0.044,0.731
450.37,-13.171,443.84,1.612,0.021,0.873
450.98,-11.22,439.88,1.65,0.028,1.015
450.79,-9.878,433.9,1.805,-0.001,1.097
442.56,-11.768,426.95,1.956,-0.086,1.129
433.84,-13.78,417.62,2.057,-0.168,1.091
429.51,-16.402,404.21,2.098,-0.271,1.057
425.55,-19.878,390.18,2.188,-0.356,1.013
413.54,-23.72,373.72,2.247,-0.411,1.078
393.23,-33.354,350.06,2.259,-0.495,1.158
372.5,-45.122,328.84,2.336,-0.589,1.187
352.13,-54.939,309.57,2.354,-0.592,1.213
330.92,-67.256,288.78,2.39,-0.507,1.332
303.96,-82.134,267.01,2.383,-0.453,1.407
285.61,-95.427,248.9,2.362,-0.451,1.403
257.44,-106.4,238.72,2.279,-0.454,1.337
230.37,-108.48,220.18,2.227,-0.441,1.26
207.32,-114.69,204.21,2.152,-0.42,1.175
180.79,-120.06,192.99,2.041,-0.361,1.156
154.27,-126.46,185.85,1.978,-0.228,1.181
128.54,-131.77,178.29,1.94,-0.237,0.973
105.98,-137.5,170.67,1.835,-0.274,0.819
81.646,-145.98,166.16,1.706,-0.212,0.683
52.012,-149.69,160.67,1.603,-0.175,0.574
25.793,-149.09,150.85,1.51,-0.146,0.484
0.549,-146.16,141.59,1.484,-0.106,0.415
-30.488,-141.4,127.56,1.457,-0.037,0.332
-62.439,-133.78,110.79,1.434,0.015,0.243
-88.293,-125.92,94.085,1.422,0.061,0.163
-107.07,-119.39,76.707,1.37,0.119,0.069
-118.17,-114.82,57.866,1.369,0.155,-0.006
-126.77,-109.39,39.756,1.321,0.178,-0.045
