gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
23.293,37.378,17.073,0.951,0.227,0.065
25.244,37.927,17.317,0.983,0.218,0.074
27.5,38.537,17.439,1.008,0.211,0.102
30.244,39.085,17.561,1.034,0.203,0.146
33.11,39.573,17.622,1.078,0.167,0.171
35.915,40,17.622,1.132,0.146,0.218
38.598,40.305,17.5,1.205,0.134,0.287
41.524,40.61,17.5,1.242,0.098,0.325
44.085,41.159,17.195,1.293,0.077,0.391
46.768,41.585,16.951,1.356,0.047,0.485
48.963,41.829,17.073,1.415,0.02,0.568
50.488,42.134,17.134,1.47,-0.01,0.661
51.89,42.378,17.073,1.531,-0.013,0.728
52.439,42.439,16.89,1.588,-0.003,0.775
52.744,42.439,16.524,1.669,-0.007,0.795
52.866,42.683,15.488,1.746,-0.004,0.835
52.378,42.683,14.024,1.808,-0.014,0.856
51.768,42.927,12.683,1.883,-0.021,0.884
51.341,43.171,11.341,1.984,-0.039,0.909
51.22,41.22,9.878,2.09,-0.049,0.938
53.598,43.049,8.354,2.18,-0.019,0.979
57.134,47.683,6.098,2.276,-0.006,1.039
61.524,49.939,4.634,2.352,-0.033,1.103
66.646,51.829,3.415,2.425,0.01,1.17
71.829,55.366,1.707,2.528,-0.026,1.19
77.256,59.451,0.183,2.552,0.044,1.152
83.476,64.268,-1.768,2.652,0.101,1.16
89.878,69.329,-4.268,2.787,0.116,1.208
96.159,73.354,-7.5,2.626,0.128,1.195
101.28,76.098,-11.951,2.739,0.146,1.24
105.73,77.805,-16.829,2.785,0.061,1.187
108.78,78.354,-22.5,2.982,0.204,1.185
111.46,78.11,-28.72,2.726,0.109,1.015
112.01,78.415,-35.732,2.698,0.169,0.988
109.57,79.146,-43.598,2.815,0.28,0.939
105.43,79.939,-51.098,2.709,0.205,0.885
97.805,79.451,-59.817,2.497,0.324,0.838
86.28,79.756,-67.866,2.357,0.407,0.788
74.39,87.744,-77.073,2.336,0.551,0.759
59.268,96.341,-87.439,2.314,0.596,0.717
44.268,95.183,-97.988,2.122,0.608,0.628
28.537,98.476,-108.84,2.105,0.63,0.632
10.549,107.13,-119.51,1.7,0.674,0.473
-1.707,99.268,-132.13,1.708,0.699,0.483
-12.988,105.06,-144.09,1.604,0.769,0.501
-21.951,110.55,-152.01,1.268,0.841,0.437
-42.073,128.48,-160.31,1.026,0.982,0.454
-42.805,110.12,-167.19,0.704,1.182,0.414
-55.427,109.39,-176.65,0.382,1.443,0.395
-64.573,119.88,-183.48,0.039,2.183,0.127
-71.341,116.46,-189.57,-0.256,1.81,0.335
-81.341,99.634,-200.37,-0.671,2.465,0.003
-93.293,76.585,-211.16,-1.098,1.981,-0.048
-106.95,61.098,-222.44,-1.418,2.203,-0.421
-122.01,51.098,-233.66,-1.682,2.188,-0.681
-139.82,35.488,-244.15,-1.974,2.352,-1.15
-159.57,21.829,-255.98,-2.315,2.042,-1.481
-178.29,-14.146,-268.66,-2.622,1.693,-1.865
-207.32,-33.902,-280.18,-3.056,1.22,-2.069
-240.79,-47.561,-293.29,-3.68,0.145,-1.866
-283.05,-68.902,-308.42,-4.228,-0.147,-1.459
-341.71,-83.963,-325.98,-4.556,-0.088,-0.913
-419.57,-101.04,-348.72,-4.973,-0.531,-0.204
-553.05,-128.48,-378.78,-5.126,-0.9,0.784
-674.63,-135.12,-413.17,-5.053,-1.142,1.501
-809.76,-133.11,-454.02,-4.576,-0.232,1.398
-942.62,-150.43,-494.76,-3.565,-1.418,0.279
-1042.9,-170.55,-537.62,-2.638,-2.462,-2.164
-1140.4,-179.88,-577.93,-0.78,-2.533,-3.897
-1240.6,-167.81,-613.78,0.307,-3.523,-4.202
-1346,-135.31,-646.22,-0.096,-3.622,-4.504
-1422.7,-89.573,-674.7,0.268,-3.33,-3.977
-1483.4,-40.427,-695,0.263,-2.773,-3.042
-1516.3,-8.78,-694.88,0.599,-1.869,-1.728
-1442.4,0.793,-673.29,0.933,-0.985,-0.57
-1383.4,14.024,-633.41,0.663,0.066,0.551
-1368.8,58.11,-583.41,-0.098,1.392,1.09
-1341,110.18,-535.61,-0.55,0.802,1.733
-1199,155.18,-469.76,-0.936,1.201,1.897
-996.83,190.61,-396.83,-1.397,1.213,2.028
-787.8,210.37,-341.16,-1.298,1.159,1.659
-450.43,174.33,-304.15,-0.774,0.433,1.295
-112.81,64.573,-235.49,-0.449,-0.089,0.938
166.83,14.085,-189.45,-0.414,-0.42,0.761
397.01,13.598,-138.66,-0.592,-0.542,0.579
575.3,-27.073,-32.378,-0.782,-0.693,0.516
690.37,-46.768,83.232,-0.889,-0.712,0.525
738.6,-68.293,182.68,-0.911,-0.645,0.607
722.62,-57.866,263.9,-0.892,-0.821,0.799
651.28,11.037,321.71,-0.793,-0.528,0.938
492.38,53.232,368.78,-0.781,-0.432,0.967
420.18,37.073,420.98,-0.831,-0.667,1.133
498.48,32.073,437.56,-0.863,-0.78,1.209
450.37,20.976,375.12,-0.998,-0.629,1.152
392.44,6.707,286.16,-1.047,-0.791,1.229
309.02,16.402,211.95,-1.058,-0.793,1.304
238.78,34.878,154.45,-1.098,-0.664,1.318
177.32,39.024,110.73,-1.116,-0.535,1.276
108.84,35.122,82.317,-1.13,-0.386,1.217
44.634,22.012,73.11,-1.152,-0.215,1.171
-1.768,4.817,74.024,-1.209,-0.061,1.061
-31.159,-13.293,77.073,-1.234,0.081,0.954
-29.024,-31.037,80.854,-1.225,0.503,0.739
3.171,-48.841,82.988,-1.241,0.01,0.859
28.659,-57.012,85.61,-1.203,0.664,0.542
54.329,-63.049,91.28,-1.175,0.371,0.596
81.585,-66.402,100,-1.113,0.961,0.392
126.16,-57.256,114.57,-1.079,0.684,0.525
148.41,-56.829,131.4,-1.016,0.946,0.492
192.62,-49.207,152.68,-0.944,1.038,0.481
239.51,-37.317,175.18,-0.882,1.041,0.503
285,-29.39,197.5,-0.805,1.047,0.505
330.18,-23.11,217.26,-0.744,1.046,0.511
370.31,-14.207,233.96,-0.674,1.006,0.491
402.99,-3.232,247.56,-0.58,0.945,0.436
430.49,2.012,258.11,-0.463,0.905,0.364
444.15,4.085,266.46,-0.349,0.881,0.279
424.57,4.085,274.08,-0.236,0.849,0.217
453.29,1.28,282.26,-0.112,0.592,0.292
450.61,-3.049,289.15,-0.024,0.925,0.019
465,-6.646,293.9,0.044,0.77,0.073
436.83,-9.939,297.99,0.115,0.58,0.197
439.21,-13.841,300.49,0.17,0.884,0.065
422.87,-15,300.43,0.244,0.788,0.161
400.79,-14.512,299.27,0.333,0.743,0.209
381.4,-14.085,296.65,0.401,0.781,0.213
363.11,-13.78,291.77,0.471,0.803,0.238
347.5,-14.39,287.32,0.528,0.797,0.24
336.65,-15.244,282.99,0.597,0.785,0.244
327.87,-16.28,277.56,0.675,0.771,0.24
323.23,-15.793,272.68,0.749,0.736,0.202
322.5,-14.573,268.17,0.819,0.691,0.175
326.89,-13.049,263.9,0.88,0.645,0.164
357.26,-6.22,260.49,0.942,0.534,0.172
334.15,-10.244,255.31,0.998,0.513,0.218
332.26,-11.829,250.49,1.077,0.65,0.185
351.71,-7.805,246.16,1.158,0.453,0.311
332.44,-11.22,240.91,1.226,0.351,0.387
324.76,-13.476,235.06,1.251,0.611,0.315
320.49,-14.817,228.29,1.285,0.492,0.361
311.52,-16.585,221.34,1.328,0.435,0.392
300.43,-18.902,213.48,1.357,0.423,0.411
287.81,-21.585,204.45,1.375,0.377,0.436
274.33,-25.793,196.46,1.395,0.327,0.47
260.12,-30.732,188.23,1.425,0.283,0.502
245.67,-36.098,179.57,1.466,0.225,0.521
231.46,-42.012,171.28,1.514,0.177,0.539
218.23,-48.72,163.6,1.549,0.154,0.555
230.73,-52.622,156.52,1.55,0.141,0.571
205.24,-59.878,150.49,1.542,0.132,0.588
176.65,-67.378,144.76,1.534,0.023,0.662
