Timestamp,Rotation X,Rotation Y,Rotation Z,Rotation W,Acceleration X,Acceleration Y,Acceleration Z
2026-01-14 17:25:22.371,-95250530,-45189400,-34222000,-6948496,46691900,-4244995,-6719971
2026-01-14 17:25:22.381,-55427430,-46052570,-35085160,-46598950,5355835,-68725580,-49926760
2026-01-14 17:25:22.391,-55427430,-58988860,50702460,-46598960,20736690,-71899420,-57281500
2026-01-14 17:25:22.401,-55426570,-97140860,12550460,-46599820,-28362270,-68237300,-28915400
2026-01-14 17:25:22.411,-55340260,-98004030,11687290,-46513510,12191770,-6173706,-35095220
2026-01-14 17:25:22.421,-55253940,-59247810,50443510,-46427190,-1578331,-123535200,-45959470
2026-01-14 17:25:22.431,-55253940,-99730360,9960960,-46427190,16498570,-1361084,-24551390
2026-01-14 17:25:22.441,-55167620,-99730360,9960960,-46340870,31261440,-7745361,31707760
2026-01-14 17:25:22.451,-55167620,-59256440,50452140,-46340870,16775130,-3289795,64453120
2026-01-14 17:25:22.461,-94879360,-59256440,50452140,-6629127,18005370,-3741455,60058590
2026-01-14 17:25:22.471,-49191910,-99738990,9969586,39058320,-18569950,-4940796,3878784
2026-01-14 17:25:22.481,-9480167,-99738990,9969584,-653421,9,-3543091,-60668940,18529890
2026-01-14 17:25:22.491,-4919191,-99738990,9969584,3907555,-56266780,-12609860,-27053830
2026-01-14 17:25:22.501,-9462904,-99738990,9969584,-636158,9,41992190,-9442139,-4107666
2026-01-14 17:25:22.511,-49157380,-100602200,9106418,39092850,57128900,-12768560,-5493164
2026-01-14 17:25:22.521,-49148760,-51234160,-40261580,39101480,4434204,-15197750,-57250980
2026-01-14 17:25:22.531,-49140120,-51234160,-40261580,39110120,6149292,-16918940,-3652954
2026-01-14 17:25:22.541,-49131490,-10147400,825189,4,39118750,70373540,-17114260,-19454960
2026-01-14 17:25:22.551,-49114230,-5209822,-4112387,39118750,826416,-13085940,-32157900
2026-01-14 17:25:22.561,-49105600,-5209822,-4112387,39127380,51605220,-12054440,3366089
2026-01-14 17:25:22.571,-49105600,-5209822,-4112387,39127380,12275700,-9893799,2633667
2026-01-14 17:25:22.581,-49105600,-5209822,-4112387,39127380,-7785797,-7965088,40496820
2026-01-14 17:25:22.591,-49114230,-5209822,-4112387,39136010,-4660034,-82214350,59265140
2026-01-14 17:25:22.601,-49114230,-51234160,-40261580,39136010,-6335449,-8404541,6652832
2026-01-14 17:25:22.611,-49105600,-51234160,-40261580,39144640,-3201294,-8831787,435791
2026-01-14 17:25:22.621,-9393853,-51234160,-40261580,-567103,3,-116119400,-7904053,21224980
2026-01-14 17:25:22.631,-4910559,-99738990,9969584,3916186,17059330,-56610110,-76675420
2026-01-14 17:25:22.641,-9377451,-99738990,9969584,-548978,9,12397770,-8178711,-30334470
2026-01-14 17:25:22.651,-9368819,-99738990,9969584,-540346,9,39489740,-1171875,-46447750
2026-01-14 17:25:22.661,-49096960,-99738990,9969586,39205060,97839350,-8618164,-3540039
2026-01-14 17:25:22.671,-49088340,-99738990,9969586,39213690,8502197,-6585693,-18310550
2026-01-14 17:25:22.681,-49079700,-99730370,9960958,39222320,34179690,-7116699,-98724370
2026-01-14 17:25:22.691,-9336018,-99730370,9960956,-504094,4,9498596,-7952881,8178711
2026-01-14 17:25:22.701,-9336017,-59247820,50443500,-504092,4,36499020,-53527830,22903440
2026-01-14 17:25:22.711,-9336882,-9885857,1081549,-503226,8,18615720,-67871100,22613520
2026-01-14 17:25:22.721,-9336884,-48642080,-37674670,-503228,8,26382450,-5545044,40863040
2026-01-14 17:25:22.731,-49096960,-48641210,-37675530,39256850,4385376,-5834961,3564453
2026-01-14 17:25:22.741,-9347242,-47778040,-36812360,-510134,3,27877810,-6262207,19897460
2026-01-14 17:25:22.751,-9347240,-97114970,12524560,-510136,4,43701170,-89782710,-27580260
2026-01-14 17:25:22.761,-4920496,-97978140,11661390,-4919617,29403690,-7904053,-2418518
2026-01-14 17:25:22.771,-4920498,-48639480,-37677260,-4919615,51513670,-81848140,-40222170
2026-01-14 17:25:22.781,-9331704,-9883268,1078960,-491142,8,50750730,-8300781,-5154419
