Frame,Time,RightHand_Accel_X,RightHand_Accel_Y,RightHand_Accel_Z,LeftHand_Accel_X,LeftHand_Accel_Y,LeftHand_Accel_Z,Label
1.0,0.016667,211.8479964934429,-2.004286433821899,37.9363430534718,-87.4260366156324,23.301276542900563,64.80314934857303,0
2.0,0.033334,220.19217871162937,4.368547040335693,31.166668215357948,-90.18681472747376,58.64753717479171,14.28994710342312,0
3.0,0.050001,226.97414797684496,13.272816915089397,28.22523319565324,-87.85454628483399,94.3825731342116,-44.25573190357636,0
4.0,0.066668,225.85794686741968,22.610427134323317,30.554707621200254,-83.78740614642338,116.44469881707406,-92.46447018858068,0
5.0,0.083335,209.79751661569875,29.79374222899453,34.997450709363264,-85.58736820534726,119.39321669057112,-120.10534485342085,0
6.0,0.100002,176.51908039155683,33.2157457232866,36.29200106103484,-97.20829950077352,108.52773053988122,-129.73890047782118,0
7.0,0.116669,133.7003046389288,34.11127481303494,31.03599035540323,-114.90199951705192,93.6365697362227,-130.5350368326141,0
8.0,0.133336,95.20583361116871,36.90280914639436,20.635270320920696,-131.42202417560816,81.9752336362387,-130.6401512745455,0
9.0,0.150003,70.07648306790821,45.41841119409604,10.66603631388664,-143.05434271460052,75.60033305404177,-133.76181774087655,0
10.0,0.16667,56.66489383253132,57.81376570515599,6.415427142185992,-151.0474596810085,72.40312399126819,-139.28869558106743,0
11.0,0.183337,47.69306482040035,66.75999731314276,8.724380914310025,-157.25788372752066,68.79702510859512,-144.885286072332,0
12.0,0.200004,38.18145895839525,65.21875201579833,13.984841680434716,-160.8248567208513,61.95898961888747,-149.46001175701235,0
13.0,0.216671,27.58003520988141,51.19431280017689,17.49665437199218,-159.3223811199002,50.02933925027003,-153.50102103827672,0
14.0,0.233338,17.087628442284576,27.726924487301822,16.990945878124297,-151.7493498843348,31.484566558742834,-157.30456339576716,0
15.0,0.250005,7.083527834591763,0.6200430048278704,13.702177036095968,-139.96561476365727,6.311909805410018,-160.31475260837317,0
16.0,0.266672,-3.539550254886902,-23.736718836837404,10.26858618228551,-127.80424169877897,-21.80334428645069,-162.0348551008363,0
17.0,0.283339,-16.68388823439328,-41.18065935381237,7.846275085853675,-119.18699816999565,-46.21423134346949,-162.20907337311476,0
