gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-120.92,-67.134,-23.354,-0.292,-0.417,-0.223
-123.48,-73.902,-38.171,-0.274,-0.429,-0.23
-124.15,-80.549,-52.988,-0.277,-0.469,-0.211
-123.84,-86.951,-66.402,-0.284,-0.531,-0.198
-123.05,-93.232,-77.073,-0.281,-0.565,-0.194
-120.31,-98.598,-86.463,-0.271,-0.593,-0.195
-117.01,-103.11,-97.073,-0.25,-0.61,-0.195
-112.07,-106.58,-108.35,-0.234,-0.619,-0.196
-106.4,-109.27,-120.98,-0.216,-0.601,-0.201
-99.512,-111.52,-135.12,-0.198,-0.581,-0.209
-96.89,-114.39,-151.46,-0.167,-0.551,-0.22
-98.293,-117.5,-169.82,-0.12,-0.505,-0.25
-96.585,-117.99,-189.45,-0.041,-0.444,-0.299
-91.22,-117.32,-207.68,0.049,-0.417,-0.351
-87.744,-116.52,-226.83,0.163,-0.389,-0.41
-85.061,-117.07,-247.26,0.304,-0.363,-0.496
-81.037,-117.93,-267.07,0.514,-0.305,-0.579
-76.037,-118.17,-286.58,0.789,-0.174,-0.637
-71.159,-118.66,-305.67,1.059,0.009,-0.734
-64.634,-118.35,-324.57,1.315,0.265,-0.888
-57.134,-117.62,-343.42,1.576,0.464,-1.005
-48.659,-116.83,-362.44,1.715,0.796,-1.222
-40.183,-115.55,-382.01,1.851,1.115,-1.486
-30.915,-113.11,-401.89,1.981,1.435,-1.662
-20.793,-109.63,-422.32,2.01,1.949,-1.938
-10.488,-105.06,-443.6,1.936,2.48,-2.3
0.671,-98.415,-465.24,1.821,3.203,-2.717
13.841,-90.366,-486.83,1.668,4.215,-3.018
26.341,-80.061,-512.68,1.336,5.075,-3.224
44.146,-68.171,-537.62,1.008,5.738,-3.611
62.073,-53.902,-561.46,1.077,6.59,-3.94
80.488,-43.232,-579.82,0.913,6.785,-4.167
104.33,-35.61,-599.09,0.626,6.559,-4.588
124.21,-26.341,-610.61,0.738,6.616,-5.069
146.83,-12.805,-617.01,0.936,6.184,-5.313
165.12,4.451,-631.34,0.94,6.015,-5.518
186.77,24.634,-637.93,0.88,5.877,-5.341
222.07,41.037,-638.23,1.108,5.224,-5.004
247.93,57.805,-628.96,1.359,4.516,-4.856
272.13,76.463,-609.02,1.456,3.983,-4.705
285.12,97.744,-580.61,1.447,3.676,-4.711
291.16,122.01,-546.16,1.362,3.386,-4.821
299.39,148.17,-507.44,1.183,3.12,-4.947
304.02,173.96,-471.1,0.938,2.878,-4.999
311.16,207.26,-436.77,0.756,2.782,-4.996
330.85,239.88,-387.01,0.64,2.788,-4.888
350.79,261.1,-320.73,0.536,2.496,-4.824
345.31,285.73,-274.57,0.277,2.188,-4.804
377.38,309.15,-221.04,-0.101,2.208,-4.79
392.38,344.02,-163.72,-0.415,2.313,-4.721
378.17,389.15,-119.27,-0.715,2.157,-4.62
390,423.9,-85.549,-1.028,1.811,-4.473
388.84,463.35,-62.622,-1.328,1.524,-4.326
361.77,505.43,-41.707,-1.568,1.479,-4.231
327.38,541.59,-23.72,-1.755,1.584,-4.108
285.49,578.23,-10.244,-1.902,1.604,-3.954
229.51,615.37,3.354,-2.127,1.507,-3.708
163.41,647.38,18.049,-2.434,1.47,-3.246
98.11,668.6,35.244,-2.777,1.691,-2.586
13.72,683.78,59.695,-3.249,1.973,-1.909
-42.256,696.16,91.585,-3.523,2.413,-1.538
-74.207,709.21,127.07,-3.564,2.219,-2.033
-134.21,714.21,168.05,-3.883,1.953,-2.06
-180.98,709.09,212.62,-5.152,2.358,-2.027
-202.62,700.85,261.28,-6.438,2.396,-2.14
-208.54,689.39,310,-7.48,1.943,-2.179
-203.9,670.55,355.79,-8.324,1.892,-2.319
-192.5,643.72,397.13,-7.652,1.36,-2.08
-170.91,614.57,436.4,-5.947,0.833,-1.384
-130.12,587.38,467.68,-4.537,0.484,-0.739
-79.756,562.93,488.72,-3.383,0.212,0.003
-30.183,537.74,499.39,-2.338,-0.16,0.595
9.146,505.92,496.22,-1.858,-0.271,0.896
