gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-36.707,-19.756,-26.89,0.252,0.223,0.399
-38.537,-21.463,-27.927,0.256,0.202,0.389
-41.098,-23.354,-28.902,0.254,0.188,0.378
-43.293,-25.305,-29.878,0.248,0.182,0.367
-45.366,-27.073,-30.915,0.234,0.175,0.361
-47.622,-28.841,-31.829,0.229,0.188,0.348
-49.817,-30.488,-32.317,0.212,0.197,0.342
-52.5,-31.829,-32.927,0.196,0.208,0.337
-55.61,-33.415,-33.415,0.191,0.231,0.323
-59.024,-34.695,-34.268,0.182,0.251,0.309
-61.829,-35.976,-35.061,0.173,0.261,0.281
-64.573,-37.561,-35.854,0.166,0.26,0.265
-68.171,-39.268,-36.646,0.154,0.261,0.258
-72.256,-40.915,-37.805,0.151,0.254,0.25
-76.159,-42.378,-39.146,0.139,0.234,0.253
-79.817,-43.72,-40.732,0.125,0.209,0.26
-83.659,-44.878,-42.256,0.099,0.15,0.272
-87.317,-45.976,-43.537,0.073,0.075,0.284
-91.159,-46.524,-45.183,0.059,-0.021,0.282
-95.122,-47.012,-47.073,0.018,-0.037,0.315
-98.902,-47.195,-49.146,0.037,-0.086,0.367
-103.78,-46.89,-51.341,0.055,-0.072,0.331
-109.51,-46.28,-54.085,0.009,-0.063,0.308
-114.94,-45.366,-56.768,0.025,-0.125,0.297
-120.61,-44.573,-59.512,0.041,-0.186,0.281
-125.98,-43.415,-62.805,0.033,-0.238,0.254
-130.98,-41.768,-66.402,0.043,-0.297,0.213
-136.22,-40.244,-69.817,0.076,-0.378,0.185
-140.12,-38.659,-73.293,0.114,-0.426,0.17
-142.81,-36.585,-77.317,0.14,-0.475,0.178
-143.29,-34.878,-81.829,0.167,-0.543,0.192
-140.24,-33.232,-86.463,0.207,-0.609,0.185
-132.99,-31.768,-90.122,0.235,-0.667,0.169
-119.51,-29.085,-93.11,0.235,-0.688,0.128
-100,-27.378,-97.927,0.217,-0.685,0.093
-80.976,-27.988,-107.74,0.213,-0.65,0.041
-67.805,-27.5,-115.98,0.212,-0.602,-0.024
-53.841,-25.915,-126.71,0.224,-0.626,-0.081
-39.268,-24.817,-140.18,0.245,-0.622,-0.158
-27.317,-24.39,-154.51,0.267,-0.586,-0.263
-17.744,-23.963,-170.18,0.321,-0.555,-0.372
-8.78,-22.805,-187.93,0.397,-0.495,-0.46
-1.768,-20.976,-206.89,0.524,-0.401,-0.556
3.354,-19.878,-225.73,0.723,-0.294,-0.65
8.841,-18.049,-245.43,0.939,-0.157,-0.81
16.341,-14.512,-265.61,1.123,0.053,-1.044
23.293,-9.756,-287.13,1.188,0.416,-1.378
