gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
20.244,37.317,-13.049,-0.272,1.447,-0.369
-27.988,22.805,0.183,-0.356,1.449,-0.5
-32.988,30.183,-8.598,-0.245,1.452,-0.59
-24.512,26.89,-34.146,-0.107,1.55,-0.706
-48.415,21.28,-45.488,-0.009,1.559,-0.87
-65.488,21.951,-57.866,0.053,1.558,-1.041
-89.146,31.159,-71.159,0.209,1.52,-1.091
-112.32,38.902,-83.11,0.271,1.582,-1.118
-131.34,41.037,-91.951,0.404,1.528,-1.122
-149.94,40.488,-96.768,0.578,1.575,-1.101
-163.54,39.939,-98.72,0.677,1.684,-1.019
-175.31,37.683,-96.098,0.768,1.798,-0.782
-179.51,31.341,-92.744,0.836,1.757,-0.672
-182.68,22.683,-92.866,0.961,1.653,-0.686
-178.96,12.378,-94.451,1.042,1.69,-0.727
-165.55,7.134,-91.159,1.094,1.81,-0.836
-163.9,-1.28,-95.732,1.14,1.784,-0.942
-157.13,-12.805,-99.634,1.155,1.748,-1.024
-141.59,-24.451,-101.95,1.201,1.662,-1.101
-129.27,-37.5,-102.81,1.257,1.547,-1.162
-118.66,-50.183,-100.73,1.31,1.452,-1.163
-105.18,-56.463,-95.427,1.348,1.315,-1.113
-86.098,-63.171,-92.561,1.429,1.158,-1.082
-77.561,-65.488,-92.378,1.551,1.01,-1.043
-71.707,-65.366,-91.768,1.68,0.887,-0.996
-66.341,-64.024,-90.366,1.793,0.806,-0.935
-62.866,-61.585,-87.5,1.866,0.723,-0.82
-67.561,-61.89,-81.646,1.931,0.62,-0.652
-72.317,-64.512,-68.11,2.001,0.562,-0.465
-76.89,-70.305,-55.793,2.088,0.509,-0.318
-85.793,-78.415,-48.476,2.13,0.447,-0.238
-101.83,-85,-42.744,2.143,0.449,-0.219
-118.42,-91.098,-37.927,2.104,0.393,-0.218
-136.89,-95.183,-37.317,2.044,0.329,-0.24
-153.96,-98.659,-39.573,1.993,0.259,-0.272
-165.79,-103.29,-42.134,1.922,0.187,-0.281
-171.59,-106.52,-45.915,1.849,0.107,-0.264
-171.46,-106.95,-49.39,1.787,0.043,-0.256
-170.79,-106.71,-50.671,1.741,-0.017,-0.223
-169.21,-103.11,-49.939,1.704,-0.1,-0.2
-163.54,-100.49,-47.561,1.659,-0.202,-0.192
-152.87,-97.988,-41.89,1.618,-0.3,-0.182
-151.04,-96.402,-39.939,1.595,-0.378,-0.176
-147.99,-97.378,-35.854,1.568,-0.452,-0.164
-154.51,-99.39,-31.341,1.505,-0.549,-0.143
-172.74,-97.927,-28.171,1.433,-0.638,-0.091
-183.96,-96.524,-22.683,1.358,-0.701,-0.026
-197.99,-94.512,-18.11,1.297,-0.738,0.067
-213.48,-92.256,-14.329,1.28,-0.761,0.112
-228.66,-89.634,-10.183,1.259,-0.765,0.098
-244.33,-88.171,-7.439,1.225,-0.738,0.071
-257.93,-87.073,-7.195,1.179,-0.728,0.045
-266.28,-84.695,-7.012,1.148,-0.727,0.021
-273.05,-83.171,-6.159,1.149,-0.724,0.003
-277.87,-80.793,-5,1.167,-0.712,-0.021
-279.45,-79.39,-5.366,1.194,-0.701,-0.035
-278.72,-79.512,-6.829,1.215,-0.689,-0.061
-277.01,-79.634,-5.671,1.214,-0.663,-0.086
-273.05,-77.866,-2.256,1.225,-0.619,-0.104
-267.87,-74.817,-0.915,1.246,-0.546,-0.121
-260.24,-73.11,2.195,1.264,-0.47,-0.129
-251.1,-72.683,7.683,1.296,-0.402,-0.138
-244.27,-73.537,14.024,1.325,-0.341,-0.134
-236.77,-76.341,19.024,1.341,-0.248,-0.129
-228.35,-77.927,22.683,1.369,-0.162,-0.12
-219.94,-78.232,25.549,1.425,-0.095,-0.106
-211.83,-78.293,27.073,1.469,0.015,-0.114
-203.54,-78.78,27.866,1.512,0.086,-0.114
-195.91,-79.939,28.902,1.551,0.148,-0.132
-189.02,-80.427,30.366,1.57,0.225,-0.152
-182.32,-80.732,30.671,1.575,0.313,-0.149
-175.43,-81.098,30,1.596,0.366,-0.138
-169.27,-82.073,29.207,1.627,0.426,-0.131
-162.68,-82.561,28.841,1.638,0.509,-0.1
-155.73,-80.549,29.634,1.633,0.584,-0.074
-150,-77.012,28.963,1.657,0.655,-0.045
-144.15,-74.939,27.317,1.656,0.75,-0.025
-138.6,-74.085,24.329,1.639,0.801,0.007
-128.41,-72.439,21.951,1.632,0.866,0.014
-116.83,-68.598,18.476,1.622,0.914,0.027
-112.87,-65.61,13.963,1.596,0.951,0.037
-103.54,-61.646,10.61,1.557,0.972,0.048
-92.866,-56.707,7.317,1.515,0.981,0.053
-84.085,-52.866,4.573,1.471,0.975,0.053
-78.232,-49.085,2.012,1.419,0.949,0.063
-68.11,-43.902,0.183,1.378,0.898,0.076
-57.439,-38.11,-1.463,1.33,0.841,0.079
-47.622,-33.049,-2.073,1.285,0.773,0.083
-35,-27.683,-2.683,1.233,0.695,0.087
-22.073,-23.171,-4.024,1.181,0.614,0.085
-17.988,-19.39,-4.573,1.125,0.525,0.078
