gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
20.854,-9.695,-2.561,0.679,0.512,0.52
22.927,-9.024,-1.768,0.679,0.491,0.522
24.024,-8.354,-1.402,0.674,0.473,0.525
23.841,-7.5,-0.671,0.674,0.462,0.528
22.561,-6.829,-0.244,0.674,0.458,0.522
20.244,-6.28,-0.122,0.674,0.444,0.517
16.585,-5.854,0.122,0.666,0.443,0.515
12.073,-5.488,0.244,0.664,0.438,0.494
7.866,-5.244,0.061,0.668,0.44,0.484
3.476,-4.817,-0.305,0.678,0.444,0.481
-0.061,-4.573,-0.427,0.695,0.447,0.477
-2.317,-4.634,-0.488,0.703,0.443,0.465
-3.963,-4.512,-0.061,0.716,0.429,0.458
-3.841,-4.39,0.732,0.727,0.412,0.445
-2.378,-4.39,1.768,0.741,0.393,0.423
0.427,-4.39,3.11,0.749,0.38,0.406
4.634,-4.207,4.39,0.748,0.36,0.403
9.451,-4.085,5.854,0.742,0.336,0.402
14.634,-3.963,7.378,0.746,0.298,0.396
19.512,-3.72,8.415,0.748,0.251,0.381
23.963,-3.354,9.268,0.739,0.201,0.355
27.195,-2.927,9.878,0.724,0.155,0.338
29.451,-2.439,10.061,0.726,0.103,0.326
30.366,-2.256,10.366,0.724,0.046,0.302
30.244,-2.073,10.366,0.725,0.011,0.279
28.902,-2.134,10.488,0.757,-0.023,0.269
26.829,-2.439,10.427,0.784,-0.048,0.256
24.573,-2.439,10.366,0.801,-0.099,0.231
21.951,-2.378,10.244,0.819,-0.146,0.235
19.329,-2.5,9.878,0.829,-0.159,0.234
16.951,-2.378,9.512,0.842,-0.156,0.225
14.634,-2.256,9.207,0.85,-0.184,0.19
12.622,-2.134,8.659,0.865,-0.194,0.176
11.646,-2.073,7.683,0.881,-0.184,0.164
11.585,-1.707,6.524,0.878,-0.209,0.139
12.683,-0.915,4.817,0.88,-0.2,0.131
14.573,-0.061,3.049,0.898,-0.201,0.123
16.829,0.549,0.976,0.94,-0.206,0.106
20.061,1.402,-1.402,1.014,-0.229,0.086
24.207,2.622,-4.512,1.062,-0.193,0.084
