gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-12.378,2.439,4.085,-0.833,-0.451,0.173
-11.341,3.232,3.171,-0.83,-0.438,0.17
-10.976,3.72,2.256,-0.839,-0.428,0.152
-11.463,4.268,1.28,-0.837,-0.425,0.142
-13.049,4.878,0.427,-0.827,-0.435,0.137
-15,5.549,-0.305,-0.82,-0.442,0.138
-17.195,6.098,-1.28,-0.827,-0.429,0.129
-19.268,6.707,-2.317,-0.833,-0.412,0.107
-21.402,7.195,-3.841,-0.831,-0.392,0.098
-22.805,7.805,-5.488,-0.829,-0.367,0.094
-23.841,8.72,-7.073,-0.836,-0.357,0.089
-24.146,9.756,-8.963,-0.84,-0.354,0.09
-23.841,10.915,-10.854,-0.845,-0.335,0.091
-23.354,11.768,-12.561,-0.851,-0.313,0.084
-22.378,12.5,-14.024,-0.852,-0.311,0.082
-20.976,12.988,-15.366,-0.854,-0.322,0.074
-19.024,13.049,-16.037,-0.846,-0.338,0.078
-16.585,13.293,-16.341,-0.821,-0.359,0.088
-13.72,13.476,-16.524,-0.805,-0.381,0.099
-10.488,13.232,-16.646,-0.799,-0.406,0.111
-6.341,12.683,-16.463,-0.804,-0.422,0.119
-1.524,11.646,-16.159,-0.802,-0.426,0.138
4.268,10.061,-16.037,-0.792,-0.433,0.162
10.732,8.11,-16.098,-0.775,-0.452,0.175
17.073,6.037,-16.768,-0.749,-0.465,0.183
23.415,3.902,-17.927,-0.729,-0.464,0.199
29.817,1.829,-19.451,-0.717,-0.474,0.216
35.854,-0.244,-21.524,-0.701,-0.49,0.226
41.341,-2.378,-24.573,-0.687,-0.491,0.246
46.037,-4.756,-28.232,-0.686,-0.479,0.26
50.549,-7.439,-32.561,-0.694,-0.45,0.268
55,-9.878,-38.049,-0.698,-0.439,0.287
59.451,-12.378,-44.268,-0.702,-0.438,0.311
64.268,-14.939,-51.159,-0.705,-0.416,0.354
69.085,-17.561,-58.659,-0.701,-0.383,0.385
72.5,-20.305,-66.646,-0.687,-0.338,0.409
75.549,-23.049,-75.549,-0.672,-0.292,0.429
77.256,-25.671,-85.244,-0.649,-0.259,0.466
77.134,-27.805,-95.366,-0.625,-0.219,0.503
75.366,-29.329,-106.4,-0.603,-0.152,0.538
71.829,-30.305,-118.9,-0.575,-0.101,0.576
