gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-16.768,-11.646,-31.159,0.809,0.343,0.148
-18.598,-11.524,-30.427,0.807,0.35,0.136
-20.183,-11.646,-29.756,0.813,0.36,0.125
-21.524,-11.28,-28.963,0.826,0.365,0.132
-22.622,-11.037,-28.11,0.836,0.375,0.146
-22.561,-10.732,-27.317,0.847,0.367,0.146
-21.646,-10.366,-26.341,0.842,0.339,0.14
-20.183,-9.939,-25.244,0.837,0.312,0.127
-17.866,-8.841,-23.963,0.839,0.288,0.114
-14.024,-7.866,-22.439,0.848,0.265,0.113
-9.817,-6.829,-20.793,0.855,0.257,0.108
-5.061,-5.793,-18.963,0.868,0.236,0.096
0.122,-4.695,-17.378,0.873,0.206,0.08
5.488,-3.476,-15.305,0.871,0.151,0.046
10.793,-2.256,-13.232,0.875,0.115,0.038
15.061,-0.976,-11.707,0.89,0.133,0.036
18.78,0.061,-10.183,0.9,0.122,0.02
21.463,0.671,-8.902,0.911,0.093,0.007
22.988,0.671,-8.11,0.921,0.105,0.025
23.11,0.732,-7.195,0.956,0.101,0.013
22.866,0.976,-6.463,1.015,0.066,0.01
22.561,1.524,-6.22,1.053,0.044,-0.026
22.073,2.317,-6.28,1.069,0.018,-0.034
22.317,2.927,-6.22,1.083,0.035,-0.033
22.805,3.476,-6.402,1.108,0.057,-0.031
24.207,4.329,-6.707,1.146,0.034,-0.061
26.89,5.549,-7.439,1.172,0.016,-0.072
30.854,7.805,-8.598,1.188,0.057,-0.073
35.427,10.183,-10,1.212,0.072,-0.093
39.573,11.707,-11.037,1.227,0.064,-0.144
42.866,13.841,-12.622,1.286,0.077,-0.177
46.951,16.646,-14.695,1.367,0.129,-0.2
50.976,19.085,-16.951,1.432,0.158,-0.221
53.415,21.646,-18.963,1.489,0.139,-0.274
56.098,24.573,-22.317,1.538,0.14,-0.312
58.537,26.463,-25.244,1.581,0.139,-0.361
60.305,29.207,-27.988,1.604,0.171,-0.379
63.11,31.463,-30.061,1.711,0.233,-0.391
63.78,34.329,-31.585,1.791,0.326,-0.449
64.634,37.195,-33.476,1.822,0.443,-0.511
65.732,39.573,-35.854,1.848,0.513,-0.577
65.61,42.134,-37.5,1.881,0.592,-0.66
63.659,45.305,-38.963,1.91,0.69,-0.778
61.463,49.146,-40.671,1.954,0.853,-0.907
58.902,52.5,-42.256,2.017,1.033,-0.98
55,53.78,-44.146,2.062,1.217,-1.034
50.122,55.488,-46.341,2.07,1.4,-1.078
47.439,59.268,-47.317,2.085,1.553,-1.125
46.524,64.634,-47.5,2.106,1.639,-1.12
46.341,70.366,-46.707,2.089,1.764,-1.159
49.146,76.585,-44.451,2.078,1.881,-1.25
52.683,81.463,-40.366,2.128,1.989,-1.356
59.146,86.098,-38.11,2.185,2.113,-1.438
67.439,94.756,-34.024,2.157,2.244,-1.515
75.915,104.94,-28.659,2.093,2.313,-1.563
86.585,115,-23.049,2.06,2.373,-1.604
96.463,126.04,-17.683,2.051,2.534,-1.616
103.66,135.85,-11.829,2.013,2.76,-1.591
107.26,143.6,-5.488,1.963,2.994,-1.571
105.49,152.5,-0.488,1.914,3.112,-1.541
105,165.12,5.976,1.848,3.236,-1.54
102.07,178.54,12.744,1.733,3.324,-1.455
94.756,190.31,18.293,1.55,3.339,-1.325
88.11,203.11,25.915,1.37,3.329,-1.246
82.378,217.26,36.463,1.309,3.305,-1.203
74.756,228.72,44.146,1.346,3.279,-1.186
71.585,236.83,52.622,1.342,3.247,-1.199
67.744,246.95,63.476,1.251,3.145,-1.257
66.951,262.26,77.012,1.085,2.966,-1.279
69.39,276.52,91.159,0.81,2.863,-1.255
73.963,286.65,104.94,0.562,2.895,-1.209
72.195,294.27,118.42,0.493,2.947,-1.139
65.427,301.83,132.5,0.458,2.959,-1.021
57.317,311.16,145.79,0.247,2.938,-0.859
45.61,321.58,157.26,-0.124,2.936,-0.743
31.646,332.68,171.52,-0.4,2.963,-0.729
10.488,342.99,184.82,-0.51,2.907,-0.775
-8.354,354.69,200.85,-0.604,2.8,-0.728
-31.463,359.88,215.43,-0.77,2.705,-0.589
-55.366,358.23,227.74,-1.053,2.685,-0.408
-79.878,356.89,238.78,-1.386,2.69,-0.314
-104.27,360.85,251.04,-1.557,2.634,-0.244
-124.57,369.08,263.72,-1.752,2.518,-0.203
-140.31,378.6,275.61,-2.028,2.405,-0.199
-159.51,386.58,287.68,-2.324,2.207,-0.202
-185.24,386.46,297.68,-2.681,1.944,-0.213
-212.74,378.96,303.35,-3.061,1.605,-0.27
-241.59,376.71,308.23,-3.365,1.398,-0.396
-273.48,385.43,313.9,-3.549,0.966,-0.472
-313.54,393.78,318.78,-3.631,0.593,-0.331
