gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-1.22,-0.61,-1.341,-0.876,-0.371,0.417
-0.915,-0.671,-1.159,-0.884,-0.374,0.413
-0.732,-0.732,-0.915,-0.888,-0.375,0.416
-0.793,-0.732,-0.61,-0.885,-0.373,0.417
-1.159,-0.732,-0.183,-0.885,-0.375,0.41
-1.463,-0.671,0.244,-0.883,-0.378,0.405
-1.951,-0.671,0.488,-0.887,-0.376,0.407
-2.317,-0.549,0.732,-0.882,-0.373,0.411
-2.683,-0.61,0.976,-0.878,-0.364,0.412
-2.927,-0.61,1.098,-0.879,-0.362,0.409
-2.744,-0.549,1.037,-0.877,-0.367,0.411
-2.195,-0.61,1.22,-0.879,-0.368,0.414
-1.646,-0.549,1.463,-0.877,-0.37,0.42
-0.793,-0.488,1.646,-0.88,-0.374,0.425
-0.061,-0.427,1.768,-0.873,-0.375,0.423
0.671,-0.305,1.829,-0.875,-0.377,0.422
1.341,-0.061,1.829,-0.884,-0.382,0.423
2.073,-0.061,1.951,-0.888,-0.383,0.422
2.439,0,2.195,-0.89,-0.381,0.419
2.683,0.122,2.317,-0.888,-0.379,0.415
2.622,0.061,2.622,-0.89,-0.381,0.417
2.317,0.244,2.805,-0.889,-0.375,0.417
1.707,0.488,3.049,-0.887,-0.373,0.422
1.098,0.671,3.293,-0.884,-0.367,0.42
0.183,0.915,3.354,-0.881,-0.364,0.419
-0.549,1.159,3.415,-0.878,-0.36,0.41
-1.159,1.341,3.415,-0.874,-0.356,0.407
-1.768,1.402,3.293,-0.869,-0.356,0.409
-2.012,1.463,3.171,-0.873,-0.357,0.417
-2.012,1.341,2.988,-0.874,-0.355,0.423
-1.829,1.159,2.866,-0.876,-0.355,0.424
-1.463,1.159,2.683,-0.876,-0.353,0.427
-1.037,1.037,2.744,-0.876,-0.358,0.428
-0.61,0.976,2.622,-0.872,-0.368,0.419
0,0.732,2.622,-0.868,-0.372,0.419
0.549,0.549,2.561,-0.871,-0.37,0.42
0.915,0.427,2.439,-0.867,-0.37,0.419
1.524,0.549,2.317,-0.867,-0.371,0.417
1.829,0.549,1.951,-0.869,-0.366,0.416
2.256,0.427,1.829,-0.867,-0.365,0.413
2.561,0.122,1.707,-0.863,-0.367,0.412
2.866,0.183,1.463,-0.864,-0.365,0.411
2.927,0,1.22,-0.861,-0.368,0.409
2.927,-0.244,0.976,-0.862,-0.369,0.412
3.171,-0.061,0.61,-0.86,-0.367,0.413
3.232,-0.061,0.305,-0.859,-0.362,0.416
3.049,-0.183,0.244,-0.868,-0.368,0.417
2.988,-0.244,0,-0.868,-0.364,0.415
3.049,-0.183,-0.244,-0.865,-0.362,0.413
3.049,-0.305,-0.549,-0.863,-0.361,0.408
3.049,-0.488,-0.671,-0.866,-0.358,0.405
2.988,-0.183,-0.793,-0.866,-0.358,0.408
2.866,-0.244,-0.976,-0.87,-0.354,0.407
2.683,-0.183,-1.341,-0.873,-0.352,0.413
2.866,-0.122,-1.402,-0.869,-0.352,0.404
2.744,-0.122,-1.646,-0.866,-0.352,0.407
