gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-8.78,-11.098,-57.439,0.873,-0.731,0.386
-13.171,-8.902,-58.72,0.836,-0.709,0.359
-15.183,-6.524,-59.817,0.797,-0.686,0.338
-14.939,-3.902,-61.098,0.759,-0.663,0.312
-12.683,-1.037,-62.317,0.732,-0.649,0.285
-9.451,1.768,-63.171,0.705,-0.65,0.267
-5.122,4.451,-63.598,0.669,-0.652,0.247
0.488,7.256,-63.354,0.631,-0.654,0.229
6.159,10.305,-63.11,0.604,-0.646,0.216
12.012,13.293,-62.744,0.576,-0.632,0.203
17.439,15.793,-61.585,0.558,-0.618,0.195
22.134,18.476,-60.366,0.544,-0.61,0.194
26.28,20.976,-59.085,0.528,-0.589,0.189
29.451,23.171,-57.866,0.51,-0.559,0.182
31.341,25.549,-56.463,0.496,-0.529,0.168
32.012,27.5,-54.695,0.485,-0.502,0.162
31.28,29.329,-52.561,0.469,-0.469,0.152
29.451,30.671,-50.427,0.454,-0.431,0.142
26.707,32.012,-48.049,0.439,-0.395,0.131
23.232,33.11,-45.183,0.418,-0.361,0.118
19.024,34.024,-42.256,0.401,-0.336,0.113
14.024,34.756,-39.329,0.392,-0.316,0.112
8.293,35.488,-36.463,0.385,-0.303,0.109
2.561,35.854,-33.415,0.382,-0.286,0.104
-3.049,35.976,-30.244,0.383,-0.269,0.096
-9.085,36.037,-27.012,0.379,-0.255,0.089
-14.39,35.671,-23.72,0.379,-0.243,0.083
-18.72,34.573,-20.305,0.371,-0.234,0.09
-22.073,33.354,-17.134,0.368,-0.23,0.102
-24.695,32.073,-13.902,0.365,-0.229,0.109
-26.829,30.549,-10.854,0.361,-0.236,0.111
-27.805,28.78,-7.805,0.351,-0.256,0.121
-27.927,26.768,-4.756,0.342,-0.277,0.124
-27.5,24.756,-1.524,0.344,-0.297,0.134
-27.256,22.744,1.951,0.348,-0.314,0.147
-26.22,20.305,5.305,0.35,-0.336,0.163
-24.695,17.805,8.232,0.36,-0.361,0.186
-23.11,15.122,10.793,0.376,-0.382,0.209
-20.915,12.134,13.476,0.394,-0.409,0.229
-18.902,9.512,16.28,0.412,-0.445,0.248
-17.439,6.829,19.573,0.421,-0.486,0.273
