Frame,Time,RightHand_Accel_X,RightHand_Accel_Y,RightHand_Accel_Z,LeftHand_Accel_X,LeftHand_Accel_Y,LeftHand_Accel_Z
0,0.0,-110058.93156837398,105501.1582922937,-21429.186476069124,96560.29718745785,104190.48533638127,28239.25215213444
1,0.02,-95329.611210684,91358.64130386701,-18516.79247450044,83578.14086708552,90192.16337870645,24418.919715146134
2,0.04,-70946.08089395639,67949.7027756736,-13703.442395779557,62095.28991670331,67025.98061991672,18099.335986584047
3,0.06,-44774.98944304909,42831.45521959321,-8550.030414499932,39055.27798081968,42175.92073437963,11326.406280475861
4,0.08,-23627.499074867726,22544.14218392556,-4397.947923482782,20463.99128683666,22116.562350302425,5867.847821097194
5,0.1,-10305.985859381133,9772.638517550684,-1788.6879202014748,8781.321950016883,9504.959185044727,2444.14068291513
6,0.12,-3704.756139306536,3445.3190901146545,-495.3694955517133,3013.1954016121003,3280.736609341577,756.5451455615364
7,0.14,-1132.8578128709432,971.4775150700431,9.735335645918752,770.5341804553749,880.4100013207176,96.6647882684158
8,0.16,-353.52832229732456,206.02240022373695,153.84421762221893,78.91364883210275,180.0880443473058,-116.82917663212001
9,0.18,-173.38299659544538,15.15534225084538,156.3432764935419,-99.26080428355256,54.12794814377202,-183.6245401315474
10,0.2,-132.29634755463593,-28.029429334102623,98.632800811999,-146.31924649031652,74.31414652676985,-208.2463452601674
11,0.22,-95.88729258199726,-42.89821390971437,7.424865743343194,-161.20176309358447,116.59832047449265,-214.1785204989485
12,0.24,-36.27901332621686,-56.02140653855078,-103.78715984146163,-161.75685890034276,151.06628721770605,-204.58146190224852
13,0.26,43.7170807046485,-72.72592344248095,-222.07568152683658,-152.78630359751358,172.18079553185947,-179.6255946064553
14,0.28,131.65776822075807,-93.00432399784904,-332.225512801004,-138.97088780276596,181.41393955445474,-137.828857559301
15,0.3,213.17502519918133,-115.5061376191279,-417.5744094084591,-124.30383870420296,180.3998647399652,-77.17211818561503
16,0.32,272.6329403467374,-137.045133775659,-464.89418283877285,-108.53076878214671,170.0155776730272,1.9670959985382392
17,0.34,294.9540669967761,-152.92969886051458,-469.64416257738065,-87.60066422011946,151.07638150299192,94.02810544923277
18,0.36,271.2757677602319,-158.5479101341336,-437.0105481282141,-56.89987225084577,124.9093051301156,188.5348448457798
19,0.38,204.78029468890463,-151.67699687315576,-377.85570694355965,-14.357557225579376,93.17679991097883,273.4053918559868
20,0.4,109.85201407420269,-133.86747798881953,-303.8451364900639,37.836818748409286,58.168038262343416,338.95385231934705
21,0.42,3.858429674229756,-109.54322901034627,-226.0763109616755,92.90083933329916,23.65148871790926,380.38971458257583
22,0.44,-100.69143373307794,-83.60013544556506,-156.103284927318,141.0026234994753,-5.750697760432031,398.4407478631731
23,0.46,-196.7713407697509,-59.708094767952716,-104.21345970415798,172.8558954659407,-27.09541912225978,398.94454011722996
24,0.48,-278.62894542305617,-39.798558234761146,-73.03012837533515,183.59363002955334,-40.12067530434821,391.6529660369937
25,0.5,-339.44104399995445,-22.736895573590434,-52.33368458718716,174.43212664203196,-44.34421819691656,387.0761883326808
26,0.52,-371.72408603178417,-1.807824083522636,-23.66053742171213,151.70031068981768,-36.517594483469864,390.6223530907366
27,0.54,-366.67991271793807,34.531868888186736,25.84062530482259,124.83907680400978,-14.470266928611492,397.18174455708777
28,0.56,-313.701412142095,94.37157256009334,93.62281398251022,104.37262156363313,15.417767565203203,392.6260192944162
29,0.58,-206.30806710532738,171.19386553101748,167.60201511593144,99.56002555250313,37.382481161917795,364.1758541526589
30,0.6,-53.79431483084624,241.84861790246177,240.36943138967644,115.91020648888936,35.8057105364703,311.3974263005043
31,0.62,113.12394064282404,279.0781764067118,312.9925749119387,153.3349322226197,6.502464155818631,247.08117702815417
32,0.64,252.59828297832308,268.94724593094384,383.58888989622517,204.99900158716645,-40.32259154954232,187.46522597304067
33,0.66,333.38486523952724,218.23338581764938,436.6016660298309,257.37027771033695,-86.65866873788607,141.39534535831552
34,0.68,351.87603928778617,147.31275298504,448.2076864151418,293.6881708099214,-116.90745230888106,106.64164152038072
35,0.7000000000000001,330.7708772648582,77.00288122456664,404.21442460795896,301.353012500648,-124.88801842115868,73.7350165070802
36,0.72,300.69653770531045,19.945648625624354,313.3823197120749,278.52941554198463,-113.75985496057044,32.960590242893176
37,0.74,280.152264295198,-20.06602178320089,203.9451104082384,234.03725965242893,-90.4335848129167,-20.18903648991673
38,0.76,268.4068422915421,-44.39448250936651,106.64998117392368,180.52932248204877,-60.27057760005095,-83.9780591758063
39,0.78,252.37717933697144,-56.481329303459155,38.65126095393371,126.99145260651898,-26.21031474478172,-153.09655806767853
40,0.8,217.9960044932675,-61.288835044215276,-0.35270400719058514,76.0653701407046,8.992193868129185,-221.28044010833372
41,0.8200000000000001,158.08292481487507,-65.38443260178158,-20.89891495841472,26.797915599852725,41.215787405941015,-281.49027838329823
42,0.84,75.38185442439605,-74.93779916005205,-35.03548120761624,-20.434948743679158,65.7138493231258,-325.4734680123427
43,0.86,-18.008256303566945,-91.87738039106262,-52.26229681643374,-61.13220665649372,79.0531539921965,-345.5026307628728
44,0.88,-104.81891628073618,-111.82315997340395,-78.02638499586257,-88.56511793378597,80.63353451856953,-337.68077217842915
45,0.9,-169.90254912708787,-126.56749212946495,-111.3090812224531,-98.70132183606897,72.82729390947279,-303.9189986502295
46,0.92,-206.8678024632369,-129.25923634794447,-143.54491812216818,-93.23179968463035,59.64124481334889,-251.38155402423433
47,0.9400000000000001,-219.29389230529742,-117.80185476206375,-162.88031608570145,-77.83518816724548,44.871347126223746,-190.39292645277922
48,0.96,-215.9616492737568,-94.5348150427854,-161.6526774371423,-58.20965390600387,31.09333057537376,-131.76973353568587
49,0.98,-204.68911945454613,-64.1905041700683,-140.62510474756812,-38.255309418704705,19.753495188785084,-84.02501301130202
50,1.0,-189.5483454376195,-32.449654822550656,-107.64933098456744,-21.19040841692754,11.481314728378429,-51.35400961137974
51,1.02,-171.8804523839578,-4.988142355613244,-73.90634215045662,-10.798939293444409,6.097171380168406,-33.35643306791371
52,1.04,-152.14363747363473,14.068891224393099,-50.21640424326376,-10.697675041504446,2.725942286633951,-26.396117884311188
53,1.06,-130.4149365795388,23.838167974565035,-43.23969317736962,-22.398543509529258,0.33590986553249996,-25.717844526897046
54,1.08,-106.06863885747057,26.803055702293634,-52.56257440126784,-44.248772386216174,-1.7194197096275277,-27.426007138373535
55,1.1,-78.11774684128113,26.757623598900377,-71.39420881899159,-72.27998250717413,-3.6561586687208,-29.45750055523805
56,1.12,-46.466586512980115,26.200852671250637,-90.94160578607381,-102.08141526377683,-5.571608926442066,-31.091477331604025
57,1.1400000000000001,-13.031658885620939,25.45902085058126,-104.72733661946036,-129.98537304163295,-7.6001353461015775,-31.795723894054618
58,1.16,18.2571642585731,23.93739086169591,-109.7451700584202,-153.06722670808156,-9.716752549764578,-30.8276539465309
59,1.18,42.60742812776578,21.663842763546615,-105.10951902822096,-169.08829887200045,-11.478768664114675,-27.83111265627652
60,1.2,55.97504290481983,19.38007030733,-90.79326996855556,-177.14988506931897,-12.107950467922247,-23.340218634901568
61,1.22,56.5599052465136,17.528473881997044,-67.97314205039363,-178.1116277932852,-11.044180924897864,-18.454767427335057
62,1.24,46.04458473096692,15.710027314974887,-40.46590171617722,-173.59204580880177,-8.709002758330499,-14.170571359511007
63,1.26,30.29151370144509,13.224336167217665,-15.323431484445974,-164.08125399860617,-6.9589966746664516,-11.146434922535528
64,1.28,18.80047160453569,9.887344233410767,-0.8780233125693222,-147.78784472289206,-8.889967406815375,-9.96792862252795
65,1.3,22.59586208659978,6.214516113593011,-2.7895622839552985,-120.97747904761127,-18.122546249620633,-11.343122260856722
66,1.32,50.83869765434288,2.860554844978136,-20.748971278687684,-79.5866661917343,-37.621289913342245,-15.712627095032637
67,1.34,106.11231025301538,-0.13181722461215345,-47.80572554050151,-22.354626781935508,-67.49635285167125,-22.340787801538
68,1.36,178.68061617612634,-3.4943242022775767,-72.26936445236055,44.35408498502985,-101.81186067839016,-28.710993303473423
69,1.3800000000000001,243.53840189600385,-7.82801858419588,-81.75240122596814,102.91169011424687,-126.93844486259133,-31.286858668112796
70,1.4000000000000001,267.08133390639705,-12.165933599765754,-68.93389506488427,127.91224285024623,-125.46952578969666,-27.712738496085976
71,1.42,224.92127713770498,-13.655341145369809,-36.3847937824124,99.14824429180565,-86.14954431274975,-18.735523468920913
72,1.44,120.05448797749332,-9.537018523034781,3.9395952150416385,16.616676656008604,-13.390458152445136,-7.710921898493508
73,1.46,-14.58117487058002,-0.045338567433461874,37.4191705723615,-95.12228961583969,72.1595004420273,2.041775785076273
74,1.48,-133.6712776220104,10.848691777778843,54.742042365957126,-198.50580724147727,143.7874415651367,9.239355085014761
75,1.5,-204.17263761565744,17.87012465428857,55.66829164337187,-262.4289894452148,182.41768213616575,14.329776048465805
76,1.52,-218.7239973367756,17.628542744794526,47.62878061845465,-275.646713842783,184.30184304255332,18.298271822203724
77,1.54,-190.61424289345382,9.98485365870464,40.92644333722772,-246.1262674876071,158.53808747489703,22.079025958299717
78,1.56,-138.5464986070288,-2.3919224927464464,42.56247533719924,-189.97171990691317,118.06080395143474,25.851606654641998
79,1.58,-75.37222733329169,-15.172611895066858,52.13705450458777,-120.81176379766825,72.02566175617116,27.83991846275631
